run_id,model,provider,k,input_tokens,output_tokens,total_tokens,calls,converged,structural_warnings,density,stale_failed_marker,AIC,BIC,CAIC,SABIC,RMSEA2,SRMSR,structural_n_errors,tsqe_cell_agreement,expert_cell_agreement
b1_naive_anthropic_claude-sonnet-5_auto_run1,anthropic/claude-sonnet-5,openrouter,5,709,6443,7152,1,True,4,0.37,False,9054.131,9529.6699,9640.6699,9177.3194,0.0382,0.0799,0,0.75,0.95
b1_naive_anthropic_claude-sonnet-5_auto_run10,anthropic/claude-sonnet-5,openrouter,6,709,4181,4890,1,True,5,0.4583,False,9039.1753,10028.8103,10259.8103,9295.5402,,0.0702,0,0.7333,0.9167
b1_naive_anthropic_claude-sonnet-5_auto_run2,anthropic/claude-sonnet-5,openrouter,5,709,5988,6697,1,True,4,0.39,False,9052.881,9562.693,9681.693,9184.9478,0.0394,0.0813,0,0.73,0.97
b1_naive_anthropic_claude-sonnet-5_auto_run3,anthropic/claude-sonnet-5,openrouter,6,709,10808,11517,1,True,2,0.2417,False,9151.9658,9687.4825,9812.4825,9290.6914,0.0676,0.084,0,0.8,0.8417
b1_naive_anthropic_claude-sonnet-5_auto_run4,anthropic/claude-sonnet-5,openrouter,5,709,7629,8338,1,True,3,0.51,False,9039.2982,9780.4534,9953.4534,9231.2944,0.0469,0.066,0,0.71,0.93
b1_naive_anthropic_claude-sonnet-5_auto_run5,anthropic/claude-sonnet-5,openrouter,5,709,6711,7420,1,True,4,0.41,False,9027.6045,9580.2578,9709.2578,9170.7693,0.0432,0.0766,0,0.73,0.93
b1_naive_anthropic_claude-sonnet-5_auto_run6,anthropic/claude-sonnet-5,openrouter,5,709,9814,10523,1,True,3,0.51,False,9039.2982,9780.4534,9953.4534,9231.2944,0.0471,0.066,0,0.71,0.93
b1_naive_anthropic_claude-sonnet-5_auto_run7,anthropic/claude-sonnet-5,openrouter,4,709,11320,12029,1,True,3,0.4625,False,9198.9261,9605.9188,9700.9188,9304.3575,0.0617,0.0798,0,0.65,0.925
b1_naive_anthropic_claude-sonnet-5_auto_run8,anthropic/claude-sonnet-5,openrouter,5,709,11109,11818,1,True,4,0.37,False,9054.131,9529.6699,9640.6699,9177.3194,0.0378,0.0799,0,0.75,0.95
b1_naive_anthropic_claude-sonnet-5_auto_run9,anthropic/claude-sonnet-5,openrouter,5,709,5661,6370,1,True,2,0.45,False,9032.3583,9687.8308,9840.8308,9202.1584,0.0511,0.0605,0,0.73,0.89
b1_naive_deepseek_deepseek-v4-flash_auto_run1,deepseek/deepseek-v4-flash,openrouter,4,535,12472,13007,1,True,3,0.5125,False,8981.973,9423.2388,9526.2388,9096.2829,0.059,0.0609,0,0.725,0.9375
b1_naive_deepseek_deepseek-v4-flash_auto_run10,deepseek/deepseek-v4-flash,openrouter,4,535,8802,9337,1,True,3,0.675,False,8857.6609,9573.1113,9740.1113,9042.9983,0.0576,0.054,0,0.6625,0.8375
b1_naive_deepseek_deepseek-v4-flash_auto_run2,deepseek/deepseek-v4-flash,openrouter,4,535,10561,11096,1,True,2,0.575,False,8883.3354,9435.9887,9564.9887,9026.5002,0.0573,0.0531,0,0.7125,0.8125
b1_naive_deepseek_deepseek-v4-flash_auto_run3,deepseek/deepseek-v4-flash,openrouter,5,535,657,1192,1,True,3,0.43,False,9118.734,9697.0921,9832.0921,9268.5576,0.0734,0.0909,1,0.73,0.82
b1_naive_deepseek_deepseek-v4-flash_auto_run4,deepseek/deepseek-v4-flash,openrouter,6,535,14074,14609,1,True,4,0.4583,False,9130.7852,10128.9884,10361.9884,9389.3697,,0.0709,0,0.6833,0.85
b1_naive_deepseek_deepseek-v4-flash_auto_run5,deepseek/deepseek-v4-flash,openrouter,4,535,9975,10510,1,True,3,0.5125,False,8992.9822,9434.248,9537.248,9107.292,0.059,0.0609,1,0.725,0.9375
