person,profile
1,10111
2,11111
3,11010
4,11101
5,00011
6,10000
7,01101
8,00110
9,10000
10,00011
11,11010
12,11110
13,10000
14,00101
15,10000
16,10000
17,00000
18,00100
19,10000
20,01110
21,11111
22,11101
23,11111
24,10100
25,11001
26,01011
27,10000
28,00000
29,10000
30,11111
31,10111
32,11111
33,11111
34,10111
35,11111
36,11110
37,10100
38,11010
39,11111
40,10000
41,00110
42,11111
43,11111
44,00100
45,11111
46,11111
47,10000
48,10100
49,00100
50,10111
51,00100
52,11000
53,10000
54,11111
55,10100
56,11111
57,11111
58,00111
59,10000
60,11111
61,10000
62,00010
63,11110
64,11110
65,11010
66,10100
67,11011
68,00001
69,01101
70,10010
71,10000
72,10000
73,01110
74,11110
75,10000
76,00011
77,10000
78,11101
79,11111
80,10111
81,10000
82,11111
83,01100
84,11000
85,11010
86,11111
87,11101
88,11111
89,11111
90,11111
91,11011
92,10000
93,11111
94,11111
95,11111
96,11111
97,10100
98,10000
99,11111
100,00000
101,10000
102,11111
103,10000
104,11111
105,11110
106,11000
107,11001
108,11111
109,11001
110,11110
111,10000
112,00011
113,10010
114,10100
115,11111
116,11111
117,00011
118,10100
119,10111
120,00010
121,01100
122,10000
123,10000
124,11111
125,11111
126,11111
127,11111
128,10111
129,10100
130,11111
131,10000
132,11101
133,10010
134,01001
135,00011
136,11111
137,11110
138,11111
139,00101
140,11111
141,11010
142,11111
143,10000
144,01011
145,10000
146,11111
147,11111
148,01000
149,11101
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,10100
159,11011
160,11111
161,11111
162,11111
163,11111
164,11111
165,00111
166,00110
167,01010
168,11111
169,11111
170,00111
171,10100
172,11101
173,11111
174,10110
175,10000
176,10100
177,11101
178,11000
179,11101
180,11111
181,01101
182,11101
183,11110
184,11111
185,11111
186,11111
187,11000
188,10000
189,11111
190,11111
191,11111
192,11111
193,11111
194,10100
195,00100
196,11111
197,11111
198,11111
199,11111
200,11010
201,11111
202,11111
203,11111
204,11111
205,10100
206,10100
207,11111
208,11010
209,11111
210,11111
211,10000
212,11011
213,11111
214,11111
215,11000
216,11111
217,00000
218,11111
219,11010
220,11111
221,10110
222,11110
223,11111
224,00110
225,11111
226,10000
227,00010
228,10000
229,11111
230,11010
231,01111
232,11110
233,10000
234,11111
235,11000
236,11010
237,11010
238,11111
239,10100
240,11000
241,11111
242,11110
243,11101
244,10000
245,11111
246,01101
247,11111
248,11111
249,00100
250,10000
251,00011
252,11011
253,00011
254,11111
255,10000
256,11111
257,11111
258,11111
259,11101
260,10110
261,10000
262,10111
263,10000
264,00011
265,10000
266,11111
267,11111
268,11001
269,11111
270,11111
271,10000
272,11101
273,11111
274,11001
275,11111
276,11010
277,11110
278,11111
279,11111
280,11111
281,11111
282,11111
283,10111
284,11111
285,11111
286,01010
287,11111
288,11111
289,11101
290,11111
291,01100
292,11000
293,10010
294,10000
295,11111
296,00101
297,00101
298,10111
299,01101
300,11111
301,11111
302,11111
303,11110
304,11010
305,11111
306,11110
307,11000
308,10000
309,00101
310,10000
311,11010
312,01111
313,11110
314,10000
315,11111
316,11000
317,10000
318,11011
319,11111
320,10000
321,11000
322,11111
323,11111
324,11111
325,11111
326,10000
327,00111
328,11111
329,11010
330,11000
331,10000
332,11010
333,10000
334,00011
335,11111
336,11000
337,10000
338,10000
339,11101
340,11111
341,11111
342,01011
343,00111
344,11111
345,01011
346,11111
347,11010
348,11010
349,11001
350,11111
351,11111
352,10000
353,01011
354,11111
355,11000
356,11111
357,11010
358,11111
359,11111
360,11010
361,11111
362,11011
363,11111
364,10000
365,11111
366,11010
367,10000
368,11111
369,11111
370,11111
371,11000
372,10000
373,11000
374,11111
375,11110
376,11110
377,10000
378,11000
379,11010
380,10000
381,11000
382,11000
383,11111
384,11110
385,11111
386,11000
387,10000
388,11000
389,11111
390,10000
391,11000
392,10000
393,10000
394,11111
395,01111
396,11111
397,00010
398,11000
399,01010
400,11111
401,11010
402,11101
403,11111
404,10000
405,11101
406,01100
407,10000
408,00110
409,11111
410,11111
411,11000
412,10000
413,11111
414,10000
415,00010
416,10000
417,10000
418,10000
419,11000
420,10000
421,01100
422,11111
423,00011
424,10000
425,10000
426,01011
427,10000
428,11101
429,11111
430,10000
431,11111
432,11111
433,11111
434,11111
435,00001
436,00100
437,10000
438,11010
439,11111
440,11111
441,00010
442,01001
443,11111
444,11010
445,11111
446,00001
447,11101
448,11010
449,11001
450,10000
451,10000
452,10000
453,11111
454,01010
455,10000
456,11111
457,11001
458,11111
459,11111
460,11010
461,11010
462,10000
463,10000
464,11111
465,11010
466,11111
467,10000
468,11111
469,11010
470,11110
471,11010
472,11111
473,11111
474,11111
475,00011
476,11111
477,11010
478,11110
479,11000
480,11110
481,11111
482,10000
483,11001
484,11000
485,11000
486,10100
487,11101
488,10000
489,11110
490,10000
491,01111
492,11010
493,01011
494,11111
495,01001
496,11110
497,01011
498,01001
499,00101
500,10000
501,11010
502,10000
503,01010
504,10000
505,00011
506,01010
507,10000
508,10000
509,00101
510,01101
511,10000
512,10000
513,11111
514,10000
515,10000
516,10000
517,00111
518,11001
519,01001
520,11110
521,01011
522,01011
523,00010
524,01010
525,01011
526,00010
527,11010
528,11010
529,01101
530,01010
531,01110
532,01000
533,11110
534,01011
535,11110
536,11010
