person,profile
1,01111
2,11111
3,11000
4,11101
5,00001
6,00100
7,00001
8,10011
9,10100
10,10100
11,11001
12,11101
13,00110
14,00010
15,00100
16,10101
17,00010
18,00100
19,10100
20,10001
21,11111
22,11101
23,11111
24,01101
25,11101
26,00000
27,10111
28,00000
29,00101
30,11111
31,11111
32,11111
33,11111
34,01111
35,11111
36,11100
37,01101
38,11001
39,11111
40,10100
41,10001
42,11111
43,11111
44,10010
45,11111
46,11111
47,10100
48,01101
49,10010
50,01111
51,10000
52,11001
53,11010
54,11111
55,01101
56,11111
57,11111
58,10011
59,10110
60,11111
61,10110
62,10001
63,11101
64,11111
65,11011
66,01101
67,11011
68,10010
69,00001
70,01010
71,00100
72,10110
73,10000
74,11101
75,00110
76,10010
77,00110
78,11101
79,11111
80,01111
81,10100
82,11111
83,10001
84,11010
85,11001
86,11111
87,11101
88,11111
89,11111
90,11111
91,11000
92,00100
93,11111
94,11111
95,11111
96,11111
97,01101
98,10111
99,11111
100,00010
101,00101
102,11111
103,10111
104,11111
105,11111
106,11001
107,11011
108,11111
109,11010
110,11101
111,10011
112,00001
113,11010
114,01101
115,11100
116,11111
117,00011
118,01101
119,01111
120,10000
121,00011
122,10100
123,10111
124,11111
125,11111
126,11111
127,11111
128,01111
129,01101
130,11111
131,00100
132,11101
133,01001
134,00000
135,10001
136,11111
137,11101
138,11111
139,00000
140,11111
141,11000
142,11111
143,00001
144,00011
145,00110
146,11111
147,11111
148,10011
149,11101
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,01101
159,11000
160,11111
161,11101
162,11111
163,11111
164,11111
165,10010
166,00010
167,10001
168,11111
169,11111
170,10011
171,10100
172,11101
173,11111
174,01000
175,00110
176,01101
177,11101
178,11001
179,11101
180,11111
181,00011
182,11101
183,11010
184,11111
185,11111
186,11111
187,10000
188,00110
189,11111
190,11111
191,11111
192,11111
193,11111
194,00110
195,10101
196,11111
197,11111
198,11111
199,11111
200,11000
201,11111
202,11111
203,11111
204,11111
205,01101
206,01101
207,11101
208,11010
209,11111
210,11111
211,00101
212,11000
213,11111
214,11111
215,00011
216,11111
217,10000
218,11111
219,11000
220,11111
221,01101
222,11110
223,11111
224,10011
225,11101
226,01001
227,10011
228,10110
229,11111
230,11001
231,00000
232,11101
233,10111
234,11111
235,10001
236,11011
237,11010
238,11111
239,01101
240,11001
241,11101
242,11100
243,11101
244,10100
245,11111
246,00011
247,11111
248,11111
249,10001
250,00111
251,00010
252,11000
253,10001
254,11111
255,10110
256,11111
257,11111
258,11111
259,11101
260,11111
261,00101
262,01111
263,10100
264,10000
265,00101
266,11111
267,11111
268,11000
269,11100
270,11111
271,10110
272,11101
273,11111
274,11011
275,11111
276,11011
277,11101
278,11111
279,11111
280,11111
281,11111
282,11111
283,01111
284,11111
285,11111
286,10001
287,11111
288,11111
289,11101
290,11111
291,00011
292,11001
293,01011
294,00101
295,11111
296,00001
297,10010
298,01111
299,00010
300,11111
301,11111
302,11111
303,11101
304,11011
305,11111
306,11110
307,11001
308,10111
309,10011
310,00101
311,11001
312,10011
313,11101
314,00110
315,11111
316,11011
317,00110
318,11111
319,11111
320,00100
321,11001
322,11111
323,11111
324,11101
325,11101
326,10101
327,00001
328,11101
329,11001
330,11010
331,00110
332,11011
333,10111
334,10000
335,11111
336,11001
337,10110
338,00100
339,11101
340,11111
341,11111
342,10010
343,10010
344,11111
345,10001
346,11111
347,11010
348,11010
349,11011
350,11111
351,11111
352,00110
353,00011
354,11111
355,11010
356,11111
357,11011
358,11111
359,11111
360,11010
361,11111
362,11010
363,11111
364,10110
365,11111
366,11001
367,10110
368,11111
369,11111
370,11111
371,11010
372,00100
373,11010
374,11111
375,11111
376,11110
377,00110
378,11101
379,11001
380,10101
381,11000
382,11001
383,11111
384,11110
385,11111
386,11010
387,10111
388,11010
389,11111
390,10101
391,11010
392,10111
393,10100
394,11111
395,00010
396,11111
397,10011
398,11011
399,00010
400,11111
401,11010
402,11101
403,11111
404,01010
405,11101
406,00011
407,01011
408,10010
409,11111
410,11111
411,11011
412,10100
413,11111
414,00101
415,00010
416,00110
417,00100
418,10111
419,11001
420,10101
421,10011
422,11111
423,10011
424,10111
425,10110
426,10000
427,00111
428,11101
429,11111
430,10100
431,11111
432,11111
433,11111
434,11101
435,10001
436,10010
437,00110
438,11001
439,11111
440,11111
441,10011
442,10010
443,11111
444,11001
445,11111
446,00010
447,11101
448,11011
449,11000
450,10111
451,00110
452,01010
453,11111
454,00010
455,00100
456,11111
457,11001
458,11111
459,11111
460,11010
461,11001
462,10111
463,00101
464,11101
465,11000
466,11101
467,10110
468,11111
469,11001
470,11110
471,11000
472,11111
473,11111
474,11111
475,00011
476,11111
477,11011
478,11110
479,11011
480,11110
481,11111
482,10100
483,11000
484,11010
485,11000
486,01101
487,11101
488,10100
489,11101
490,10111
491,10010
492,11010
493,10000
494,11111
495,10011
496,11101
497,10010
498,10011
499,00001
500,00111
501,11010
502,10101
503,00000
504,00101
505,10000
506,00000
507,10101
508,00111
509,10010
510,10010
511,00111
512,10101
513,11111
514,10101
515,10110
516,10100
517,00011
518,11010
519,10000
520,11101
521,10010
522,00011
523,00111
524,00000
525,10010
526,10001
527,11001
528,11000
529,00001
530,10011
531,10011
532,10000
533,11101
534,10000
535,11101
536,11000
