person,profile
1,10111
2,11111
3,11100
4,11000
5,00011
6,00101
7,00100
8,00010
9,00100
10,00100
11,11100
12,11111
13,00001
14,00001
15,00101
16,00010
17,00010
18,00101
19,00100
20,00011
21,11111
22,11000
23,11111
24,10000
25,11101
26,00101
27,00101
28,00000
29,00100
30,11111
31,11111
32,11111
33,11111
34,10111
35,11111
36,11100
37,10001
38,11100
39,11111
40,00100
41,00101
42,11111
43,11111
44,00000
45,11111
46,11111
47,00101
48,10001
49,00101
50,10111
51,00010
52,01100
53,00000
54,11111
55,10000
56,11111
57,11111
58,00101
59,00100
60,11111
61,00101
62,00011
63,11100
64,11111
65,11100
66,10001
67,11100
68,00100
69,00000
70,10100
71,00101
72,00100
73,00001
74,11111
75,00100
76,00001
77,00100
78,11000
79,11111
80,10111
81,00010
82,11111
83,00101
84,01000
85,11100
86,11111
87,11111
88,11111
89,11111
90,11111
91,11100
92,00101
93,11111
94,11111
95,11111
96,11111
97,10000
98,00100
99,11111
100,00000
101,00101
102,11111
103,00100
104,11111
105,11111
106,11100
107,01001
108,11111
109,11100
110,11111
111,00011
112,00011
113,10100
114,10011
115,11111
116,11111
117,00100
118,10010
119,10111
120,00000
121,00001
122,00100
123,00100
124,11111
125,11111
126,11111
127,11111
128,10111
129,10000
130,11111
131,00100
132,11111
133,10100
134,00010
135,00000
136,11111
137,11010
138,11111
139,00101
140,11111
141,11101
142,11111
143,00010
144,00011
145,00101
146,11111
147,11111
148,00010
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,10011
159,11100
160,11111
161,11111
162,11111
163,11111
164,11111
165,00011
166,00101
167,00100
168,11111
169,11111
170,00010
171,10001
172,11111
173,11111
174,10100
175,00101
176,10000
177,11011
178,01101
179,11111
180,11111
181,00010
182,11101
183,11101
184,11111
185,11111
186,11111
187,01101
188,00101
189,11111
190,11111
191,11111
192,11111
193,11111
194,10001
195,00100
196,11111
197,11111
198,11111
199,11111
200,01010
201,11111
202,11111
203,11111
204,11111
205,10010
206,10111
207,11010
208,11100
209,11111
210,11111
211,00100
212,11100
213,11111
214,11111
215,01100
216,11111
217,00010
218,11111
219,11100
220,11010
221,10111
222,11111
223,11111
224,00101
225,11111
226,10010
227,00011
228,00011
229,11111
230,11100
231,00010
232,11101
233,00101
234,11111
235,01100
236,01010
237,11100
238,11111
239,10010
240,01101
241,11111
242,11100
243,11000
244,10100
245,11111
246,00011
247,11111
248,11111
249,00010
250,00100
251,00011
252,11100
253,00010
254,11111
255,00100
256,11111
257,11111
258,11111
259,11011
260,11111
261,00101
262,10111
263,10100
264,00010
265,00101
266,11111
267,11111
268,11100
269,11100
270,11111
271,00101
272,11111
273,11111
274,01011
275,11111
276,11100
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,10111
284,11111
285,11111
286,01001
287,11111
288,11111
289,11000
290,11111
291,00010
292,01100
293,10100
294,00100
295,11111
296,00011
297,00010
298,10111
299,00000
300,11111
301,11111
302,11111
303,11101
304,01001
305,11111
306,11110
307,01100
308,10100
309,00101
310,10100
311,11100
312,00100
313,11111
314,00100
315,11111
316,11100
317,10100
318,11111
319,11111
320,00100
321,11100
322,11111
323,11111
324,11111
325,11111
326,10100
327,00011
328,11111
329,11100
330,11100
331,11100
332,11100
333,10100
334,00101
335,11111
336,11100
337,00100
338,00101
339,11000
340,11111
341,11111
342,00101
343,00100
344,11111
345,00101
346,11111
347,01010
348,11100
349,11100
350,11111
351,11111
352,10100
353,00101
354,11111
355,11100
356,11111
357,11100
358,11111
359,11111
360,11100
361,11111
362,11100
363,11111
364,00100
365,11111
366,11100
367,00101
368,11111
369,11111
370,11111
371,11100
372,00100
373,11100
374,11111
375,11111
376,11111
377,00101
378,11100
379,11100
380,00101
381,11100
382,11100
383,11111
384,11111
385,11111
386,11100
387,00101
388,11100
389,11111
390,10100
391,11100
392,00100
393,00100
394,11111
395,00100
396,11111
397,00100
398,11100
399,00000
400,11111
401,11100
402,11111
403,11111
404,10100
405,11111
406,00001
407,10100
408,00010
409,11111
410,11111
411,11100
412,10100
413,11111
414,00100
415,00100
416,10100
417,00101
418,00100
419,11100
420,00101
421,00100
422,11111
423,00001
424,10100
425,10100
426,00000
427,00100
428,11111
429,11111
430,10100
431,11111
432,11111
433,11111
434,11111
435,00101
436,00000
437,10100
438,11100
439,11111
440,11111
441,00100
442,00010
443,11111
444,11100
445,11111
446,00000
447,11111
448,11100
449,11001
450,00101
451,00100
452,10100
453,11111
454,00001
455,00111
456,11111
457,11100
458,11111
459,11111
460,11100
461,11100
462,00101
463,00101
464,11111
465,11100
466,11111
467,10100
468,11111
469,11100
470,11111
471,11100
472,11111
473,11111
474,11111
475,00000
476,11111
477,11100
478,11111
479,11100
480,11110
481,11111
482,10100
483,11100
484,11100
485,11100
486,10000
487,11111
488,10100
489,11111
490,00100
491,00010
492,11100
493,00101
494,11111
495,00011
496,11111
497,00000
498,00011
499,00000
500,00100
501,11100
502,00100
503,00011
504,00101
505,00010
506,00000
507,00101
508,00100
509,00010
510,00011
511,10100
512,00101
513,11111
514,10100
515,10100
516,10100
517,00010
518,11101
519,00010
520,11101
521,00011
522,00001
523,00101
524,00001
525,00011
526,00010
527,11100
528,11100
529,00100
530,00010
531,00001
532,00001
533,11111
534,00000
535,11111
536,11100
