person,profile
1,01111
2,11111
3,11001
4,11110
5,10010
6,01000
7,10001
8,10101
9,01000
10,10100
11,11001
12,11111
13,10000
14,00101
15,01000
16,00000
17,00001
18,00001
19,01000
20,00001
21,11111
22,11110
23,11111
24,01110
25,11010
26,00100
27,01000
28,10000
29,01000
30,11111
31,01111
32,11111
33,11111
34,01111
35,11111
36,11101
37,01110
38,11001
39,11111
40,01000
41,00001
42,11111
43,11111
44,00010
45,11111
46,11111
47,01000
48,01000
49,00001
50,01111
51,10110
52,11000
53,01000
54,11111
55,01110
56,11111
57,11111
58,10111
59,01000
60,11111
61,01000
62,10001
63,11001
64,11111
65,11001
66,01110
67,11001
68,10000
69,10000
70,01001
71,01000
72,01000
73,10101
74,11111
75,01000
76,00010
77,01000
78,11110
79,11111
80,01111
81,01000
82,11111
83,00100
84,11000
85,11001
86,11111
87,11110
88,11111
89,11111
90,11111
91,11001
92,01000
93,11111
94,11111
95,11111
96,11111
97,01110
98,01000
99,11111
100,00111
101,01000
102,11111
103,01000
104,11111
105,11111
106,11000
107,11000
108,11111
109,11000
110,11111
111,01000
112,10001
113,01001
114,01110
115,11111
116,11111
117,10011
118,01110
119,01111
120,00110
121,10010
122,01000
123,01000
124,11111
125,11111
126,11111
127,11111
128,01111
129,01110
130,11111
131,01000
132,11110
133,01001
134,00100
135,00101
136,11111
137,11111
138,11111
139,10001
140,11111
141,11001
142,11111
143,01000
144,10000
145,01000
146,11111
147,11111
148,10010
149,11110
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,01110
159,11001
160,11111
161,11111
162,11111
163,11111
164,11111
165,10101
166,10011
167,00010
168,11111
169,11111
170,00101
171,01100
172,11110
173,11111
174,01001
175,01000
176,01110
177,11110
178,11000
179,11110
180,11111
181,00111
182,11110
183,11111
184,11111
185,11111
186,11111
187,11000
188,01000
189,11111
190,11111
191,11111
192,11111
193,11111
194,01100
195,00100
196,11111
197,11111
198,11111
199,11111
200,11001
201,11111
202,11111
203,11111
204,11111
205,01110
206,01110
207,11111
208,11001
209,11111
210,11111
211,01000
212,11001
213,11111
214,11111
215,11000
216,11111
217,00011
218,11111
219,11001
220,11111
221,01111
222,11111
223,11111
224,10011
225,11111
226,01010
227,10001
228,01000
229,11111
230,11001
231,10011
232,11111
233,01000
234,11111
235,11000
236,11001
237,11001
238,11111
239,01110
240,11000
241,11111
242,11101
243,11110
244,01000
245,11111
246,10111
247,11111
248,11111
249,10111
250,01000
251,00110
252,11001
253,10110
254,11111
255,01000
256,11111
257,11111
258,11111
259,11110
260,01111
261,01000
262,01111
263,01000
264,10010
265,01000
266,11111
267,11111
268,11000
269,11111
270,11111
271,01000
272,11110
273,11111
274,11000
275,11111
276,11001
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,01111
284,11111
285,11111
286,10001
287,11111
288,11111
289,11110
290,11111
291,00010
292,11000
293,01001
294,01000
295,11111
296,10110
297,10010
298,01111
299,10011
300,11111
301,11111
302,11111
303,11111
304,11001
305,11111
306,11101
307,11000
308,01000
309,10111
310,01000
311,11001
312,10010
313,11111
314,01000
315,11111
316,11000
317,01000
318,11111
319,11111
320,01000
321,11000
322,11111
323,11111
324,11111
325,11111
326,01000
327,00011
328,11111
329,11001
330,11000
331,01000
332,11001
333,01000
334,10101
335,11111
336,11000
337,01000
338,01000
339,11110
340,11111
341,11111
342,00011
343,10111
344,11111
345,00111
346,11111
347,11001
348,11001
349,11000
350,11111
351,11111
352,01000
353,10010
354,11111
355,11000
356,11111
357,11001
358,11111
359,11111
360,11001
361,11111
362,11001
363,11111
364,01000
365,11111
366,11001
367,01000
368,11111
369,11111
370,11111
371,11000
372,01000
373,11000
374,11111
375,11111
376,11111
377,01000
378,11000
379,11001
380,01000
381,11000
382,11000
383,11111
384,11101
385,11111
386,11000
387,01000
388,11000
389,11111
390,01000
391,11000
392,01000
393,01000
394,11111
395,00101
396,11111
397,10110
398,11000
399,10001
400,11111
401,11001
402,11110
403,11111
404,01000
405,11110
406,00101
407,01000
408,00111
409,11111
410,11111
411,11000
412,01000
413,11111
414,01000
415,10000
416,01000
417,01000
418,01000
419,11000
420,01010
421,00111
422,11111
423,00010
424,01000
425,01000
426,10011
427,01000
428,11110
429,11111
430,01000
431,11111
432,11111
433,11111
434,11111
435,00111
436,00110
437,01000
438,11001
439,11111
440,11111
441,00101
442,00110
443,11111
444,11001
445,11111
446,00110
447,11110
448,11001
449,11010
450,01000
451,01000
452,01000
453,11111
454,10001
455,01000
456,11111
457,11000
458,11111
459,11111
460,11001
461,11001
462,01000
463,01000
464,11111
465,11001
466,11111
467,01000
468,11111
469,11001
470,11111
471,11001
472,11111
473,11111
474,11111
475,10110
476,11111
477,11001
478,11111
479,11000
480,11101
481,11111
482,01000
483,11000
484,11000
485,11000
486,01110
487,11110
488,01000
489,11111
490,01000
491,10111
492,11001
493,00111
494,11111
495,00010
496,11111
497,10011
498,10111
499,10001
500,01000
501,11001
502,01000
503,00111
504,01000
505,10010
506,10001
507,01000
508,01000
509,10101
510,10100
511,01000
512,01000
513,11111
514,01000
515,01000
516,01000
517,10101
518,11010
519,10001
520,11111
521,10101
522,10011
523,00010
524,00000
525,00110
526,10110
527,11001
528,11001
529,00101
530,00110
531,00001
532,10001
533,11111
534,00011
535,11111
536,11001
