person,profile
1,01111
2,11111
3,11000
4,11110
5,10010
6,01001
7,10000
8,10010
9,01001
10,10010
11,11000
12,11110
13,10101
14,00000
15,01001
16,10000
17,10000
18,10110
19,01001
20,00001
21,11111
22,11110
23,11111
24,01110
25,11011
26,10001
27,01001
28,10010
29,01001
30,11111
31,01111
32,11111
33,11111
34,01111
35,11111
36,11101
37,01110
38,11000
39,11111
40,01001
41,00010
42,11111
43,11111
44,00100
45,11111
46,11111
47,01001
48,01110
49,10001
50,01111
51,10100
52,11001
53,01000
54,11111
55,01110
56,11111
57,11111
58,10010
59,01001
60,11111
61,01001
62,10010
63,11000
64,11111
65,11000
66,01110
67,11000
68,00101
69,00010
70,01000
71,01001
72,01001
73,00001
74,11110
75,01001
76,00001
77,01001
78,11110
79,11111
80,01111
81,00111
82,11111
83,10111
84,11000
85,11000
86,11111
87,11110
88,11111
89,11111
90,11111
91,11000
92,10010
93,11111
94,11111
95,11111
96,11111
97,01110
98,01001
99,11111
100,00010
101,01001
102,11111
103,01001
104,11111
105,11111
106,11001
107,11000
108,11111
109,11000
110,11110
111,10100
112,10101
113,01000
114,01110
115,11111
116,11111
117,00101
118,01110
119,01111
120,10100
121,10000
122,01001
123,01001
124,11111
125,11110
126,11111
127,11111
128,01111
129,01110
130,11111
131,01001
132,11110
133,01000
134,00111
135,00110
136,11111
137,11110
138,11111
139,10010
140,11111
141,11010
142,11111
143,00111
144,10000
145,01001
146,11111
147,11111
148,10001
149,11110
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,01110
159,11000
160,11111
161,11110
162,11111
163,11111
164,11111
165,00001
166,10011
167,10111
168,11111
169,11111
170,00011
171,01100
172,11110
173,11111
174,01101
175,01001
176,01110
177,11110
178,11000
179,11110
180,11111
181,10110
182,11110
183,11010
184,11111
185,11111
186,11111
187,10111
188,01001
189,11111
190,11111
191,11111
192,11111
193,11111
194,01100
195,00100
196,11111
197,11111
198,11111
199,11111
200,11000
201,11111
202,11111
203,11111
204,11111
205,01110
206,01110
207,11110
208,11000
209,11111
210,11111
211,01001
212,11000
213,11111
214,11111
215,00001
216,11111
217,10001
218,11111
219,11101
220,11110
221,01111
222,11111
223,11111
224,10010
225,11111
226,01011
227,00010
228,01001
229,11111
230,11000
231,00110
232,11111
233,01001
234,11111
235,11001
236,11000
237,11000
238,11111
239,01110
240,11001
241,11110
242,11101
243,11110
244,01001
245,11111
246,10010
247,11111
248,11111
249,00011
250,01001
251,10011
252,11000
253,10011
254,11111
255,01001
256,11111
257,11111
258,11111
259,11110
260,01111
261,01001
262,01111
263,01001
264,00100
265,01001
266,11111
267,11111
268,11001
269,11111
270,11111
271,01001
272,11110
273,11111
274,10011
275,11111
276,11000
277,11110
278,11111
279,11111
280,11111
281,11111
282,11111
283,01111
284,11111
285,11111
286,10001
287,11111
288,11111
289,11110
290,11111
291,00110
292,11000
293,01000
294,01001
295,11111
296,00101
297,10110
298,01111
299,00001
300,11111
301,11111
302,11111
303,11111
304,11000
305,11111
306,11101
307,11000
308,01001
309,10101
310,01001
311,11000
312,10100
313,11110
314,01001
315,11111
316,11001
317,01001
318,11111
319,11111
320,01001
321,11000
322,11111
323,11111
324,11110
325,11110
326,01001
327,00001
328,11110
329,11000
330,11001
331,01001
332,11000
333,01001
334,00111
335,11110
336,11001
337,01001
338,01001
339,11110
340,11111
341,11111
342,00111
343,10101
344,11111
345,10000
346,11111
347,11000
348,11000
349,11000
350,11111
351,11111
352,01001
353,10000
354,11111
355,11000
356,11111
357,11000
358,11111
359,11111
360,11000
361,11111
362,11000
363,11111
364,01001
365,11111
366,11000
367,01001
368,11111
369,11111
370,11111
371,11001
372,01001
373,11001
374,11110
375,11111
376,11110
377,01001
378,11001
379,11000
380,01001
381,11000
382,11001
383,11111
384,11101
385,11111
386,11001
387,01001
388,11000
389,11111
390,01001
391,11000
392,01001
393,01001
394,11111
395,10100
396,11111
397,10001
398,11001
399,10101
400,11111
401,11000
402,11110
403,11111
404,01001
405,11110
406,00010
407,01001
408,10110
409,11111
410,11111
411,11001
412,01001
413,11111
414,01001
415,10111
416,01001
417,01001
418,01001
419,11001
420,01011
421,00011
422,11111
423,00100
424,01001
425,01001
426,00110
427,01001
428,11110
429,11111
430,01001
431,11111
432,11111
433,11111
434,11110
435,00101
436,10100
437,01001
438,11000
439,11111
440,11111
441,00110
442,00101
443,11111
444,11000
445,11111
446,00000
447,11110
448,11000
449,11011
450,01001
451,01001
452,01000
453,11111
454,10110
455,01001
456,11111
457,11000
458,11111
459,11111
460,11000
461,11000
462,01001
463,01001
464,11111
465,11000
466,11110
467,01001
468,11111
469,11000
470,11111
471,11000
472,11111
473,11111
474,11111
475,00000
476,11111
477,11000
478,11111
479,11001
480,11101
481,11111
482,01001
483,11001
484,11001
485,11001
486,01110
487,11110
488,01001
489,11110
490,01001
491,00101
492,11000
493,00100
494,11111
495,10101
496,11110
497,10011
498,00111
499,10011
500,01001
501,11000
502,01001
503,10010
504,01001
505,00110
506,10101
507,01001
508,01001
509,10011
510,10110
511,01001
512,01001
513,11111
514,01001
515,01001
516,01001
517,10010
518,11011
519,00001
520,11111
521,10010
522,00101
523,10100
524,10011
525,10100
526,00011
527,11000
528,11000
529,00100
530,00111
531,00110
532,00010
533,11110
534,10010
535,11111
536,11000
