person,profile
1,01111
2,11111
3,11101
4,11011
5,00000
6,00111
7,00000
8,00001
9,00011
10,00011
11,11100
12,11011
13,10010
14,00000
15,10110
16,00010
17,00000
18,00010
19,00110
20,10000
21,11111
22,11011
23,11111
24,01011
25,11011
26,10000
27,00110
28,10100
29,00010
30,11111
31,11111
32,11111
33,11111
34,01111
35,11111
36,11010
37,01011
38,11100
39,11111
40,10011
41,00100
42,11111
43,11111
44,00001
45,11111
46,11111
47,00010
48,01011
49,00101
50,01111
51,10101
52,11101
53,11101
54,11111
55,01011
56,11111
57,11111
58,10101
59,10110
60,11111
61,00011
62,10000
63,11011
64,11111
65,11000
66,01011
67,11101
68,00000
69,00001
70,01100
71,00111
72,10010
73,00100
74,11011
75,10011
76,10000
77,00111
78,11011
79,11111
80,01111
81,10011
82,11111
83,10101
84,11100
85,11000
86,11111
87,11011
88,11111
89,11111
90,11111
91,11101
92,10010
93,11111
94,11111
95,11111
96,11111
97,01011
98,00111
99,11111
100,00101
101,00010
102,11111
103,00011
104,11111
105,11111
106,11000
107,11100
108,11111
109,11001
110,11011
111,10100
112,10100
113,11100
114,01011
115,11010
116,11111
117,10100
118,01011
119,01111
120,00000
121,00000
122,10010
123,00010
124,11111
125,11111
126,11111
127,11111
128,01111
129,01011
130,11111
131,10110
132,11011
133,01101
134,00000
135,00001
136,11111
137,11011
138,11111
139,10000
140,11111
141,11001
142,11111
143,00101
144,10000
145,00010
146,11111
147,11111
148,10100
149,11011
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,01011
159,11100
160,11111
161,11011
162,11111
163,11111
164,11111
165,10100
166,00001
167,10101
168,11111
169,11111
170,00100
171,10111
172,11011
173,11111
174,01000
175,10010
176,01011
177,11011
178,11100
179,11011
180,11111
181,00100
182,11011
183,11001
184,11111
185,11111
186,11111
187,00001
188,10110
189,11111
190,11111
191,11111
192,11111
193,11111
194,00111
195,00110
196,11111
197,11111
198,11111
199,11111
200,11101
201,11111
202,11111
203,11111
204,11111
205,01011
206,01011
207,11011
208,11101
209,11111
210,11111
211,10010
212,11100
213,11111
214,11111
215,10101
216,11111
217,10101
218,11111
219,11001
220,11111
221,01011
222,11110
223,11111
224,10001
225,11011
226,01100
227,10001
228,10111
229,11111
230,11000
231,00100
232,11011
233,10110
234,11111
235,00000
236,11001
237,11100
238,11111
239,01011
240,11101
241,11011
242,11010
243,11011
244,10110
245,11111
246,10101
247,11111
248,11111
249,00000
250,10111
251,10000
252,11100
253,00101
254,11111
255,10111
256,11111
257,11111
258,11111
259,11011
260,11111
261,10111
262,01111
263,00111
264,00100
265,00111
266,11111
267,11111
268,11101
269,11010
270,11111
271,00110
272,11011
273,11111
274,11000
275,11111
276,11001
277,11011
278,11111
279,11111
280,11111
281,11111
282,11111
283,01111
284,11111
285,11111
286,10000
287,11111
288,11111
289,11011
290,11111
291,00001
292,11101
293,01101
294,00011
295,11111
296,00101
297,10000
298,01111
299,10101
300,11111
301,11111
302,11111
303,11011
304,11100
305,11111
306,11110
307,11001
308,10011
309,00100
310,10011
311,11100
312,00001
313,11011
314,00011
315,11111
316,11100
317,00011
318,11111
319,11111
320,10011
321,11000
322,11111
323,11111
324,11011
325,11011
326,10110
327,00000
328,11011
329,11100
330,11000
331,10010
332,11000
333,00111
334,10100
335,11111
336,11101
337,10011
338,00111
339,11011
340,11111
341,11111
342,00100
343,10100
344,11111
345,10001
346,11111
347,11100
348,11101
349,11100
350,11111
351,11111
352,10011
353,00100
354,11111
355,11001
356,11111
357,11101
358,11111
359,11111
360,11000
361,11111
362,11000
363,11111
364,10010
365,11111
366,11101
367,10011
368,11111
369,11111
370,11111
371,11101
372,00010
373,11000
374,11111
375,11111
376,11110
377,00111
378,11011
379,11000
380,10111
381,11101
382,11001
383,11111
384,11110
385,11111
386,11000
387,00111
388,11000
389,11111
390,00010
391,11001
392,10011
393,00011
394,11111
395,00000
396,11111
397,10101
398,11101
399,00101
400,11111
401,11000
402,11011
403,11111
404,01101
405,11011
406,00000
407,01101
408,10100
409,11111
410,11111
411,11001
412,10111
413,11111
414,10010
415,10101
416,10110
417,00110
418,00010
419,11000
420,00011
421,00100
422,11111
423,10101
424,10111
425,00011
426,10001
427,00111
428,11011
429,11111
430,00110
431,11111
432,11111
433,11111
434,11011
435,00101
436,10001
437,10110
438,11101
439,11111
440,11111
441,00001
442,10100
443,11111
444,11001
445,11111
446,10101
447,11011
448,11001
449,11000
450,00111
451,10111
452,01100
453,11111
454,00101
455,10111
456,11111
457,11001
458,11111
459,11111
460,11001
461,11001
462,10011
463,10110
464,11011
465,11100
466,11011
467,00111
468,11111
469,11000
470,11110
471,11000
472,11111
473,11111
474,11111
475,00000
476,11111
477,11001
478,11110
479,11101
480,11110
481,11111
482,10111
483,11100
484,11001
485,11101
486,01011
487,11011
488,10011
489,11011
490,00010
491,10100
492,11000
493,10001
494,11111
495,00001
496,11011
497,00101
498,00101
499,10100
500,10011
501,11100
502,10111
503,00001
504,10110
505,00100
506,00101
507,10011
508,10111
509,10000
510,00100
511,00110
512,10110
513,11111
514,00011
515,00111
516,00011
517,00100
518,11000
519,10101
520,11011
521,10000
522,00000
523,10010
524,10100
525,10001
526,00101
527,11001
528,11000
529,10001
530,00000
531,00000
532,00000
533,11011
534,10100
535,11011
536,11000
