person,profile
1,10111
2,11111
3,11001
4,11110
5,00011
6,10000
7,01101
8,00110
9,10000
10,00011
11,11001
12,11111
13,00101
14,00000
15,10000
16,00100
17,01110
18,01011
19,10000
20,00000
21,11111
22,11110
23,11111
24,10110
25,11010
26,00110
27,10000
28,00100
29,10000
30,11111
31,10111
32,11111
33,11111
34,10111
35,11111
36,11101
37,10110
38,11001
39,11111
40,10000
41,00100
42,11111
43,11111
44,00100
45,11111
46,11111
47,10000
48,10000
49,00100
50,10111
51,00010
52,11000
53,10000
54,11111
55,10110
56,11111
57,11111
58,00001
59,10000
60,11111
61,10000
62,01101
63,11001
64,11111
65,11001
66,10110
67,11001
68,01110
69,00011
70,10001
71,10000
72,10000
73,01100
74,11111
75,10000
76,00000
77,10000
78,11110
79,11111
80,10111
81,10000
82,11111
83,00001
84,11000
85,11001
86,11111
87,11110
88,11111
89,11111
90,11111
91,11001
92,10000
93,11111
94,11111
95,11111
96,11111
97,10110
98,10000
99,11111
100,00110
101,10000
102,11111
103,10000
104,11111
105,11111
106,11000
107,11000
108,11111
109,11000
110,11111
111,10000
112,00010
113,10001
114,10110
115,11111
116,11111
117,01100
118,10110
119,10111
120,01001
121,00011
122,10000
123,10000
124,11111
125,11111
126,11111
127,11111
128,10111
129,10110
130,11111
131,10000
132,11110
133,10001
134,00101
135,01011
136,11111
137,11111
138,11111
139,01000
140,11111
141,11001
142,11111
143,10000
144,00111
145,10000
146,11111
147,11111
148,00110
149,11110
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,10110
159,11001
160,11111
161,11111
162,11111
163,11111
164,11111
165,01010
166,00111
167,00100
168,11111
169,11111
170,01010
171,10100
172,11110
173,11111
174,10001
175,10000
176,10110
177,11110
178,11000
179,11110
180,11111
181,01101
182,11110
183,11111
184,11111
185,11111
186,11111
187,11000
188,10000
189,11111
190,11111
191,11111
192,11111
193,11111
194,10100
195,00000
196,11111
197,11111
198,11111
199,11111
200,11001
201,11111
202,11111
203,11111
204,11111
205,10110
206,10110
207,11111
208,11001
209,11111
210,11111
211,10000
212,11001
213,11111
214,11111
215,11000
216,11111
217,00010
218,11111
219,11001
220,11111
221,10111
222,11111
223,11111
224,01110
225,11111
226,10010
227,01101
228,10000
229,11111
230,11001
231,00100
232,11111
233,10000
234,11111
235,11000
236,11001
237,11001
238,11111
239,10110
240,11000
241,11111
242,11101
243,11110
244,10000
245,11111
246,00100
247,11111
248,11111
249,01011
250,10000
251,01111
252,11001
253,01010
254,11111
255,10000
256,11111
257,11111
258,11111
259,11110
260,10111
261,10000
262,10111
263,10000
264,01100
265,10000
266,11111
267,11111
268,11000
269,11111
270,11111
271,10000
272,11110
273,11111
274,11000
275,11111
276,11001
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,10111
284,11111
285,11111
286,01100
287,11111
288,11111
289,11110
290,11111
291,01111
292,11000
293,10001
294,10000
295,11111
296,00001
297,01100
298,10111
299,01110
300,11111
301,11111
302,11111
303,11111
304,11001
305,11111
306,11101
307,11000
308,10000
309,00011
310,10000
311,11001
312,01010
313,11111
314,10000
315,11111
316,11000
317,10000
318,11111
319,11111
320,10000
321,11000
322,11111
323,11111
324,11111
325,11111
326,10000
327,00011
328,11111
329,11001
330,11000
331,10000
332,11001
333,10000
334,01110
335,11111
336,11000
337,10000
338,10000
339,11110
340,11111
341,11111
342,01100
343,00101
344,11111
345,01110
346,11111
347,11001
348,11001
349,11000
350,11111
351,11111
352,10000
353,00101
354,11111
355,11000
356,11111
357,11001
358,11111
359,11111
360,11001
361,11111
362,11001
363,11111
364,10000
365,11111
366,11001
367,10000
368,11111
369,11111
370,11111
371,11000
372,10000
373,11000
374,11111
375,11111
376,11111
377,10000
378,11000
379,11001
380,10000
381,11000
382,11000
383,11111
384,11101
385,11111
386,11000
387,10000
388,11000
389,11111
390,10000
391,11000
392,10000
393,10000
394,11111
395,00100
396,11111
397,00110
398,11000
399,00110
400,11111
401,11001
402,11110
403,11111
404,10000
405,11110
406,01000
407,10000
408,00110
409,11111
410,11111
411,11000
412,10000
413,11111
414,10000
415,00111
416,10000
417,10000
418,10000
419,11000
420,10010
421,01110
422,11111
423,00101
424,10000
425,10000
426,00011
427,10000
428,11110
429,11111
430,10000
431,11111
432,11111
433,11111
434,11111
435,00010
436,00010
437,10000
438,11001
439,11111
440,11111
441,00101
442,01000
443,11111
444,11001
445,11111
446,01101
447,11110
448,11001
449,11010
450,10000
451,10000
452,10000
453,11111
454,01001
455,10000
456,11111
457,11000
458,11111
459,11111
460,11001
461,11001
462,10000
463,10000
464,11111
465,11001
466,11111
467,10000
468,11111
469,11001
470,11111
471,11001
472,11111
473,11111
474,11111
475,01101
476,11111
477,11001
478,11111
479,11000
480,11101
481,11111
482,10000
483,11000
484,11000
485,11000
486,10110
487,11110
488,10000
489,11111
490,10000
491,01101
492,11001
493,01101
494,11111
495,00110
496,11111
497,01011
498,01101
499,01011
500,10000
501,11001
502,10000
503,01100
504,10000
505,01100
506,00110
507,10000
508,10000
509,01010
510,01101
511,10000
512,10000
513,11111
514,10000
515,10000
516,10000
517,01100
518,11010
519,00011
520,11111
521,01011
522,01000
523,00011
524,00001
525,01100
526,00110
527,11001
528,11001
529,00010
530,01110
531,01100
532,01110
533,11111
534,00010
535,11111
536,11001
