person,profile
1,1010
2,1111
3,0110
4,1111
5,0000
6,1000
7,0000
8,0000
9,1000
10,1000
11,0110
12,1111
13,1100
14,0000
15,1000
16,1000
17,0000
18,1000
19,1000
20,0000
21,1110
22,1111
23,1111
24,1010
25,0111
26,0000
27,1000
28,0000
29,1000
30,1111
31,1010
32,1111
33,1111
34,1010
35,1111
36,0111
37,1010
38,0110
39,1111
40,1000
41,0000
42,1111
43,1111
44,0000
45,1111
46,1111
47,1000
48,1000
49,0000
50,1010
51,0000
52,1100
53,0000
54,1111
55,1010
56,1111
57,1111
58,0000
59,1000
60,1111
61,1000
62,0000
63,0110
64,1111
65,0110
66,1010
67,0110
68,0000
69,0000
70,0010
71,1000
72,1000
73,0000
74,1111
75,1000
76,0000
77,1100
78,1111
79,1111
80,1010
81,1000
82,1110
83,0000
84,1100
85,0110
86,1110
87,1111
88,1111
89,1111
90,1111
91,0110
92,1000
93,1111
94,1111
95,1111
96,1111
97,1000
98,1000
99,1111
100,0000
101,1100
102,1111
103,1000
104,1111
105,1111
106,1100
107,0101
108,1111
109,0110
110,1111
111,0000
112,0000
113,0011
114,1010
115,0111
116,1111
117,0000
118,1010
119,1010
120,0000
121,0000
122,1000
123,1000
124,1111
125,1111
126,1111
127,1111
128,1010
129,1010
130,1111
131,1000
132,1111
133,0010
134,0000
135,0000
136,1111
137,1110
138,1110
139,0000
140,1111
141,0110
142,1111
143,0000
144,0000
145,1000
146,1111
147,1111
148,0000
149,1111
150,1111
151,1111
152,1111
153,1111
154,1111
155,1111
156,1110
157,1111
158,1010
159,0110
160,1110
161,1111
162,1111
163,1111
164,1111
165,0000
166,0000
167,0000
168,1111
169,1111
170,0000
171,1000
172,1111
173,1111
174,0010
175,1000
176,1010
177,1110
178,1100
179,1111
180,1111
181,0000
182,1110
183,0110
184,1111
185,1111
186,1110
187,0101
188,1000
189,1111
190,1111
191,1111
192,1111
193,1111
194,1000
195,1000
196,1111
197,1111
198,1111
199,1111
200,0101
201,1111
202,1111
203,1111
204,1111
205,1010
206,1010
207,1110
208,0110
209,1111
210,1111
211,1000
212,0110
213,1111
214,1111
215,0101
216,1111
217,0000
218,1111
219,0111
220,1111
221,1010
222,1111
223,1111
224,0000
225,1111
226,1000
227,0000
228,1000
229,1110
230,0110
231,0000
232,0111
233,1000
234,1111
235,1100
236,0111
237,0110
238,1111
239,1010
240,1100
241,1111
242,0110
243,1111
244,1000
245,1111
246,0000
247,1110
248,1111
249,0000
250,1000
251,0000
252,0110
253,0000
254,1110
255,1100
256,1111
257,1111
258,1111
259,1110
260,1010
261,1000
262,1010
263,1000
264,0000
265,1000
266,1111
267,1111
268,0110
269,0110
270,1110
271,1000
272,1111
273,1111
274,0101
275,1111
276,0110
277,1111
278,1111
279,1111
280,1111
281,1111
282,1111
283,1010
284,1111
285,1111
286,0101
287,1111
288,1111
289,1110
290,1111
291,0000
292,1100
293,0010
294,1000
295,1111
296,0000
297,0001
298,1010
299,0000
300,1111
301,1111
302,1111
303,0110
304,0110
305,1111
306,1111
307,1100
308,1100
309,0000
310,1000
311,0110
312,0000
313,1110
314,1100
315,1111
316,0110
317,1000
318,1110
319,1110
320,1000
321,0110
322,1110
323,1111
324,1110
325,1111
326,1000
327,0000
328,1110
329,0110
330,1100
331,1100
332,0110
333,1000
334,0000
335,1110
336,0110
337,1000
338,1000
339,0111
340,1111
341,1111
342,0000
343,0000
344,1111
345,0000
346,1110
347,0110
348,0110
349,1100
350,1110
351,1111
352,1000
353,0000
354,1111
355,0110
356,1110
357,0110
358,1111
359,1110
360,0110
361,1111
362,0111
363,1110
364,1000
365,1110
366,0110
367,1000
368,1111
369,1111
370,1111
371,1100
372,1000
373,0110
374,1111
375,1111
376,1111
377,1000
378,0110
379,0110
380,1100
381,1100
382,0110
383,1110
384,1111
385,1110
386,0111
387,1000
388,0110
389,1111
390,1000
391,0110
392,1000
393,1000
394,1111
395,0000
396,1111
397,0000
398,0110
399,0000
400,1111
401,0110
402,1111
403,1110
404,0010
405,1111
406,0000
407,0010
408,0000
409,1110
410,1111
411,1100
412,1000
413,1111
414,1000
415,0000
416,1000
417,1000
418,1000
419,0110
420,1000
421,0000
422,1110
423,0000
424,1000
425,1000
426,0000
427,1100
428,1111
429,1111
430,1000
431,1111
432,1111
433,1111
434,1111
435,0000
436,0000
437,1000
438,0110
439,1111
440,1111
441,0000
442,0000
443,1110
444,0110
445,1110
446,0000
447,1111
448,0110
449,0111
450,1000
451,1000
452,0010
453,1111
454,0000
455,1000
456,1111
457,0110
458,1110
459,1111
460,0110
461,0110
462,1000
463,1100
464,1110
465,0110
466,1111
467,1000
468,1111
469,0110
470,1111
471,0110
472,1111
473,1111
474,1111
475,0000
476,1111
477,0110
478,1111
479,1100
480,1111
481,1110
482,1000
483,0110
484,0110
485,0110
486,1010
487,1111
488,1000
489,1111
490,1100
491,0000
492,0111
493,0000
494,1111
495,0000
496,1111
497,0000
498,0000
499,0000
500,1000
501,0110
502,1000
503,0000
504,1000
505,0000
506,0000
507,1000
508,1000
509,0000
510,0000
511,1000
512,1000
513,1111
514,1000
515,1000
516,1000
517,0000
518,0110
519,0000
520,1111
521,0000
522,0000
523,1000
524,0000
525,0000
526,0000
527,0110
528,0110
529,1000
530,0000
531,0000
532,0000
533,1111
534,0000
535,1111
536,0110
