person,profile
1,1010
2,1110
3,0110
4,1111
5,0000
6,0010
7,0000
8,0000
9,1000
10,0000
11,0111
12,1111
13,1000
14,0000
15,0010
16,1000
17,0000
18,1000
19,0010
20,0000
21,1110
22,1111
23,1111
24,1010
25,0111
26,0000
27,1000
28,0000
29,0010
30,1111
31,1110
32,1111
33,1111
34,1010
35,1111
36,1101
37,1000
38,0111
39,1111
40,1000
41,0000
42,1111
43,1111
44,0000
45,1110
46,1110
47,0010
48,1000
49,0000
50,1010
51,0000
52,0110
53,1000
54,1111
55,1010
56,1111
57,1111
58,0000
59,0010
60,1110
61,0000
62,0000
63,0111
64,1111
65,0111
66,1010
67,0111
68,0000
69,0000
70,1000
71,0010
72,0010
73,0000
74,1111
75,1000
76,0000
77,0010
78,1110
79,1111
80,1011
81,1000
82,1110
83,0000
84,0110
85,0111
86,1110
87,1111
88,1111
89,1111
90,1111
91,0110
92,1000
93,1111
94,1111
95,1111
96,1110
97,1000
98,1000
99,1111
100,0000
101,0010
102,1111
103,0010
104,1111
105,1111
106,0111
107,0101
108,1111
109,0111
110,1111
111,0000
112,0000
113,0111
114,1010
115,1111
116,1111
117,0000
118,1010
119,1010
120,0000
121,0000
122,0010
123,1000
124,1111
125,1111
126,1111
127,1111
128,1011
129,1010
130,1111
131,1000
132,1111
133,1000
134,0000
135,0000
136,1111
137,1110
138,1110
139,0000
140,1111
141,0111
142,1111
143,0000
144,0000
145,1000
146,1111
147,1111
148,0000
149,1111
150,1111
151,1111
152,1111
153,1111
154,1111
155,1111
156,1110
157,1111
158,1010
159,0110
160,1110
161,1111
162,1110
163,1111
164,1111
165,0000
166,0000
167,0000
168,1111
169,1111
170,0000
171,1000
172,1111
173,1111
174,1010
175,0010
176,1010
177,1110
178,0111
179,1111
180,1111
181,0000
182,1110
183,0110
184,1111
185,1111
186,1110
187,0101
188,1000
189,1111
190,1111
191,1111
192,1111
193,1111
194,1000
195,0000
196,1111
197,1111
198,1111
199,1110
200,0110
201,1111
202,1111
203,1111
204,1111
205,1010
206,1011
207,1110
208,0101
209,1111
210,1111
211,0010
212,0111
213,1111
214,1111
215,0101
216,1111
217,0000
218,1111
219,1101
220,1010
221,1010
222,1110
223,1111
224,0000
225,1111
226,1000
227,0000
228,1000
229,1110
230,0111
231,0000
232,1110
233,0010
234,1110
235,0101
236,0101
237,0110
238,1111
239,1010
240,0110
241,1111
242,0110
243,1110
244,0010
245,1111
246,0000
247,1110
248,1111
249,0000
250,0010
251,0000
252,0111
253,0000
254,1110
255,0010
256,1111
257,1111
258,1111
259,1110
260,1111
261,0010
262,1011
263,0010
264,0000
265,1000
266,1111
267,1111
268,0110
269,1110
270,1110
271,0010
272,1110
273,1111
274,0101
275,1111
276,0111
277,1111
278,1111
279,1111
280,1111
281,1111
282,1111
283,1010
284,1111
285,1110
286,0101
287,1111
288,1111
289,1110
290,1110
291,0000
292,0111
293,1000
294,0010
295,1111
296,0000
297,0001
298,1010
299,0000
300,1111
301,1111
302,1111
303,1110
304,0101
305,1111
306,1101
307,0111
308,0010
309,0000
310,0010
311,0111
312,0000
313,1110
314,0010
315,1110
316,0110
317,0010
318,1110
319,1110
320,0010
321,0111
322,1110
323,1111
324,1110
325,1111
326,0010
327,0000
328,1110
329,0111
330,0111
331,0010
332,0110
333,0010
334,0000
335,1110
336,0110
337,0010
338,0010
339,0111
340,1111
341,1111
342,0000
343,0000
344,1111
345,0000
346,1110
347,0101
348,0111
349,0110
350,1110
351,1111
352,0010
353,0000
354,1111
355,0110
356,1110
357,0111
358,1111
359,1110
360,0111
361,1111
362,0111
363,1110
364,0010
365,1110
366,0111
367,0010
368,1111
369,1111
370,1111
371,0110
372,0010
373,0110
374,1111
375,1111
376,1111
377,0010
378,0111
379,0111
380,0010
381,0110
382,0111
383,1110
384,1111
385,1110
386,0111
387,0010
388,0111
389,1111
390,0010
391,0111
392,1000
393,1000
394,1111
395,0000
396,1111
397,0000
398,0111
399,0000
400,1110
401,0110
402,1111
403,1110
404,0010
405,1111
406,0000
407,0010
408,0000
409,1110
410,1111
411,0111
412,0010
413,1111
414,1000
415,0000
416,0010
417,1000
418,0010
419,0111
420,0010
421,0000
422,1110
423,0000
424,0010
425,0010
426,0000
427,0010
428,1111
429,1111
430,0010
431,1111
432,1110
433,1110
434,1111
435,0000
436,0000
437,0010
438,0110
439,1111
440,1111
441,0000
442,0000
443,1110
444,0111
445,1110
446,0000
447,1111
448,0110
449,0111
450,0010
451,0010
452,1000
453,1110
454,0000
455,1000
456,1111
457,0111
458,1110
459,1111
460,0111
461,0111
462,0010
463,0010
464,1110
465,0111
466,1111
467,0010
468,1111
469,0111
470,1111
471,0111
472,1111
473,1111
474,1111
475,0000
476,1111
477,0111
478,1111
479,0111
480,1111
481,1110
482,0010
483,0110
484,0111
485,0111
486,1010
487,1111
488,0010
489,1111
490,0010
491,0000
492,0111
493,0000
494,1111
495,0000
496,1111
497,0000
498,0000
499,0000
500,0010
501,0111
502,0010
503,0000
504,1000
505,0000
506,0000
507,1000
508,0010
509,0000
510,0000
511,0010
512,0010
513,1111
514,0010
515,0010
516,0010
517,0000
518,0110
519,0000
520,1111
521,0000
522,0000
523,0000
524,0000
525,0000
526,0000
527,0110
528,0110
529,0000
530,0000
531,0000
532,0000
533,1111
534,0000
535,1110
536,0111
