person,profile
1,1010
2,1111
3,0110
4,1110
5,0001
6,1000
7,0000
8,0000
9,1000
10,1000
11,0110
12,1110
13,0001
14,0001
15,1000
16,0001
17,0000
18,1000
19,1000
20,0000
21,1110
22,1110
23,1111
24,1001
25,0110
26,0000
27,1000
28,0000
29,1000
30,1111
31,1011
32,1111
33,1111
34,1011
35,1111
36,0110
37,1001
38,0110
39,1111
40,1000
41,0000
42,1111
43,1111
44,0001
45,1111
46,1111
47,1000
48,1001
49,0000
50,1011
51,0000
52,1100
53,0101
54,1111
55,1011
56,1111
57,1111
58,0000
59,1000
60,1101
61,0000
62,0000
63,1110
64,1110
65,0110
66,1010
67,0110
68,0000
69,0000
70,0010
71,1000
72,1000
73,0000
74,1110
75,0001
76,0000
77,1000
78,1110
79,1111
80,1011
81,0001
82,1111
83,0000
84,1100
85,0110
86,0111
87,1110
88,1111
89,1111
90,1111
91,0110
92,0001
93,1111
94,1111
95,1111
96,1111
97,1001
98,1000
99,1111
100,0000
101,1000
102,1111
103,1000
104,1111
105,1111
106,1100
107,0100
108,1111
109,0110
110,1110
111,0001
112,0000
113,0010
114,1001
115,1110
116,1111
117,0000
118,1010
119,1011
120,0000
121,0000
122,1000
123,1000
124,1111
125,1111
126,1111
127,1111
128,1011
129,1010
130,1111
131,0001
132,1110
133,0010
134,0000
135,0000
136,1111
137,0111
138,1111
139,0000
140,1111
141,0110
142,1111
143,0001
144,0000
145,1000
146,1111
147,1111
148,0000
149,1110
150,1111
151,1111
152,1111
153,1111
154,1111
155,1111
156,1111
157,1110
158,1001
159,0110
160,1111
161,1110
162,1111
163,1111
164,1111
165,0000
166,0000
167,1000
168,1111
169,1111
170,0000
171,1001
172,1110
173,1111
174,0010
175,1000
176,1010
177,0111
178,1100
179,1110
180,1111
181,0000
182,1110
183,0110
184,1111
185,1111
186,1111
187,0100
188,1000
189,1111
190,1111
191,1111
192,1111
193,1111
194,1001
195,1000
196,1111
197,1111
198,1111
199,1111
200,0101
201,1111
202,1111
203,1111
204,1111
205,1010
206,1011
207,1110
208,0100
209,1111
210,1111
211,1000
212,0110
213,1111
214,1111
215,0100
216,1111
217,0000
218,1111
219,0110
220,1101
221,1010
222,1110
223,1111
224,0000
225,1110
226,0001
227,0000
228,0001
229,1111
230,0110
231,0000
232,1110
233,1000
234,1111
235,0101
236,0100
237,0101
238,1111
239,1001
240,0101
241,1111
242,0110
243,1110
244,1000
245,1111
246,0000
247,1111
248,1111
249,0000
250,1000
251,0000
252,0110
253,0000
254,1111
255,1000
256,1110
257,1111
258,1111
259,0111
260,1011
261,1000
262,1011
263,1000
264,0001
265,1000
266,1111
267,1111
268,0110
269,1110
270,1111
271,1000
272,1110
273,1111
274,0100
275,1111
276,0110
277,1110
278,1111
279,1111
280,1111
281,1111
282,1111
283,1011
284,1111
285,1111
286,0100
287,1111
288,1111
289,1110
290,1111
291,0000
292,1100
293,0010
294,1000
295,1111
296,0000
297,0000
298,1011
299,0000
300,1111
301,1111
302,1111
303,1110
304,0100
305,1111
306,1111
307,1100
308,1000
309,0000
310,1000
311,0110
312,0000
313,1110
314,1000
315,1111
316,0110
317,1000
318,0110
319,1111
320,1000
321,1100
322,1111
323,1111
324,1110
325,1111
326,1000
327,0000
328,1111
329,0110
330,1100
331,1000
332,0110
333,1000
334,0000
335,1110
336,0110
337,1000
338,1000
339,1110
340,1111
341,1111
342,0000
343,0000
344,1111
345,0000
346,1111
347,0100
348,0110
349,1100
350,1111
351,1111
352,1000
353,0000
354,1111
355,0110
356,1111
357,0110
358,1111
359,1111
360,0110
361,1111
362,0110
363,1111
364,1000
365,1111
366,0110
367,1000
368,1111
369,1111
370,1111
371,1100
372,1000
373,0110
374,1111
375,1111
376,1111
377,1000
378,0110
379,0110
380,1000
381,1100
382,0110
383,1111
384,1110
385,1111
386,0110
387,1000
388,0110
389,1111
390,1000
391,0110
392,1000
393,1000
394,1111
395,0000
396,1111
397,0000
398,0110
399,0000
400,1111
401,0110
402,1110
403,1110
404,0010
405,1110
406,0000
407,1000
408,0000
409,1111
410,1111
411,1100
412,1000
413,1111
414,1000
415,0000
416,1000
417,1000
418,1000
419,0110
420,1000
421,0000
422,1111
423,0000
424,1000
425,1000
426,0000
427,1000
428,1110
429,1111
430,1000
431,1111
432,1111
433,1111
434,1111
435,0000
436,0000
437,1000
438,0110
439,1111
440,1111
441,0000
442,0000
443,1110
444,0110
445,1111
446,0000
447,1110
448,0110
449,0110
450,1000
451,1000
452,0010
453,1111
454,0000
455,1000
456,1111
457,0110
458,1111
459,1111
460,0110
461,0110
462,1000
463,1000
464,1110
465,0110
466,1111
467,1000
468,1111
469,0110
470,1111
471,0110
472,1111
473,1111
474,1111
475,0000
476,1111
477,0110
478,1111
479,1100
480,1111
481,1111
482,1000
483,0110
484,0110
485,0110
486,1010
487,1110
488,1000
489,1110
490,1000
491,0000
492,0110
493,0000
494,1111
495,0000
496,1110
497,0000
498,0000
499,0000
500,1000
501,0110
502,1000
503,0000
504,1000
505,0001
506,0000
507,1000
508,1000
509,0000
510,0000
511,1000
512,1000
513,1110
514,1000
515,1000
516,1000
517,0000
518,0110
519,0000
520,1110
521,0001
522,0000
523,0000
524,0000
525,0000
526,0000
527,0110
528,0110
529,0000
530,0000
531,0000
532,0000
533,1110
534,0000
535,1110
536,0110
