person,profile
1,1010
2,1110
3,0111
4,1111
5,0000
6,1000
7,0000
8,0000
9,1000
10,1001
11,0111
12,1111
13,1101
14,0000
15,1000
16,1000
17,0000
18,1001
19,1000
20,0000
21,1111
22,1111
23,1111
24,1010
25,0111
26,0000
27,1001
28,0000
29,1000
30,1111
31,1011
32,1111
33,1111
34,1010
35,1111
36,0111
37,1010
38,0111
39,1111
40,1001
41,0000
42,1111
43,1111
44,0000
45,1110
46,1110
47,1000
48,1000
49,0000
50,1010
51,0000
52,1101
53,0000
54,1111
55,1010
56,1111
57,1111
58,0000
59,1001
60,1110
61,1000
62,0000
63,0111
64,1111
65,0111
66,1010
67,0111
68,0000
69,0000
70,0010
71,1001
72,1001
73,0000
74,1111
75,1000
76,0000
77,1101
78,1110
79,1111
80,1011
81,1000
82,1110
83,0000
84,1101
85,0111
86,1110
87,1111
88,1111
89,1111
90,1111
91,0111
92,1000
93,1111
94,1111
95,1111
96,1110
97,1001
98,1000
99,1111
100,0000
101,1101
102,1111
103,1001
104,1111
105,1111
106,1101
107,0100
108,1111
109,0111
110,1111
111,0000
112,0000
113,0011
114,1010
115,0111
116,1111
117,0000
118,1010
119,1010
120,0000
121,0000
122,1000
123,1000
124,1111
125,1111
126,1111
127,1111
128,1011
129,1010
130,1111
131,1000
132,1111
133,0011
134,0000
135,0000
136,1111
137,1110
138,1111
139,0000
140,1111
141,0111
142,1111
143,0000
144,0000
145,1000
146,1111
147,1111
148,0000
149,1111
150,1111
151,1111
152,1111
153,1111
154,1111
155,1111
156,1111
157,1111
158,1010
159,0111
160,1111
161,1111
162,1110
163,1111
164,1111
165,0000
166,0000
167,1000
168,1111
169,1111
170,0000
171,1000
172,1111
173,1111
174,0010
175,1001
176,1010
177,1110
178,1101
179,1111
180,1111
181,0000
182,1111
183,0111
184,1111
185,1111
186,1111
187,0100
188,1000
189,1111
190,1111
191,1111
192,1111
193,1111
194,1000
195,1001
196,1111
197,1111
198,1111
199,1110
200,0100
201,1111
202,1111
203,1111
204,1111
205,1010
206,1011
207,1110
208,0111
209,1111
210,1111
211,1000
212,0111
213,1111
214,1111
215,0100
216,1111
217,0000
218,1111
219,0111
220,1110
221,1010
222,1110
223,1111
224,0000
225,1111
226,1000
227,0000
228,1000
229,1111
230,0111
231,0000
232,0111
233,1000
234,1110
235,1101
236,0111
237,0111
238,1111
239,1010
240,1101
241,1111
242,0111
243,1110
244,1000
245,1111
246,0000
247,1111
248,1111
249,0000
250,1000
251,0000
252,0111
253,0000
254,1111
255,1101
256,1111
257,1111
258,1111
259,1110
260,1011
261,1000
262,1011
263,1000
264,0000
265,1000
266,1111
267,1111
268,0111
269,0111
270,1111
271,1001
272,1110
273,1111
274,0101
275,1111
276,0111
277,1111
278,1111
279,1111
280,1111
281,1111
282,1111
283,1010
284,1111
285,1110
286,0100
287,1111
288,1111
289,1111
290,1110
291,0000
292,1101
293,0011
294,1000
295,1111
296,0000
297,0000
298,1010
299,0000
300,1111
301,1111
302,1111
303,0111
304,0111
305,1111
306,1111
307,1101
308,1101
309,0000
310,1000
311,0111
312,0000
313,1110
314,1101
315,1110
316,0111
317,1000
318,1111
319,1111
320,1001
321,0111
322,1111
323,1111
324,1110
325,1111
326,1000
327,0000
328,1111
329,0111
330,1101
331,1101
332,0111
333,1000
334,0000
335,1111
336,0111
337,1001
338,1000
339,0111
340,1111
341,1111
342,0000
343,0000
344,1111
345,0000
346,1111
347,0111
348,0111
349,1101
350,1111
351,1111
352,1000
353,0000
354,1111
355,0111
356,1111
357,0111
358,1111
359,1111
360,0111
361,1111
362,0111
363,1111
364,1001
365,1110
366,0111
367,1000
368,1111
369,1111
370,1111
371,1101
372,1001
373,0111
374,1111
375,1111
376,1111
377,1001
378,0111
379,0111
380,1101
381,1101
382,0111
383,1111
384,1111
385,1111
386,0111
387,1001
388,0111
389,1111
390,1001
391,0111
392,1000
393,1001
394,1111
395,0000
396,1111
397,0000
398,0111
399,0000
400,1110
401,0111
402,1111
403,1111
404,0010
405,1111
406,0000
407,0010
408,0000
409,1111
410,1111
411,1101
412,1000
413,1111
414,1000
415,0000
416,1000
417,1001
418,1000
419,0111
420,1001
421,0000
422,1110
423,0000
424,1001
425,1001
426,0000
427,1101
428,1111
429,1111
430,1000
431,1111
432,1110
433,1110
434,1111
435,0000
436,0000
437,1000
438,0111
439,1111
440,1111
441,0000
442,0000
443,1110
444,0111
445,1111
446,0000
447,1111
448,0111
449,0111
450,1000
451,1000
452,0010
453,1110
454,0000
455,1001
456,1111
457,0111
458,1111
459,1111
460,0111
461,0111
462,1001
463,1101
464,1111
465,0111
466,1111
467,1000
468,1111
469,0111
470,1111
471,0111
472,1111
473,1111
474,1111
475,0000
476,1111
477,0111
478,1111
479,1101
480,1111
481,1111
482,1000
483,0111
484,0111
485,0111
486,1010
487,1111
488,1001
489,1111
490,1101
491,0000
492,0111
493,0000
494,1111
495,0000
496,1111
497,0000
498,0000
499,0000
500,1000
501,0111
502,1000
503,0000
504,1001
505,0000
506,0000
507,1000
508,1000
509,0000
510,0000
511,1001
512,1001
513,1111
514,1000
515,1000
516,1001
517,0000
518,0111
519,0000
520,1111
521,0000
522,0000
523,1000
524,0000
525,0000
526,0000
527,0111
528,0111
529,1000
530,0000
531,0000
532,0000
533,1111
534,0000
535,1110
536,0111
