person,profile
1,10111
2,11111
3,11101
4,11011
5,10000
6,10000
7,01000
8,01001
9,10001
10,01000
11,11100
12,11011
13,10001
14,00000
15,10000
16,10000
17,01001
18,10001
19,10001
20,01000
21,11111
22,11011
23,11111
24,10011
25,11011
26,01000
27,10001
28,00000
29,10001
30,11111
31,11111
32,11111
33,11111
34,10111
35,11111
36,11100
37,00100
38,11100
39,11111
40,10001
41,01000
42,11111
43,11110
44,10001
45,11111
46,11111
47,10000
48,10011
49,01001
50,10111
51,00000
52,11001
53,10001
54,11111
55,10011
56,11111
57,11111
58,00001
59,10000
60,11111
61,10001
62,00000
63,11101
64,11110
65,11101
66,10011
67,11100
68,00000
69,00000
70,01110
71,10000
72,10001
73,01001
74,11110
75,10001
76,00001
77,10000
78,11011
79,11111
80,10111
81,10001
82,11111
83,01000
84,11000
85,11101
86,11011
87,11011
88,11111
89,11111
90,11111
91,11101
92,10000
93,11110
94,11111
95,11111
96,11111
97,10011
98,00001
99,11111
100,00000
101,10000
102,11111
103,10001
104,11111
105,11110
106,11101
107,11001
108,11111
109,11101
110,11011
111,10000
112,01000
113,11101
114,10011
115,11010
116,11111
117,01000
118,10011
119,10111
120,01000
121,00001
122,10000
123,10000
124,11111
125,11111
126,11111
127,11111
128,10111
129,10011
130,11111
131,10000
132,11011
133,01110
134,01000
135,01001
136,11111
137,11011
138,11111
139,00000
140,11111
141,11101
142,11111
143,10000
144,01001
145,10001
146,11111
147,11111
148,00001
149,11110
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,10011
159,11100
160,11110
161,11110
162,11111
163,11111
164,11111
165,01001
166,01000
167,00000
168,11111
169,11111
170,01000
171,00100
172,11011
173,11111
174,01101
175,10000
176,10011
177,11011
178,11001
179,11011
180,11111
181,00000
182,11011
183,11011
184,11111
185,11111
186,11111
187,11000
188,10000
189,11111
190,11111
191,11111
192,11111
193,11111
194,00101
195,01001
196,11111
197,11111
198,11111
199,11111
200,11000
201,11111
202,11111
203,11111
204,11111
205,10011
206,10011
207,11011
208,11001
209,11111
210,11111
211,10001
212,11100
213,11111
214,11111
215,11001
216,11111
217,01000
218,11111
219,11101
220,11011
221,10011
222,11110
223,11111
224,01001
225,11110
226,10000
227,00000
228,10000
229,11111
230,11100
231,00000
232,11011
233,10001
234,11111
235,11000
236,11010
237,11100
238,11111
239,10011
240,11001
241,11110
242,11101
243,11011
244,10000
245,11111
246,00001
247,11111
248,11110
249,00000
250,10000
251,00000
252,11101
253,01001
254,11111
255,10001
256,11111
257,11111
258,11111
259,11011
260,11110
261,10001
262,10111
263,10000
264,10000
265,01000
266,11110
267,11111
268,11001
269,11010
270,11111
271,10001
272,11011
273,11111
274,11010
275,11111
276,11101
277,11110
278,11111
279,11111
280,11111
281,11110
282,11111
283,10111
284,11111
285,11111
286,11001
287,11111
288,11110
289,11011
290,11111
291,01000
292,11001
293,01100
294,10001
295,11111
296,00001
297,01001
298,10111
299,01001
300,11111
301,11111
302,11111
303,11011
304,11000
305,11111
306,11110
307,11000
308,10001
309,00001
310,10001
311,11101
312,01001
313,11011
314,10000
315,11111
316,11001
317,10000
318,11111
319,11111
320,10001
321,11001
322,11111
323,11111
324,11011
325,11110
326,10001
327,01001
328,11011
329,11101
330,11001
331,10001
332,11100
333,10001
334,00001
335,11011
336,11001
337,10001
338,10000
339,11011
340,11111
341,11111
342,00001
343,01000
344,11111
345,00000
346,11111
347,11001
348,11100
349,11000
350,11111
351,11111
352,10000
353,00000
354,11111
355,11000
356,11111
357,11100
358,11111
359,11111
360,11101
361,11111
362,11101
363,11110
364,10000
365,11111
366,11101
367,10001
368,11111
369,11111
370,11111
371,11000
372,10000
373,11000
374,11110
375,11110
376,11110
377,10001
378,11100
379,11101
380,10000
381,11001
382,11001
383,11111
384,11110
385,11111
386,11101
387,10001
388,11000
389,11111
390,10001
391,11001
392,10000
393,10001
394,11111
395,00001
396,11111
397,01000
398,11001
399,01000
400,11111
401,11100
402,11011
403,11111
404,10000
405,11011
406,01000
407,10001
408,01000
409,11111
410,11111
411,11001
412,10001
413,11111
414,10001
415,01001
416,10001
417,10001
418,10000
419,11000
420,10000
421,00001
422,11111
423,00001
424,10001
425,10001
426,01001
427,10001
428,11011
429,11110
430,10000
431,11111
432,11110
433,11110
434,11110
435,01001
436,00001
437,10000
438,11100
439,11110
440,11110
441,00000
442,01000
443,11111
444,11101
445,11111
446,00000
447,11011
448,11101
449,11011
450,10001
451,10001
452,10000
453,11111
454,00000
455,00101
456,11111
457,11001
458,11111
459,11111
460,11101
461,11100
462,10000
463,10000
464,11110
465,11100
466,11110
467,10001
468,11111
469,11101
470,11110
471,11100
472,11110
473,11111
474,11111
475,01000
476,11110
477,11101
478,11110
479,11001
480,11110
481,11110
482,10000
483,11001
484,11001
485,11000
486,10011
487,11011
488,10001
489,11110
490,10001
491,01001
492,11101
493,00000
494,11111
495,00001
496,11011
497,00000
498,00001
499,01000
500,10000
501,11100
502,10001
503,01000
504,10000
505,01001
506,01000
507,10001
508,10000
509,00001
510,00000
511,10001
512,10001
513,11110
514,10000
515,10001
516,10001
517,01001
518,11001
519,01000
520,11011
521,00001
522,00000
523,01000
524,00000
525,01001
526,01001
527,11100
528,11100
529,01000
530,01001
531,01000
532,00000
533,11110
534,00001
535,11110
536,11101
