person,profile
1,10111
2,11111
3,11000
4,11101
5,00100
6,10011
7,00010
8,00100
9,01011
10,00010
11,11001
12,11110
13,00010
14,00100
15,00011
16,00011
17,01100
18,01010
19,10011
20,01011
21,11111
22,11101
23,11111
24,10100
25,11010
26,01010
27,10010
28,00010
29,10010
30,11111
31,10111
32,11111
33,11111
34,10111
35,11111
36,11110
37,10100
38,11000
39,11111
40,10011
41,00011
42,11111
43,11111
44,00010
45,11111
46,11111
47,10011
48,10100
49,01010
50,10111
51,01011
52,11010
53,01100
54,11111
55,10100
56,11111
57,11111
58,01010
59,10011
60,11111
61,00010
62,00010
63,11110
64,11110
65,11000
66,10100
67,11001
68,01011
69,01010
70,10000
71,10010
72,10011
73,01010
74,11110
75,10010
76,00011
77,10010
78,11101
79,11111
80,10111
81,01100
82,11111
83,00010
84,11010
85,11001
86,11111
87,11101
88,11111
89,11111
90,11111
91,11001
92,00011
93,11111
94,11111
95,11111
96,11111
97,10100
98,00011
99,11111
100,00100
101,00011
102,11111
103,10011
104,11111
105,11110
106,11010
107,00100
108,11111
109,11000
110,11110
111,00010
112,00011
113,10000
114,10100
115,11111
116,11111
117,00011
118,10100
119,10111
120,00011
121,00100
122,10011
123,10010
124,11111
125,11101
126,11111
127,11111
128,10111
129,10100
130,11111
131,10011
132,11101
133,10001
134,01010
135,00010
136,11111
137,11101
138,11111
139,00010
140,11111
141,11000
142,11111
143,01010
144,00010
145,10011
146,11111
147,11111
148,00010
149,11101
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,10100
159,11000
160,11111
161,11111
162,11111
163,11111
164,11111
165,00011
166,00011
167,00011
168,11111
169,11111
170,01010
171,10100
172,11101
173,11111
174,10110
175,10010
176,10100
177,11101
178,11010
179,11101
180,11111
181,00100
182,11101
183,11110
184,11111
185,11111
186,11111
187,00011
188,10010
189,11111
190,11111
191,11111
192,11111
193,11111
194,10100
195,01011
196,11111
197,11111
198,11111
199,11111
200,11000
201,11111
202,11111
203,11111
204,11111
205,10100
206,10100
207,11101
208,11001
209,11111
210,11111
211,10011
212,11001
213,11111
214,11111
215,01010
216,11111
217,00010
218,11111
219,11110
220,11101
221,10110
222,11110
223,11111
224,00010
225,11111
226,10011
227,01011
228,01010
229,11111
230,11001
231,01011
232,11110
233,10011
234,11111
235,00011
236,11000
237,11001
238,11111
239,10100
240,11011
241,11111
242,11110
243,11101
244,10011
245,11111
246,01011
247,11111
248,11111
249,01010
250,10010
251,00100
252,11001
253,01100
254,11111
255,10010
256,11111
257,11111
258,11111
259,11101
260,10110
261,01010
262,10111
263,10011
264,00011
265,00011
266,11111
267,11111
268,11011
269,11111
270,11111
271,10011
272,11101
273,11111
274,00100
275,11111
276,11001
277,11110
278,11111
279,11111
280,11111
281,11111
282,11111
283,10111
284,11111
285,11111
286,00100
287,11111
288,11111
289,11101
290,11111
291,01010
292,11011
293,10001
294,10011
295,11111
296,01100
297,00100
298,10111
299,00100
300,11111
301,11111
302,11111
303,11110
304,11000
305,11111
306,11110
307,11011
308,10011
309,01010
310,10011
311,11000
312,01010
313,11110
314,10010
315,11111
316,11010
317,10011
318,11111
319,11111
320,10010
321,11011
322,11111
323,11111
324,11101
325,11111
326,10010
327,01100
328,11111
329,11000
330,11010
331,10011
332,11001
333,10010
334,01011
335,11101
336,11011
337,10011
338,10010
339,11101
340,11111
341,11111
342,01010
343,01011
344,11111
345,00011
346,11111
347,11001
348,11000
349,11010
350,11111
351,11111
352,10010
353,01011
354,11111
355,11011
356,11111
357,11000
358,11111
359,11111
360,11001
361,11111
362,11001
363,11111
364,10010
365,11111
366,11001
367,10010
368,11111
369,11111
370,11111
371,11011
372,10011
373,11010
374,11111
375,11110
376,11110
377,10011
378,11010
379,11000
380,10011
381,11011
382,11011
383,11111
384,11110
385,11111
386,11010
387,10010
388,11010
389,11111
390,10011
391,11010
392,10011
393,10010
394,11111
395,01010
396,11111
397,01010
398,11011
399,01010
400,11111
401,11001
402,11101
403,11111
404,10011
405,11101
406,01100
407,10011
408,01100
409,11111
410,11111
411,11010
412,10010
413,11111
414,10011
415,00011
416,10011
417,10010
418,10010
419,11011
420,10011
421,00010
422,11111
423,01011
424,10010
425,10011
426,01100
427,10010
428,11101
429,11111
430,10010
431,11111
432,11111
433,11111
434,11111
435,00010
436,00100
437,10011
438,11001
439,11111
440,11111
441,01011
442,00100
443,11111
444,11001
445,11111
446,01100
447,11101
448,11001
449,11101
450,10010
451,10010
452,10001
453,11111
454,00100
455,10010
456,11111
457,11011
458,11111
459,11111
460,11000
461,11000
462,10010
463,10010
464,11111
465,11001
466,11111
467,10010
468,11111
469,11001
470,11110
471,11000
472,11111
473,11111
474,11111
475,01010
476,11111
477,11000
478,11110
479,11011
480,11110
481,11111
482,10011
483,11010
484,11010
485,11010
486,10100
487,11101
488,10010
489,11110
490,10010
491,00100
492,11001
493,01011
494,11111
495,01100
496,11110
497,00011
498,01010
499,01100
500,10011
501,11001
502,10010
503,01010
504,10010
505,00100
506,01100
507,10010
508,10010
509,01100
510,00011
511,10010
512,10010
513,11111
514,10011
515,10010
516,10010
517,00011
518,11011
519,00100
520,11110
521,01011
522,00010
523,01010
524,01100
525,01011
526,01011
527,11000
528,11000
529,01011
530,00100
531,00010
532,01010
533,11110
534,01011
535,11110
536,11000
