person,profile
1,00111
2,11111
3,11100
4,11111
5,00000
6,00000
7,00000
8,00000
9,00100
10,00000
11,11110
12,11111
13,00001
14,00000
15,00000
16,00001
17,10000
18,00000
19,00100
20,00000
21,11111
22,11111
23,11111
24,00111
25,11101
26,00000
27,00100
28,00000
29,00100
30,11111
31,11111
32,11111
33,11111
34,00111
35,11111
36,11110
37,00111
38,11100
39,11111
40,00100
41,00000
42,11111
43,11111
44,00000
45,11111
46,11111
47,00100
48,00000
49,00000
50,00111
51,00000
52,11000
53,10000
54,11111
55,00101
56,11111
57,11111
58,00000
59,00100
60,11111
61,00000
62,00000
63,11111
64,11111
65,11100
66,00111
67,11110
68,00000
69,00000
70,00000
71,00100
72,00000
73,00000
74,11111
75,00000
76,00000
77,10100
78,11111
79,11111
80,00111
81,00000
82,11111
83,00000
84,11100
85,11000
86,11111
87,11111
88,11111
89,11111
90,11111
91,11111
92,00000
93,11111
94,11111
95,11111
96,11111
97,00101
98,00100
99,11111
100,00000
101,00000
102,11111
103,00100
104,11111
105,11111
106,11100
107,11000
108,11111
109,11100
110,11111
111,00000
112,00000
113,11110
114,00111
115,11111
116,11111
117,00000
118,00101
119,00111
120,00000
121,00000
122,00100
123,00100
124,11111
125,11111
126,11111
127,11111
128,00111
129,00101
130,11111
131,00000
132,11111
133,00000
134,00000
135,00000
136,11111
137,11111
138,11111
139,00000
140,11111
141,11101
142,11111
143,00000
144,00000
145,00000
146,11111
147,11111
148,00000
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,00111
159,11111
160,11111
161,11111
162,11111
163,11111
164,11111
165,00000
166,00000
167,00000
168,11111
169,11111
170,00000
171,00001
172,11111
173,11111
174,00110
175,00100
176,00101
177,11111
178,11000
179,11111
180,11111
181,00000
182,11111
183,11111
184,11111
185,11111
186,11111
187,11000
188,00000
189,11111
190,11111
191,11111
192,11111
193,11111
194,00001
195,00000
196,11111
197,11111
198,11111
199,11111
200,01000
201,11111
202,11111
203,11111
204,11111
205,00101
206,00111
207,11111
208,11000
209,11111
210,11111
211,00100
212,11100
213,11111
214,11111
215,11000
216,11111
217,00000
218,11111
219,11110
220,11111
221,00111
222,11111
223,11111
224,00000
225,11111
226,00101
227,00000
228,00000
229,11111
230,11110
231,00000
232,11111
233,00100
234,11111
235,11000
236,11000
237,11100
238,11111
239,00111
240,11000
241,11111
242,11110
243,11111
244,00100
245,11111
246,00000
247,11111
248,11111
249,00000
250,00000
251,00000
252,11100
253,00000
254,11111
255,00100
256,11111
257,11111
258,11111
259,11111
260,11111
261,00000
262,00111
263,00100
264,00000
265,00000
266,11111
267,11111
268,11000
269,11111
270,11111
271,00100
272,11111
273,11111
274,11000
275,11111
276,11100
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,00111
284,11111
285,11111
286,01000
287,11111
288,11111
289,11111
290,11111
291,00000
292,11100
293,00100
294,00100
295,11111
296,00000
297,00000
298,00111
299,10000
300,11111
301,11111
302,11111
303,11111
304,11000
305,11111
306,11110
307,11100
308,00100
309,00000
310,00100
311,11100
312,00000
313,11111
314,00100
315,11111
316,11100
317,00100
318,11111
319,11111
320,00100
321,11100
322,11111
323,11111
324,11111
325,11111
326,00100
327,00000
328,11111
329,11100
330,11100
331,10100
332,11110
333,00100
334,00000
335,11111
336,11100
337,00000
338,00100
339,11111
340,11111
341,11111
342,00000
343,00000
344,11111
345,00000
346,11111
347,11000
348,11110
349,11100
350,11111
351,11111
352,00100
353,00000
354,11111
355,11100
356,11111
357,11100
358,11111
359,11111
360,11100
361,11111
362,11111
363,11111
364,00100
365,11111
366,11110
367,00100
368,11111
369,11111
370,11111
371,11100
372,00100
373,11100
374,11111
375,11111
376,11111
377,00100
378,11100
379,11100
380,00100
381,11100
382,11100
383,11111
384,11110
385,11111
386,11100
387,00100
388,11100
389,11111
390,00100
391,11100
392,00100
393,00100
394,11111
395,00000
396,11111
397,00000
398,11100
399,00000
400,11111
401,11100
402,11111
403,11111
404,00100
405,11111
406,00000
407,00100
408,00000
409,11111
410,11111
411,01100
412,00100
413,11111
414,00100
415,00000
416,00100
417,00100
418,00100
419,11100
420,00101
421,00000
422,11111
423,00000
424,00100
425,00100
426,00000
427,10100
428,11111
429,11111
430,00100
431,11111
432,11111
433,11111
434,11111
435,00000
436,00000
437,00100
438,11100
439,11111
440,11111
441,00000
442,00000
443,11111
444,11110
445,11111
446,00000
447,11111
448,11110
449,11101
450,00100
451,00100
452,00100
453,11111
454,00000
455,00100
456,11111
457,11100
458,11111
459,11111
460,11100
461,11110
462,00100
463,00100
464,11111
465,11100
466,11111
467,10100
468,11111
469,11110
470,11111
471,11110
472,11111
473,11111
474,11111
475,00000
476,11111
477,11100
478,11111
479,11100
480,11110
481,11111
482,00100
483,11100
484,11100
485,11100
486,00101
487,11111
488,00100
489,11111
490,10100
491,00000
492,11100
493,00000
494,11111
495,00000
496,11111
497,00000
498,00000
499,00000
500,00100
501,11100
502,00100
503,00000
504,00100
505,00000
506,00000
507,00100
508,00100
509,00000
510,00000
511,00100
512,00100
513,11111
514,00100
515,00100
516,00100
517,00000
518,11101
519,00000
520,11111
521,00000
522,00000
523,00000
524,00000
525,00000
526,00000
527,11100
528,11100
529,00000
530,00000
531,00000
532,00000
533,11111
534,00000
535,11111
536,11100
