person,profile
1,10111
2,11111
3,11011
4,11101
5,10000
6,10000
7,00011
8,01000
9,01101
10,01000
11,11011
12,11101
13,10000
14,00001
15,01001
16,10000
17,00011
18,00100
19,10000
20,01010
21,11111
22,11101
23,11111
24,10101
25,11101
26,00000
27,00111
28,00001
29,10001
30,11111
31,11111
32,11111
33,11111
34,10111
35,11111
36,11011
37,10000
38,11010
39,11111
40,00100
41,01000
42,11111
43,11111
44,01010
45,11111
46,11111
47,10001
48,10101
49,01000
50,10111
51,00001
52,11000
53,10000
54,11111
55,10101
56,11111
57,11111
58,00011
59,00100
60,11111
61,10001
62,00010
63,11101
64,11111
65,11011
66,10101
67,11011
68,00000
69,00000
70,10010
71,00101
72,10000
73,00011
74,11110
75,10001
76,00001
77,11000
78,11101
79,11111
80,10111
81,10001
82,11111
83,01010
84,11000
85,11010
86,11111
87,11101
88,11111
89,11111
90,11111
91,11011
92,00110
93,11111
94,11111
95,11111
96,11111
97,10101
98,01110
99,11111
100,00000
101,00111
102,11111
103,01111
104,11111
105,11111
106,11001
107,11000
108,11111
109,11100
110,11101
111,10001
112,01001
113,10011
114,10101
115,11100
116,11111
117,00001
118,10101
119,10111
120,00011
121,00011
122,00111
123,10000
124,11111
125,11111
126,11111
127,11111
128,10111
129,10101
130,11111
131,10001
132,11101
133,10011
134,01001
135,00011
136,11111
137,11101
138,11111
139,00000
140,11111
141,11010
142,11111
143,10000
144,01011
145,10001
146,11111
147,11111
148,00010
149,11101
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,10101
159,11010
160,11111
161,11101
162,11111
163,11111
164,11111
165,01011
166,00011
167,00010
168,11111
169,11111
170,01000
171,00110
172,11101
173,11111
174,10011
175,00100
176,10101
177,11101
178,11000
179,11101
180,11111
181,01000
182,11101
183,11101
184,11111
185,11111
186,11111
187,01011
188,10000
189,11111
190,11111
191,11111
192,11111
193,11111
194,00100
195,00100
196,11111
197,11111
198,11111
199,11111
200,11000
201,11111
202,11111
203,11111
204,11111
205,10101
206,10101
207,11101
208,11000
209,11111
210,11111
211,10000
212,11011
213,11111
214,11111
215,00001
216,11111
217,01001
218,11111
219,11011
220,11111
221,10101
222,11110
223,11111
224,01011
225,11111
226,10001
227,00010
228,10001
229,11111
230,11010
231,01001
232,11101
233,01101
234,11111
235,11001
236,11000
237,11011
238,11111
239,10101
240,11000
241,11111
242,11100
243,11101
244,10001
245,11111
246,00011
247,11111
248,11111
249,00000
250,10000
251,01010
252,11010
253,00000
254,11111
255,01100
256,11111
257,11111
258,11111
259,11101
260,11111
261,00001
262,10111
263,00111
264,00011
265,01110
266,11111
267,11111
268,11001
269,11100
270,11111
271,10001
272,11101
273,11111
274,11001
275,11111
276,11010
277,11101
278,11111
279,11111
280,11111
281,11111
282,11111
283,10111
284,11111
285,11111
286,00011
287,11111
288,11111
289,11101
290,11111
291,00000
292,11000
293,10011
294,00101
295,11111
296,01000
297,01001
298,10111
299,01001
300,11111
301,11111
302,11111
303,11101
304,11001
305,11111
306,11110
307,11001
308,10001
309,00011
310,10000
311,11011
312,00000
313,11101
314,01110
315,11111
316,11001
317,10000
318,11011
319,11111
320,00101
321,11000
322,11111
323,11111
324,11101
325,11111
326,01110
327,01010
328,11101
329,11011
330,11001
331,11000
332,11010
333,10000
334,00011
335,11111
336,11001
337,10000
338,10000
339,11101
340,11111
341,11111
342,01011
343,00010
344,11111
345,00010
346,11111
347,11001
348,11010
349,11000
350,11111
351,11111
352,10000
353,01011
354,11111
355,11001
356,11111
357,11011
358,11111
359,11111
360,11010
361,11111
362,11011
363,11111
364,10000
365,11111
366,11010
367,01111
368,11111
369,11111
370,11111
371,11000
372,00101
373,11001
374,11111
375,11111
376,11110
377,01100
378,11101
379,11010
380,10001
381,11000
382,11001
383,11111
384,11110
385,11111
386,11000
387,01110
388,11001
389,11111
390,10000
391,11001
392,10000
393,10001
394,11111
395,00010
396,11111
397,00011
398,11001
399,00000
400,11111
401,11010
402,11101
403,11111
404,10001
405,11101
406,01010
407,10000
408,00011
409,11111
410,11111
411,11001
412,10000
413,11111
414,01110
415,00000
416,10001
417,10000
418,10000
419,11000
420,10000
421,00010
422,11111
423,01001
424,10000
425,10000
426,00011
427,01101
428,11101
429,11111
430,10001
431,11111
432,11111
433,11111
434,11111
435,01001
436,01011
437,10001
438,11010
439,11111
440,11111
441,01010
442,00010
443,11111
444,11010
445,11111
446,01011
447,11101
448,11011
449,11001
450,10000
451,10001
452,10001
453,11111
454,01011
455,01110
456,11111
457,11001
458,11111
459,11111
460,11011
461,11011
462,01100
463,10001
464,11111
465,11010
466,11111
467,10000
468,11111
469,11010
470,11110
471,11010
472,11111
473,11111
474,11111
475,01000
476,11111
477,11010
478,11110
479,11001
480,11110
481,11111
482,10001
483,11001
484,11000
485,11001
486,10101
487,11101
488,10001
489,11101
490,11001
491,01001
492,11000
493,00011
494,11111
495,00010
496,11101
497,00000
498,00011
499,00001
500,10000
501,11001
502,10001
503,00001
504,10001
505,00011
506,00011
507,01111
508,01110
509,01000
510,01001
511,10000
512,00110
513,11111
514,10000
515,10001
516,10000
517,01011
518,11000
519,00010
520,11101
521,00001
522,00010
523,01110
524,00011
525,00011
526,00000
527,11001
528,11000
529,01011
530,00000
531,01010
532,00010
533,11101
534,00010
535,11111
536,11001
