person,profile
1,10111
2,11111
3,11000
4,11001
5,01000
6,01110
7,01000
8,01001
9,01110
10,00100
11,11100
12,11111
13,01000
14,00001
15,01100
16,10001
17,00000
18,01100
19,01110
20,01000
21,11111
22,11001
23,11111
24,10001
25,11001
26,00000
27,01100
28,01010
29,00101
30,11111
31,10111
32,11111
33,11111
34,10111
35,11111
36,11100
37,10001
38,11000
39,11111
40,01101
41,00000
42,11111
43,11111
44,01011
45,11111
46,11111
47,00100
48,10001
49,00010
50,10111
51,01010
52,11000
53,11000
54,11111
55,10001
56,11111
57,11111
58,01000
59,01110
60,11111
61,01010
62,01000
63,11100
64,11111
65,11100
66,10001
67,11100
68,01010
69,01000
70,10000
71,01110
72,00111
73,00000
74,11111
75,10000
76,01010
77,01100
78,11111
79,11111
80,10111
81,01100
82,11111
83,01010
84,11000
85,11000
86,11001
87,11111
88,11111
89,11111
90,11111
91,11000
92,01111
93,11111
94,11111
95,11111
96,11111
97,10001
98,00111
99,11111
100,01011
101,01110
102,11111
103,00111
104,11111
105,11111
106,11100
107,11000
108,11111
109,11100
110,11111
111,01000
112,00000
113,10100
114,10001
115,11000
116,11111
117,01001
118,10001
119,10111
120,01000
121,01010
122,01111
123,00101
124,11111
125,11111
126,11111
127,11111
128,10111
129,10001
130,11111
131,10000
132,11111
133,10000
134,01000
135,00010
136,11111
137,11001
138,11111
139,00000
140,11111
141,11001
142,11111
143,00001
144,01010
145,10001
146,11111
147,11111
148,01001
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,10001
159,11000
160,11111
161,11111
162,11111
163,11111
164,11111
165,00000
166,01001
167,00011
168,11111
169,11111
170,01001
171,10001
172,11111
173,11111
174,10000
175,01111
176,10001
177,11001
178,11000
179,11111
180,11111
181,01011
182,11101
183,11001
184,11111
185,11111
186,11111
187,01000
188,10001
189,11111
190,11111
191,11111
192,11111
193,11111
194,10001
195,01110
196,11111
197,11111
198,11111
199,11111
200,11000
201,11111
202,11111
203,11111
204,11111
205,10001
206,10111
207,11001
208,11000
209,11111
210,11111
211,00111
212,11000
213,11111
214,11111
215,00010
216,11111
217,01000
218,11111
219,11100
220,11011
221,10001
222,11111
223,11111
224,00011
225,11111
226,10001
227,01000
228,00010
229,11111
230,11100
231,01011
232,11001
233,00101
234,11111
235,11000
236,11000
237,11000
238,11111
239,10001
240,11000
241,11111
242,11100
243,11111
244,00101
245,11111
246,01000
247,11111
248,11111
249,01001
250,01111
251,00001
252,11100
253,01000
254,11111
255,01101
256,11111
257,11111
258,11111
259,11001
260,10111
261,00101
262,10111
263,10100
264,00011
265,00110
266,11111
267,11111
268,11000
269,11100
270,11111
271,01111
272,11111
273,11111
274,11000
275,11111
276,11100
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,10111
284,11111
285,11011
286,01001
287,11111
288,11111
289,11111
290,11111
291,00011
292,11000
293,10000
294,01101
295,11111
296,00001
297,00011
298,10011
299,01010
300,11111
301,11111
302,11111
303,11001
304,11000
305,11111
306,11110
307,11000
308,10000
309,00000
310,10000
311,11100
312,00000
313,11111
314,01111
315,11111
316,11000
317,10100
318,11111
319,11111
320,01111
321,11000
322,11111
323,11111
324,11111
325,11111
326,10100
327,00011
328,11111
329,11000
330,11100
331,11100
332,11000
333,00111
334,00000
335,11111
336,11000
337,00101
338,01110
339,11001
340,11111
341,11111
342,01011
343,01010
344,11111
345,00000
346,11111
347,11001
348,11000
349,11000
350,11111
351,11111
352,00110
353,01001
354,11111
355,11000
356,11111
357,11100
358,11111
359,11111
360,11100
361,11111
362,11100
363,11111
364,01101
365,11111
366,11100
367,01100
368,11111
369,11111
370,11111
371,11000
372,00111
373,11000
374,11111
375,11111
376,11111
377,00100
378,11100
379,11100
380,01101
381,11000
382,11100
383,11111
384,11111
385,11111
386,11100
387,00111
388,11100
389,11111
390,10100
391,11100
392,01101
393,01111
394,11111
395,00011
396,11111
397,01000
398,11100
399,01011
400,11111
401,11000
402,11111
403,11111
404,10100
405,11111
406,01001
407,10100
408,00011
409,11111
410,11111
411,11100
412,01111
413,11111
414,00110
415,00010
416,10100
417,00101
418,00111
419,11100
420,10001
421,01001
422,11111
423,01011
424,00101
425,00100
426,00001
427,00101
428,11111
429,11111
430,10100
431,11111
432,11111
433,11111
434,11111
435,01010
436,01011
437,01100
438,11100
439,11111
440,11111
441,01000
442,01010
443,11111
444,11100
445,11111
446,00010
447,11111
448,11100
449,11001
450,01101
451,00101
452,10000
453,11111
454,00010
455,01101
456,11111
457,11000
458,11111
459,11111
460,11100
461,11100
462,01110
463,01111
464,11111
465,11100
466,11111
467,01101
468,11111
469,11100
470,11111
471,11100
472,11111
473,11111
474,11111
475,00010
476,11111
477,11100
478,11111
479,11100
480,11110
481,11111
482,10000
483,11000
484,11100
485,11100
486,10001
487,11111
488,00111
489,11111
490,01111
491,00000
492,11100
493,01000
494,11111
495,01001
496,11111
497,00010
498,00001
499,01010
500,00111
501,11100
502,10001
503,00011
504,01101
505,00010
506,01001
507,01100
508,01100
509,01011
510,01011
511,01111
512,01111
513,11111
514,01100
515,10000
516,00110
517,01010
518,11001
519,01001
520,11101
521,00011
522,01000
523,01010
524,01011
525,01010
526,01010
527,11000
528,11000
529,00011
530,01001
531,00001
532,01011
533,11111
534,01000
535,11111
536,11000
