run_id,model,provider,k,input_tokens,output_tokens,total_tokens,calls,converged,structural_warnings,density,stale_failed_marker,AIC,BIC,CAIC,SABIC,SRMSR,structural_n_errors,tsqe_cell_agreement,expert_cell_agreement,RMSEA2
b2_cot_anthropic_claude-sonnet-5_auto_run1,anthropic/claude-sonnet-5,openrouter,6,2828,16835,19663,1,True,5,0.45,False,9177.2927,10132.6546,10355.6546,9424.7791,0.0729,0,0.7417,0.925,
b2_cot_anthropic_claude-sonnet-5_auto_run10,anthropic/claude-sonnet-5,openrouter,6,6155,26554,32709,2,True,4,0.325,False,9177.5113,9824.4156,9975.4156,9345.0918,0.0783,0,0.7667,0.8917,0.0591
b2_cot_anthropic_claude-sonnet-5_auto_run2,anthropic/claude-sonnet-5,openrouter,5,2828,23086,25914,1,True,4,0.39,False,9195.5901,9705.4021,9824.4021,9327.6569,0.0788,0,0.73,0.93,0.0627
b2_cot_anthropic_claude-sonnet-5_auto_run3,anthropic/claude-sonnet-5,openrouter,5,2828,19100,21928,1,True,4,0.52,False,9147.5525,9897.2759,10072.2759,9341.7683,0.0757,0,0.7,0.94,0.0396
b2_cot_anthropic_claude-sonnet-5_auto_run4,anthropic/claude-sonnet-5,openrouter,6,2828,25835,28663,1,True,5,0.4667,False,9245.1237,10269.0318,10508.0318,9510.3671,0.0759,0,0.725,0.9417,
b2_cot_anthropic_claude-sonnet-5_auto_run5,anthropic/claude-sonnet-5,openrouter,6,6470,19189,25659,2,True,5,0.45,False,9177.2927,10132.6546,10355.6546,9424.7791,0.0729,0,0.7417,0.925,
b2_cot_anthropic_claude-sonnet-5_auto_run6,anthropic/claude-sonnet-5,openrouter,6,5962,24430,30392,2,True,5,0.45,False,9177.2927,10132.6546,10355.6546,9424.7791,0.0729,0,0.7417,0.925,
b2_cot_anthropic_claude-sonnet-5_auto_run7,anthropic/claude-sonnet-5,openrouter,6,2828,31585,34413,1,True,4,0.325,False,9177.5113,9824.4156,9975.4156,9345.0918,0.0783,0,0.7667,0.8917,0.065
b2_cot_anthropic_claude-sonnet-5_auto_run8,anthropic/claude-sonnet-5,openrouter,6,2828,17313,20141,1,True,5,0.45,False,9177.2927,10132.6546,10355.6546,9424.7791,0.0729,0,0.7417,0.925,
b2_cot_anthropic_claude-sonnet-5_auto_run9,anthropic/claude-sonnet-5,openrouter,5,2828,24800,27628,1,True,4,0.52,False,9147.5525,9897.2759,10072.2759,9341.7683,0.0757,0,0.7,0.94,0.0396
b2_cot_deepseek_deepseek-v4-flash_auto_run1,deepseek/deepseek-v4-flash,openrouter,6,1918,5131,7049,1,True,5,0.45,False,9119.5563,10074.9182,10297.9182,9367.0427,0.0722,1,0.725,0.9417,
b2_cot_deepseek_deepseek-v4-flash_auto_run10,deepseek/deepseek-v4-flash,openrouter,4,1918,15524,17442,1,True,2,0.5125,False,9071.9481,9538.9187,9647.9187,9192.9168,0.0731,0,0.75,0.9625,0.056
b2_cot_deepseek_deepseek-v4-flash_auto_run2,deepseek/deepseek-v4-flash,openrouter,5,1918,4240,6158,1,True,4,0.44,False,9091.0961,9703.7272,9846.7272,9249.7981,0.0741,0,0.76,0.86,0.055
b2_cot_deepseek_deepseek-v4-flash_auto_run3,deepseek/deepseek-v4-flash,openrouter,7,1918,19192,21110,1,True,5,0.3929,False,9245.5247,10569.3222,10878.3222,9588.4544,0.056,0,0.7357,0.9357,
b2_cot_deepseek_deepseek-v4-flash_auto_run4,deepseek/deepseek-v4-flash,openrouter,5,1935,3715,5650,1,True,4,0.65,False,9357.2435,10518.2439,10789.2439,9658.0006,0.0748,1,0.63,0.83,
b2_cot_deepseek_deepseek-v4-flash_auto_run5,deepseek/deepseek-v4-flash,openrouter,6,1918,17916,19834,1,True,5,0.5583,False,9467.5525,10902.7374,11237.7374,9839.3371,0.0757,1,0.6667,0.85,
b2_cot_deepseek_deepseek-v4-flash_auto_run6,deepseek/deepseek-v4-flash,openrouter,5,1918,14084,16002,1,True,4,0.52,False,9147.5525,9897.2759,10072.2759,9341.7683,0.0757,0,0.7,0.94,0.0283
b2_cot_deepseek_deepseek-v4-flash_auto_run7,deepseek/deepseek-v4-flash,openrouter,5,1918,27327,29245,1,True,1,0.24,False,9211.4309,9558.4458,9639.4458,9301.3251,0.097,0,0.8,0.85,0.0639
