person,profile
1,011111
2,111111
3,111000
4,111110
5,010100
6,010110
7,101010
8,100010
9,010000
10,101100
11,111010
12,111110
13,010010
14,001100
15,010010
16,010101
17,001000
18,010101
19,010000
20,101000
21,111111
22,111110
23,111111
24,011100
25,111110
26,100001
27,010000
28,000100
29,010001
30,111111
31,011111
32,111111
33,111111
34,011111
35,111111
36,111010
37,011100
38,111010
39,111111
40,010001
41,000100
42,111111
43,111110
44,010111
45,111111
46,111111
47,010111
48,010110
49,100101
50,011101
51,100111
52,110110
53,010001
54,111111
55,011100
56,111111
57,111111
58,100011
59,010000
60,111111
61,010001
62,101000
63,111011
64,111110
65,111011
66,011100
67,111010
68,001111
69,101111
70,011010
71,010011
72,010111
73,100000
74,111110
75,010010
76,101011
77,010100
78,111100
79,111111
80,011111
81,010011
82,111111
83,000111
84,110101
85,111010
86,111100
87,111110
88,111111
89,111111
90,111111
91,111001
92,010111
93,111110
94,111111
95,111111
96,111111
97,010010
98,010100
99,111111
100,100111
101,010001
102,111111
103,010101
104,111111
105,111110
106,111010
107,110101
108,111111
109,111011
110,111110
111,010101
112,101000
113,111011
114,011100
115,111111
116,111111
117,101110
118,011100
119,011111
120,101100
121,100111
122,010010
123,010010
124,111111
125,111111
126,111111
127,111111
128,011111
129,011100
130,111111
131,010000
132,111110
133,010111
134,001101
135,001111
136,111111
137,111100
138,111111
139,001101
140,111111
141,111011
142,111111
143,010011
144,010011
145,010110
146,111111
147,111111
148,001111
149,111110
150,111111
151,111111
152,111111
153,111111
154,111111
155,111111
156,111111
157,111111
158,011100
159,111000
160,111110
161,111110
162,111111
163,111111
164,111111
165,100100
166,101110
167,000111
168,111111
169,111111
170,001101
171,010001
172,111110
173,111111
174,011100
175,010011
176,011100
177,111100
178,110000
179,111110
180,111111
181,101111
182,111110
183,111100
184,111111
185,111111
186,111111
187,110100
188,010011
189,111111
190,111111
191,111111
192,111111
193,111111
194,010100
195,010011
196,111111
197,111111
198,111111
199,111111
200,110101
201,111111
202,111111
203,111111
204,111111
205,011100
206,011110
207,111100
208,110010
209,111111
210,111111
211,010011
212,111010
213,111111
214,111111
215,110101
216,111111
217,100100
218,111111
219,111010
220,111111
221,011100
222,111100
223,111111
224,101001
225,111110
226,010100
227,101011
228,010110
229,111111
230,111011
231,000101
232,111100
233,010101
234,111111
235,110011
236,110011
237,111001
238,111111
239,011100
240,110101
241,111110
242,111100
243,111100
244,010011
245,111111
246,100000
247,111111
248,111110
249,001001
250,010101
251,000011
252,111010
253,101000
254,111111
255,010111
256,111111
257,111111
258,111111
259,111100
260,011110
261,010111
262,011111
263,010100
264,010110
265,010010
266,111110
267,111111
268,110011
269,111000
270,111111
271,010011
272,111100
273,111111
274,110111
275,111111
276,111010
277,111110
278,111111
279,111111
280,111111
281,111110
282,111111
283,011111
284,111111
285,111111
286,110110
287,111111
288,111110
289,111110
290,111111
291,000011
292,110011
293,011010
294,010100
295,111111
296,100001
297,101000
298,011101
299,001110
300,111111
301,111111
302,111111
303,111100
304,110100
305,111111
306,111110
307,110100
308,010000
309,001111
310,010011
311,111011
312,100000
313,111100
314,010100
315,111111
316,110010
317,010011
318,111010
319,111111
320,010010
321,110000
322,111111
323,111111
324,111100
325,111110
326,010000
327,100110
328,111110
329,111011
330,110110
331,010110
332,111001
333,010100
334,000110
335,111111
336,110011
337,010000
338,010110
339,111100
340,111111
341,111111
342,001001
343,100010
344,111111
345,101110
346,111111
347,110100
348,111011
349,110000
350,111111
351,111111
352,010011
353,001011
354,111111
355,110000
356,111111
357,111010
358,111111
359,111111
360,111010
361,111111
362,111011
363,111110
364,010111
365,111111
366,111011
367,010000
368,111111
369,111111
370,111111
371,110011
372,010001
373,110110
374,111110
375,111110
376,111110
377,010100
378,111010
379,111010
380,010101
381,110100
382,110101
383,111111
384,111110
385,111111
386,111011
387,010011
388,110101
389,111111
390,010100
391,110111
392,010010
393,010011
394,111111
395,101101
396,111111
397,100111
398,110101
399,001110
400,111111
401,111001
402,111110
403,111111
404,011010
405,111110
406,100001
407,010111
408,001100
409,111111
410,111111
411,110000
412,010001
413,111111
414,010110
415,001010
416,010110
417,010100
418,010011
419,110101
420,010100
421,000101
422,111111
423,100011
424,010111
425,010010
426,001001
427,010001
428,111110
429,111110
430,010000
431,111111
432,111100
433,111100
434,111110
435,000010
436,101100
437,010111
438,111001
439,111110
440,111110
441,001000
442,101010
443,111111
444,111011
445,111111
446,001110
447,111110
448,111000
449,110101
450,010101
451,010111
452,010011
453,111111
454,001101
455,010101
456,111111
457,111010
458,111111
459,111111
460,111010
461,111010
462,010011
463,010110
464,111110
465,111011
466,111110
467,010011
468,111111
469,111011
470,111110
471,111010
472,111110
473,111111
474,111111
475,001110
476,111110
477,111010
478,111110
479,110010
480,111110
481,111110
482,010001
483,110111
484,110101
485,110100
486,011100
487,111110
488,010000
489,111110
490,010001
491,100111
492,111011
493,101010
494,111111
495,100001
496,111110
497,000110
498,100110
499,100101
500,010000
501,111011
502,010011
503,100100
504,010111
505,101010
506,000000
507,010111
508,010111
509,000001
510,100001
511,010010
512,010111
513,111110
514,010011
515,010100
516,010010
517,000011
518,110010
519,101101
520,111110
521,100111
522,101011
523,000000
524,000001
525,001010
526,101111
527,111001
528,111001
529,100110
530,000000
531,100010
532,000100
533,111110
534,001111
535,111100
536,111010
