person,profile
1,011110
2,111111
3,110101
4,110011
5,001001
6,010101
7,000000
8,000010
9,010100
10,000100
11,110101
12,111111
13,001001
14,001000
15,000000
16,000110
17,000001
18,000000
19,010101
20,001110
21,111111
22,110011
23,111111
24,011111
25,110011
26,000100
27,010101
28,000100
29,010101
30,111111
31,011111
32,111111
33,111111
34,011111
35,111111
36,111101
37,011000
38,110101
39,111111
40,010100
41,000100
42,111111
43,111111
44,000100
45,111111
46,111111
47,010101
48,010101
49,000000
50,011011
51,000110
52,100001
53,010101
54,111111
55,010111
56,111111
57,111111
58,000110
59,010101
60,111111
61,001101
62,001010
63,110101
64,111111
65,110101
66,010010
67,110101
68,001010
69,001100
70,011000
71,010101
72,010101
73,000010
74,111111
75,010101
76,001100
77,010101
78,111111
79,111111
80,011111
81,001000
82,111011
83,001000
84,110101
85,110101
86,111011
87,111111
88,111111
89,111111
90,111111
91,110101
92,000000
93,111111
94,111111
95,111111
96,111111
97,010111
98,010100
99,111111
100,001011
101,010101
102,111111
103,010101
104,111111
105,111111
106,110101
107,100001
108,111111
109,110101
110,111111
111,001011
112,000000
113,010101
114,011111
115,111111
116,111111
117,000010
118,010111
119,011111
120,000100
121,001010
122,010101
123,010101
124,111111
125,111111
126,111111
127,111111
128,011111
129,010011
130,111111
131,010101
132,111111
133,010101
134,000000
135,000000
136,111111
137,111011
138,111111
139,000000
140,111111
141,110011
142,111111
143,000001
144,000001
145,010101
146,111111
147,111111
148,001010
149,111111
150,111111
151,111111
152,111111
153,111111
154,111111
155,111111
156,111111
157,111111
158,011111
159,110101
160,111111
161,111111
162,111111
163,111111
164,111111
165,001010
166,001000
167,001110
168,111111
169,111111
170,001000
171,011000
172,111111
173,111111
174,011001
175,010101
176,010111
177,110011
178,100111
179,111111
180,111111
181,000110
182,110011
183,110011
184,111111
185,111111
186,111111
187,101001
188,010101
189,111111
190,111111
191,111111
192,111111
193,111111
194,011000
195,001110
196,111111
197,111111
198,111111
199,111111
200,100011
201,111111
202,111111
203,111111
204,111111
205,010111
206,011111
207,111011
208,100111
209,111111
210,111111
211,010100
212,110101
213,111111
214,111111
215,100011
216,111111
217,000100
218,111111
219,111101
220,111111
221,011011
222,111111
223,111111
224,001100
225,111111
226,010111
227,001110
228,010101
229,111111
230,110101
231,000010
232,110011
233,010101
234,111111
235,100111
236,101101
237,110101
238,111111
239,010010
240,101101
241,111111
242,111001
243,111111
244,010101
245,111111
246,000010
247,111111
248,111111
249,001101
250,010101
251,001000
252,110101
253,001110
254,111111
255,010100
256,111111
257,111111
258,111111
259,110011
260,011111
261,001110
262,011111
263,010101
264,000010
265,001110
266,111111
267,111111
268,110101
269,110101
270,111111
271,010101
272,110011
273,111111
274,101111
275,111111
276,110101
277,111111
278,111111
279,111111
280,111111
281,111111
282,111111
283,011111
284,111111
285,111111
286,100101
287,111111
288,111111
289,111111
290,111111
291,000110
292,110101
293,010101
294,010101
295,111111
296,000101
297,001010
298,011011
299,000111
300,111111
301,111111
302,111111
303,110011
304,100111
305,111111
306,111101
307,110101
308,010101
309,001000
310,010101
311,110101
312,001010
313,111011
314,010101
315,111111
316,110101
317,010101
318,111111
319,111111
320,010101
321,110101
322,111111
323,111111
324,111011
325,111111
326,010101
327,000010
328,111111
329,110101
330,110101
331,010101
332,110101
333,010101
334,001100
335,111111
336,110101
337,010101
338,010101
339,110011
340,111111
341,111111
342,001000
343,000110
344,111111
345,001110
346,111111
347,101011
348,110101
349,110101
350,111111
351,111111
352,010101
353,000100
354,111111
355,110101
356,111111
357,110101
358,111111
359,111111
360,110101
361,111111
362,110101
363,111111
364,010101
365,111011
366,110101
367,010101
368,111111
369,111111
370,111111
371,110101
372,010101
373,110101
374,111111
375,111111
376,111111
377,010101
378,110101
379,110101
380,010101
381,110101
382,110101
383,111111
384,111101
385,111111
386,110101
387,010101
388,110101
389,111111
390,010101
391,110101
392,010101
393,010101
394,111111
395,001000
396,111111
397,001100
398,110101
399,001000
400,111111
401,110101
402,111111
403,111111
404,010101
405,111111
406,001000
407,010101
408,000110
409,111111
410,111111
411,110101
412,010101
413,111111
414,010100
415,000100
416,010101
417,010101
418,010101
419,110101
420,010111
421,001000
422,111011
423,000010
424,010101
425,010101
426,001110
427,010101
428,111111
429,111111
430,010101
431,111111
432,111111
433,111111
434,111111
435,000100
436,001100
437,010101
438,110101
439,111111
440,111111
441,000000
442,000100
443,111011
444,110101
445,111111
446,001000
447,111111
448,111001
449,110011
450,010101
451,010101
452,010101
453,111111
454,001100
455,010100
456,111111
457,110101
458,111111
459,111111
460,110101
461,110101
462,010101
463,010101
464,111111
465,110101
466,111111
467,010101
468,111111
469,110101
470,111111
471,110101
472,111111
473,111111
474,111111
475,001100
476,111111
477,110101
478,111111
479,110101
480,111101
481,111111
482,010101
483,110101
484,110101
485,110101
486,010111
487,111111
488,010101
489,111111
490,010101
491,000100
492,110101
493,000110
494,111111
495,000110
496,111111
497,001010
498,001010
499,001000
500,010101
501,110101
502,010101
503,001000
504,010101
505,001110
506,000000
507,010100
508,010101
509,000000
510,001010
511,010101
512,010101
513,111111
514,010101
515,010101
516,010101
517,001101
518,110011
519,001000
520,110011
521,000000
522,001000
523,000000
524,000110
525,001100
526,001100
527,110101
528,110101
529,000010
530,001010
531,000010
532,000110
533,111111
534,000010
535,111111
536,110101
