person,profile
1,011111
2,111111
3,111000
4,111001
5,010100
6,011010
7,100100
8,000000
9,011100
10,001101
11,110011
12,111001
13,010010
14,000001
15,010010
16,010110
17,100110
18,010010
19,011110
20,000111
21,111111
22,111001
23,111111
24,011001
25,111001
26,000010
27,011110
28,101000
29,011010
30,111111
31,011111
32,111111
33,111111
34,011111
35,111111
36,110011
37,010101
38,110011
39,111111
40,011110
41,000110
42,111111
43,111111
44,011100
45,111111
46,111111
47,011110
48,011001
49,101010
50,011101
51,101000
52,110000
53,011000
54,111111
55,011001
56,111111
57,111111
58,101110
59,011100
60,111111
61,010010
62,101010
63,110011
64,111001
65,110011
66,011001
67,110011
68,100100
69,000110
70,010110
71,010110
72,011000
73,100100
74,111001
75,010110
76,100111
77,011010
78,111001
79,111111
80,011111
81,010110
82,111101
83,101111
84,110100
85,111110
86,111001
87,111001
88,111111
89,111111
90,111111
91,110011
92,010010
93,111111
94,111111
95,111111
96,111111
97,011011
98,010010
99,111111
100,101011
101,010100
102,111111
103,010000
104,111111
105,111111
106,110011
107,110110
108,111111
109,110011
110,111001
111,011010
112,001010
113,010100
114,011001
115,110011
116,111111
117,100011
118,011001
119,011111
120,100010
121,101101
122,010110
123,011010
124,111111
125,111111
126,111111
127,111111
128,011111
129,011001
130,111111
131,011110
132,111001
133,011000
134,001101
135,001111
136,111111
137,111001
138,111111
139,001001
140,111111
141,111001
142,111111
143,010010
144,011010
145,010010
146,111111
147,111111
148,100110
149,111001
150,111111
151,111111
152,111111
153,111111
154,111111
155,111111
156,111111
157,111111
158,011001
159,110011
160,111111
161,111001
162,111111
163,111111
164,111111
165,000101
166,101110
167,100110
168,111111
169,111111
170,000110
171,010100
172,111001
173,111111
174,010101
175,011010
176,011001
177,111001
178,111100
179,111001
180,111111
181,100100
182,111001
183,111001
184,111111
185,111111
186,111111
187,110100
188,010000
189,111111
190,111111
191,111111
192,111111
193,111111
194,010110
195,011110
196,111111
197,111111
198,111111
199,111111
200,110010
201,111111
202,111111
203,111111
204,111111
205,011001
206,011001
207,111001
208,111110
209,111111
210,111111
211,011010
212,110011
213,111111
214,111111
215,111110
216,111111
217,101111
218,111111
219,110011
220,111111
221,011001
222,111001
223,111111
224,101011
225,111111
226,011100
227,001100
228,010000
229,111111
230,110011
231,000001
232,111001
233,010110
234,111111
235,110110
236,110010
237,110110
238,111111
239,011001
240,110110
241,111111
242,110011
243,111001
244,011100
245,111111
246,100101
247,111111
248,111111
249,100100
250,010100
251,101100
252,110011
253,001000
254,111111
255,010110
256,111111
257,111111
258,111111
259,111001
260,011111
261,010100
262,011111
263,011010
264,010010
265,011000
266,111111
267,111111
268,111100
269,110011
270,111111
271,011100
272,111001
273,111111
274,110000
275,111111
276,110011
277,111001
278,111111
279,111111
280,111111
281,111111
282,111111
283,011111
284,111111
285,111111
286,001110
287,111111
288,111111
289,111001
290,111111
291,100100
292,110000
293,010101
294,011010
295,111111
296,000110
297,101000
298,011101
299,000111
300,111111
301,111111
302,111111
303,111001
304,110100
305,111111
306,110111
307,110110
308,010110
309,000100
310,010010
311,110011
312,100010
313,111001
314,010110
315,111111
316,110000
317,010010
318,110011
319,111111
320,010110
321,111010
322,111111
323,111111
324,111001
325,111111
326,010010
327,100110
328,111001
329,110011
330,110110
331,110011
332,110011
333,010100
334,101100
335,111111
336,110011
337,010100
338,010010
339,111001
340,111111
341,111111
342,101111
343,000111
344,111111
345,001010
346,111111
347,111100
348,110011
349,110000
350,111111
351,111111
352,011000
353,000110
354,111111
355,111100
356,111111
357,110011
358,111111
359,111111
360,110011
361,111111
362,110011
363,111111
364,010110
365,111101
366,110011
367,011010
368,111111
369,111111
370,111111
371,110000
372,011100
373,110000
374,111111
375,111111
376,110111
377,011010
378,110011
379,110011
380,011110
381,111010
382,111010
383,111111
384,110111
385,111111
386,110011
387,010110
388,111010
389,111111
390,011100
391,110000
392,011010
393,010100
394,111111
395,000110
396,111111
397,000010
398,110010
399,101110
400,111111
401,111110
402,111001
403,111111
404,011000
405,111001
406,100111
407,010110
408,001011
409,111111
410,111111
411,110110
412,011100
413,111111
414,010100
415,101000
416,010010
417,010100
418,010010
419,111100
420,011100
421,101101
422,111101
423,001101
424,011010
425,010010
426,101101
427,010100
428,111001
429,111111
430,010000
431,111111
432,111111
433,111111
434,111111
435,001011
436,001111
437,011110
438,110011
439,111111
440,111111
441,100010
442,101100
443,111101
444,110011
445,111111
446,100110
447,111001
448,110011
449,111001
450,011010
451,011000
452,010110
453,111111
454,100010
455,011100
456,111111
457,110011
458,111111
459,111111
460,110011
461,110011
462,010010
463,010100
464,111001
465,110011
466,111001
467,011000
468,111111
469,110011
470,111001
471,110011
472,111111
473,111111
474,111111
475,101110
476,111111
477,110011
478,110111
479,111100
480,110111
481,111111
482,011000
483,110000
484,110000
485,110100
486,011001
487,111001
488,011000
489,111001
490,011110
491,000010
492,110011
493,000100
494,111111
495,100110
496,111001
497,000001
498,000010
499,001000
500,010010
501,110011
502,010010
503,101011
504,010000
505,000011
506,001110
507,011100
508,011100
509,101100
510,100001
511,011000
512,011010
513,111001
514,011010
515,010000
516,011100
517,100010
518,111001
519,101100
520,111001
521,101110
522,001000
523,001001
524,100101
525,000010
526,100111
527,111110
528,110110
529,001000
530,001101
531,001000
532,101100
533,111001
534,100011
535,111001
536,110011
