person,profile
1,001111
2,111111
3,111010
4,111001
5,010111
6,011010
7,000100
8,000111
9,001010
10,000110
11,111010
12,111111
13,010100
14,000001
15,000101
16,000000
17,010110
18,000100
19,011010
20,000011
21,111111
22,111001
23,111111
24,011111
25,111001
26,000000
27,011010
28,000101
29,011010
30,111111
31,011111
32,111111
33,111111
34,011111
35,111111
36,111110
37,001100
38,111010
39,111111
40,001010
41,000000
42,111111
43,111111
44,000010
45,111111
46,111111
47,011010
48,011010
49,000101
50,011101
51,000110
52,110011
53,011010
54,111111
55,011011
56,111111
57,111111
58,000100
59,011010
60,111111
61,010010
62,000011
63,111010
64,111111
65,111010
66,001001
67,111010
68,000110
69,000110
70,001100
71,011010
72,011010
73,000110
74,111111
75,011010
76,000100
77,011010
78,111111
79,111111
80,011111
81,000100
82,111101
83,000001
84,111010
85,111010
86,111101
87,111111
88,111111
89,111111
90,111111
91,111010
92,000111
93,111111
94,111111
95,111111
96,111111
97,011011
98,001010
99,111111
100,010110
101,011010
102,111111
103,011010
104,111111
105,111111
106,111010
107,110111
108,111111
109,111010
110,111111
111,010101
112,000101
113,011010
114,011111
115,111111
116,111111
117,000100
118,011011
119,011111
120,000101
121,000100
122,011010
123,011010
124,111111
125,111111
126,111111
127,111111
128,011111
129,011001
130,111111
131,011010
132,111111
133,011010
134,000000
135,000110
136,111111
137,111101
138,111111
139,000111
140,111111
141,111001
142,111111
143,010001
144,010110
145,011010
146,111111
147,111111
148,000000
149,111111
150,111111
151,111111
152,111111
153,111111
154,111111
155,111111
156,111111
157,111111
158,011111
159,111010
160,111111
161,111111
162,111111
163,111111
164,111111
165,000101
166,000011
167,000101
168,111111
169,111111
170,000010
171,001100
172,111111
173,111111
174,011100
175,011010
176,011011
177,111001
178,110110
179,111111
180,111111
181,000010
182,111001
183,111001
184,111111
185,111111
186,111111
187,110001
188,011010
189,111111
190,111111
191,111111
192,111111
193,111111
194,001100
195,000101
196,111111
197,111111
198,111111
199,111111
200,110111
201,111111
202,111111
203,111111
204,111111
205,011011
206,011111
207,111101
208,110111
209,111111
210,111111
211,001010
212,111010
213,111111
214,111111
215,110000
216,111111
217,000100
218,111111
219,111110
220,111111
221,011101
222,111111
223,111111
224,000001
225,111111
226,011011
227,000001
228,011010
229,111111
230,111010
231,000011
232,111001
233,011010
234,111111
235,110101
236,110000
237,111010
238,111111
239,001001
240,110100
241,111111
242,111100
243,111111
244,011010
245,111111
246,000100
247,111111
248,111111
249,010111
250,011010
251,000111
252,111010
253,000110
254,111111
255,001010
256,111111
257,111111
258,111111
259,111001
260,011111
261,000101
262,011111
263,011010
264,000100
265,000110
266,111111
267,111111
268,111010
269,111010
270,111111
271,011010
272,111001
273,111111
274,110010
275,111111
276,111010
277,111111
278,111111
279,111111
280,111111
281,111111
282,111111
283,011111
284,111111
285,111111
286,110110
287,111111
288,111111
289,111111
290,111111
291,000101
292,111010
293,011010
294,011010
295,111111
296,010110
297,000110
298,011101
299,010010
300,111111
301,111111
302,111111
303,111001
304,110110
305,111111
306,111110
307,111010
308,011010
309,000100
310,011010
311,111010
312,000101
313,111101
314,011010
315,111111
316,111010
317,011010
318,111111
319,111111
320,011010
321,111010
322,111111
323,111111
324,111101
325,111111
326,011010
327,000011
328,111111
329,111010
330,111010
331,011010
332,111010
333,011010
334,000011
335,111111
336,111010
337,011010
338,011010
339,111001
340,111111
341,111111
342,000101
343,000011
344,111111
345,000100
346,111111
347,110100
348,111010
349,111010
350,111111
351,111111
352,011010
353,000100
354,111111
355,111010
356,111111
357,111010
358,111111
359,111111
360,111010
361,111111
362,111010
363,111111
364,011010
365,111101
366,111010
367,011010
368,111111
369,111111
370,111111
371,111010
372,011010
373,111010
374,111111
375,111111
376,111111
377,011010
378,111010
379,111010
380,011010
381,111010
382,111010
383,111111
384,111110
385,111111
386,111010
387,011010
388,111010
389,111111
390,011010
391,111010
392,011010
393,011010
394,111111
395,000111
396,111111
397,000011
398,111010
399,000100
400,111111
401,111010
402,111111
403,111111
404,011010
405,111111
406,000111
407,011010
408,000001
409,111111
410,111111
411,111010
412,011010
413,111111
414,001010
415,000101
416,011010
417,011010
418,011010
419,111010
420,011011
421,000100
422,111101
423,000111
424,011010
425,011010
426,000001
427,011010
428,111111
429,111111
430,011010
431,111111
432,111111
433,111111
434,111111
435,000100
436,000111
437,011010
438,111010
439,111111
440,111111
441,000001
442,000101
443,111101
444,111010
445,111111
446,000010
447,111111
448,111100
449,111001
450,011010
451,011010
452,011010
453,111111
454,000110
455,001010
456,111111
457,111010
458,111111
459,111111
460,111010
461,111010
462,011010
463,011010
464,111111
465,111010
466,111111
467,011010
468,111111
469,111010
470,111111
471,111010
472,111111
473,111111
474,111111
475,000100
476,111111
477,111010
478,111111
479,111010
480,111110
481,111111
482,011010
483,111010
484,111010
485,111010
486,011011
487,111111
488,011010
489,111111
490,011010
491,000110
492,111010
493,000111
494,111111
495,000001
496,111111
497,000110
498,000001
499,000011
500,011010
501,111010
502,011010
503,000010
504,011010
505,000000
506,000100
507,001010
508,011010
509,000111
510,000110
511,011010
512,011010
513,111111
514,011010
515,011010
516,011010
517,010111
518,111001
519,000100
520,111001
521,000010
522,000101
523,000111
524,000100
525,000110
526,000000
527,111010
528,111010
529,000001
530,000101
531,000001
532,000110
533,111111
534,000101
535,111111
536,111010
