person,profile
1,01111
2,11111
3,11101
4,11111
5,01001
6,01100
7,10111
8,00101
9,01100
10,10000
11,11101
12,11111
13,01000
14,00000
15,01001
16,01001
17,10001
18,01010
19,01100
20,00111
21,11111
22,11111
23,11111
24,01111
25,11101
26,00100
27,01100
28,10101
29,01100
30,11111
31,01111
32,11111
33,11111
34,01111
35,11111
36,11101
37,01111
38,11101
39,11111
40,01001
41,00110
42,11111
43,11111
44,01010
45,11111
46,11111
47,01001
48,01100
49,10010
50,01111
51,10000
52,11001
53,01110
54,11111
55,01111
56,11111
57,11111
58,00000
59,01011
60,11111
61,01100
62,00111
63,11101
64,11111
65,11101
66,01111
67,11101
68,10011
69,10110
70,01101
71,01100
72,01001
73,00100
74,11111
75,01001
76,00100
77,01000
78,11111
79,11111
80,01111
81,01100
82,11111
83,10011
84,11010
85,11101
86,11111
87,11111
88,11111
89,11111
90,11111
91,11101
92,01110
93,11111
94,11111
95,11111
96,11111
97,01010
98,01001
99,11111
100,10101
101,01000
102,11111
103,01010
104,11111
105,11111
106,11101
107,11010
108,11111
109,11101
110,11111
111,01010
112,00011
113,11101
114,01111
115,11111
116,11111
117,00101
118,01111
119,01111
120,10011
121,10101
122,01010
123,01100
124,11111
125,11111
126,11111
127,11111
128,01111
129,01111
130,11111
131,01001
132,11111
133,01100
134,10100
135,10001
136,11111
137,11111
138,11111
139,10000
140,11111
141,11101
142,11111
143,01011
144,01001
145,01010
146,11111
147,11111
148,10110
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,01111
159,11101
160,11111
161,11111
162,11111
163,11111
164,11111
165,10000
166,10110
167,10000
168,11111
169,11111
170,00111
171,01000
172,11111
173,11111
174,01101
175,01110
176,01111
177,11111
178,11000
179,11111
180,11111
181,10110
182,11111
183,11111
184,11111
185,11111
186,11111
187,11001
188,01010
189,11111
190,11111
191,11111
192,11111
193,11111
194,01011
195,00011
196,11111
197,11111
198,11111
199,11111
200,11011
201,11111
202,11111
203,11111
204,11111
205,01111
206,01111
207,11111
208,11011
209,11111
210,11111
211,01010
212,11101
213,11111
214,11111
215,11010
216,11111
217,10011
218,11111
219,11101
220,11111
221,01111
222,11111
223,11111
224,00000
225,11111
226,01110
227,00010
228,01100
229,11111
230,11101
231,00000
232,11111
233,01011
234,11111
235,11001
236,11100
237,11101
238,11111
239,01111
240,11011
241,11111
242,11101
243,11111
244,01011
245,11111
246,00000
247,11111
248,11111
249,00111
250,01011
251,00001
252,11101
253,10011
254,11111
255,01100
256,11111
257,11111
258,11111
259,11111
260,01111
261,01001
262,01111
263,01001
264,01011
265,01011
266,11111
267,11111
268,11100
269,11101
270,11111
271,01000
272,11111
273,11111
274,11110
275,11111
276,11101
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,01111
284,11111
285,11111
286,10110
287,11111
288,11111
289,11111
290,11111
291,10001
292,11110
293,01101
294,01000
295,11111
296,00100
297,00010
298,01111
299,10110
300,11111
301,11111
302,11111
303,11111
304,11001
305,11111
306,11111
307,11110
308,01110
309,00010
310,01001
311,11101
312,00100
313,11111
314,01011
315,11111
316,11010
317,01011
318,11101
319,11111
320,01100
321,11100
322,11111
323,11111
324,11111
325,11111
326,01010
327,10010
328,11111
329,11101
330,11001
331,01010
332,11101
333,01110
334,10011
335,11111
336,11001
337,01110
338,01001
339,11111
340,11111
341,11111
342,10100
343,10111
344,11111
345,10001
346,11111
347,11000
348,11101
349,11100
350,11111
351,11111
352,01100
353,00111
354,11111
355,11001
356,11111
357,11101
358,11111
359,11111
360,11101
361,11111
362,11101
363,11111
364,01100
365,11111
366,11101
367,01011
368,11111
369,11111
370,11111
371,11011
372,01110
373,11001
374,11111
375,11111
376,11111
377,01010
378,11101
379,11101
380,01110
381,11001
382,11011
383,11111
384,11111
385,11111
386,11101
387,01100
388,11000
389,11111
390,01110
391,11000
392,01010
393,01110
394,11111
395,00110
396,11111
397,00100
398,11011
399,00100
400,11111
401,11101
402,11111
403,11111
404,01101
405,11111
406,00000
407,01101
408,00001
409,11111
410,11111
411,11100
412,01100
413,11111
414,01001
415,10001
416,01001
417,01010
418,01000
419,11100
420,01010
421,10010
422,11111
423,00000
424,01110
425,01010
426,00101
427,01001
428,11111
429,11111
430,01010
431,11111
432,11111
433,11111
434,11111
435,00001
436,10011
437,01010
438,11101
439,11111
440,11111
441,00010
442,00100
443,11111
444,11101
445,11111
446,00110
447,11111
448,11101
449,11100
450,01001
451,01010
452,01010
453,11111
454,00001
455,01011
456,11111
457,11101
458,11111
459,11111
460,11101
461,11101
462,01010
463,01011
464,11111
465,11101
466,11111
467,01010
468,11111
469,11101
470,11111
471,11101
472,11111
473,11111
474,11111
475,00101
476,11111
477,11101
478,11111
479,11110
480,11111
481,11111
482,01100
483,11001
484,11110
485,11110
486,01111
487,11111
488,01100
489,11111
490,01000
491,00000
492,11101
493,00011
494,11111
495,10010
496,11111
497,00101
498,10101
499,00001
500,01010
501,11101
502,01011
503,00011
504,01000
505,00111
506,10111
507,01110
508,01100
509,00011
510,00000
511,01010
512,01110
513,11111
514,01010
515,01000
516,01011
517,10100
518,11110
519,10110
520,11111
521,10001
522,00010
523,10100
524,10001
525,10101
526,10011
527,11101
528,11101
529,10100
530,00001
531,10100
532,10001
533,11111
534,10101
535,11111
536,11101
