person,profile
1,01101
2,11111
3,11000
4,11111
5,00001
6,01001
7,00100
8,10001
9,00100
10,10000
11,11010
12,11110
13,10000
14,00011
15,10101
16,01000
17,00000
18,00111
19,01001
20,00000
21,11111
22,11111
23,11111
24,01100
25,11011
26,00100
27,01011
28,00110
29,01000
30,11111
31,01111
32,11111
33,11111
34,01101
35,11111
36,11011
37,01100
38,11010
39,11111
40,01010
41,10110
42,11111
43,11111
44,00110
45,11111
46,11111
47,01000
48,01001
49,10110
50,01101
51,00010
52,11000
53,01001
54,11111
55,01100
56,11111
57,11111
58,10101
59,01010
60,11111
61,00010
62,10000
63,11011
64,11110
65,11011
66,01100
67,11010
68,00001
69,10101
70,01000
71,01011
72,01011
73,00011
74,11110
75,01001
76,00001
77,01011
78,11100
79,11111
80,01111
81,00010
82,11111
83,00010
84,11001
85,11011
86,11100
87,11111
88,11111
89,11111
90,11111
91,11001
92,10011
93,11111
94,11111
95,11111
96,11111
97,01010
98,00110
99,11111
100,10100
101,10000
102,11111
103,01010
104,11111
105,11110
106,11011
107,11000
108,11111
109,11011
110,11110
111,00011
112,10110
113,01011
114,01100
115,11111
116,11111
117,10100
118,01100
119,01101
120,10000
121,10101
122,01000
123,01000
124,11111
125,11111
126,11111
127,11111
128,01111
129,01100
130,11111
131,01000
132,11110
133,01011
134,00001
135,00010
136,11111
137,11100
138,11111
139,00110
140,11111
141,11010
142,11111
143,00111
144,10001
145,01000
146,11111
147,11111
148,00001
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,01100
159,11000
160,11111
161,11111
162,11111
163,11111
164,11111
165,00110
166,00001
167,10101
168,11111
169,11111
170,10110
171,01001
172,11111
173,11111
174,01100
175,01010
176,01100
177,11100
178,11010
179,11110
180,11111
181,00011
182,11110
183,11100
184,11111
185,11111
186,11111
187,10001
188,01000
189,11111
190,11111
191,11111
192,11111
193,11111
194,01001
195,10101
196,11111
197,11111
198,11111
199,11111
200,11001
201,11111
202,11111
203,11111
204,11111
205,01100
206,01111
207,11100
208,11010
209,11111
210,11111
211,01000
212,11011
213,11111
214,11111
215,10101
216,11111
217,10010
218,11111
219,11010
220,11111
221,01100
222,11100
223,11111
224,00001
225,11111
226,01000
227,10111
228,00000
229,11111
230,11010
231,10000
232,11100
233,01000
234,11111
235,11000
236,11011
237,11001
238,11111
239,01100
240,11001
241,11111
242,11000
243,11100
244,01000
245,11111
246,00111
247,11111
248,11111
249,10001
250,01000
251,00011
252,11011
253,00110
254,11111
255,01000
256,11111
257,11111
258,11111
259,11100
260,01111
261,00011
262,01111
263,01000
264,10011
265,10101
266,11111
267,11111
268,11000
269,11001
270,11111
271,01010
272,11100
273,11111
274,11011
275,11111
276,11010
277,11110
278,11111
279,11111
280,11111
281,11111
282,11111
283,01101
284,11111
285,11111
286,00011
287,11111
288,11111
289,11111
290,11111
291,00001
292,11010
293,01010
294,01001
295,11111
296,00110
297,10011
298,01101
299,10111
300,11111
301,11111
302,11111
303,11100
304,11011
305,11111
306,11111
307,11011
308,01000
309,00010
310,01000
311,11011
312,00101
313,11100
314,01010
315,11111
316,11000
317,01001
318,11111
319,11111
320,01010
321,11010
322,11111
323,11111
324,11100
325,11111
326,01000
327,10111
328,11111
329,11011
330,11011
331,01010
332,11001
333,01000
334,00110
335,11111
336,11001
337,01011
338,01001
339,11100
340,11111
341,11111
342,00101
343,00011
344,11111
345,10111
346,11111
347,11011
348,11011
349,11000
350,11111
351,11111
352,01001
353,10000
354,11111
355,11000
356,11111
357,11010
358,11111
359,11111
360,11010
361,11111
362,11010
363,11111
364,01011
365,11111
366,11011
367,01000
368,11111
369,11111
370,11111
371,11001
372,01011
373,11000
374,11111
375,11111
376,11111
377,01010
378,11011
379,11010
380,01000
381,11001
382,11011
383,11111
384,11110
385,11111
386,11011
387,01010
388,11010
389,11111
390,01011
391,11010
392,01000
393,01010
394,11111
395,10110
396,11111
397,00110
398,11010
399,00000
400,11111
401,11000
402,11111
403,11111
404,01001
405,11111
406,10101
407,01000
408,00010
409,11111
410,11111
411,11011
412,01000
413,11111
414,01000
415,00010
416,01001
417,01010
418,01001
419,11011
420,01011
421,00011
422,11111
423,10100
424,01010
425,01011
426,00001
427,01011
428,11111
429,11111
430,01001
431,11111
432,11100
433,11100
434,11111
435,00011
436,00101
437,01001
438,11001
439,11111
440,11111
441,10001
442,10110
443,11111
444,11010
445,11111
446,00100
447,11111
448,11000
449,11011
450,01000
451,01001
452,01000
453,11111
454,10011
455,01010
456,11111
457,11011
458,11111
459,11111
460,11011
461,11011
462,01011
463,01010
464,11111
465,11010
466,11111
467,01001
468,11111
469,11011
470,11111
471,11010
472,11111
473,11111
474,11111
475,00111
476,11111
477,11010
478,11111
479,11010
480,11111
481,11111
482,01000
483,11001
484,11010
485,11011
486,01100
487,11111
488,01010
489,11110
490,01010
491,10101
492,11011
493,00101
494,11111
495,00001
496,11110
497,10010
498,10001
499,00100
500,01001
501,11011
502,01000
503,00001
504,01011
505,10010
506,00000
507,01001
508,01001
509,10111
510,10100
511,01010
512,01011
513,11111
514,01000
515,01001
516,01010
517,10000
518,11001
519,00111
520,11110
521,00101
522,10110
523,00010
524,00001
525,10000
526,00011
527,11001
528,11001
529,10000
530,10001
531,10001
532,00101
533,11110
534,10010
535,11100
536,11011
