person,profile
1,01011
2,11011
3,11010
4,11111
5,01100
6,01100
7,00101
8,00111
9,01000
10,00001
11,11010
12,11111
13,01100
14,00000
15,01100
16,01000
17,00000
18,01001
19,01100
20,10101
21,11011
22,11111
23,11111
24,01011
25,11000
26,10010
27,01000
28,00000
29,01000
30,11111
31,11011
32,11111
33,11111
34,01011
35,11111
36,11110
37,01011
38,11010
39,11111
40,01000
41,10101
42,11111
43,11111
44,01000
45,11011
46,11011
47,01101
48,01000
49,00001
50,01011
51,10101
52,11101
53,01101
54,11111
55,01011
56,11111
57,11111
58,10001
59,01000
60,11011
61,01000
62,10001
63,11010
64,11111
65,11010
66,01011
67,11010
68,10101
69,10000
70,01010
71,01101
72,01101
73,00111
74,11111
75,01000
76,00100
77,01101
78,11011
79,11111
80,01111
81,01100
82,11011
83,00111
84,11101
85,11010
86,11011
87,11111
88,11111
89,11111
90,11111
91,11010
92,01101
93,11111
94,11111
95,11111
96,11011
97,01100
98,01000
99,11111
100,00110
101,01101
102,11111
103,01000
104,11111
105,11111
106,11010
107,11100
108,11111
109,11010
110,11111
111,01001
112,00001
113,01110
114,01011
115,11111
116,11111
117,10001
118,01011
119,01011
120,00100
121,00001
122,01100
123,01001
124,11111
125,11111
126,11111
127,11111
128,01111
129,01011
130,11111
131,01000
132,11111
133,01100
134,10000
135,00101
136,11111
137,11011
138,11011
139,10101
140,11111
141,11010
142,11111
143,01101
144,01101
145,01001
146,11111
147,11111
148,10001
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11011
157,11111
158,01011
159,11010
160,11011
161,11111
162,11011
163,11111
164,11111
165,10110
166,00001
167,10100
168,11111
169,11111
170,10011
171,01101
172,11111
173,11111
174,01010
175,01101
176,01011
177,11011
178,11000
179,11111
180,11111
181,00011
182,11011
183,11011
184,11111
185,11111
186,11011
187,11001
188,01001
189,11111
190,11111
191,11111
192,11111
193,11111
194,01100
195,01100
196,11111
197,11111
198,11111
199,11011
200,11000
201,11111
202,11111
203,11111
204,11111
205,01011
206,01111
207,11011
208,11101
209,11111
210,11111
211,01101
212,11010
213,11111
214,11111
215,11101
216,11111
217,00101
218,11111
219,11110
220,11011
221,01011
222,11011
223,11111
224,00000
225,11111
226,01001
227,10100
228,01001
229,11011
230,11010
231,10111
232,11011
233,01000
234,11011
235,11101
236,11000
237,11010
238,11111
239,01011
240,11101
241,11111
242,11010
243,11011
244,01000
245,11111
246,00001
247,11011
248,11111
249,00011
250,01100
251,00111
252,11010
253,10001
254,11011
255,01000
256,11111
257,11111
258,11111
259,11011
260,01111
261,01001
262,01111
263,01001
264,01000
265,01001
266,11111
267,11111
268,11001
269,11010
270,11011
271,01001
272,11011
273,11111
274,11001
275,11111
276,11010
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,01011
284,11111
285,11011
286,10110
287,11111
288,11111
289,11011
290,11011
291,00001
292,11001
293,01110
294,01000
295,11111
296,10001
297,10111
298,01011
299,10010
300,11111
301,11111
302,11111
303,11011
304,11101
305,11111
306,11111
307,11001
308,01100
309,10001
310,01001
311,11010
312,00001
313,11011
314,01100
315,11011
316,11001
317,01101
318,11010
319,11011
320,01001
321,11101
322,11011
323,11111
324,11011
325,11111
326,01101
327,00101
328,11011
329,11010
330,11100
331,01101
332,11010
333,01000
334,00110
335,11011
336,11100
337,01101
338,01000
339,11011
340,11111
341,11111
342,00011
343,00100
344,11111
345,10110
346,11011
347,11001
348,11010
349,11100
350,11011
351,11111
352,01100
353,00111
354,11111
355,11100
356,11011
357,11010
358,11111
359,11011
360,11010
361,11111
362,11110
363,11011
364,01001
365,11011
366,11010
367,01100
368,11111
369,11111
370,11111
371,11101
372,01101
373,11000
374,11111
375,11111
376,11111
377,01100
378,11010
379,11010
380,01101
381,11101
382,11101
383,11011
384,11111
385,11011
386,11110
387,01100
388,11101
389,11111
390,01000
391,11100
392,01101
393,01001
394,11111
395,00001
396,11111
397,00101
398,11101
399,10011
400,11011
401,11010
402,11111
403,11011
404,01010
405,11111
406,00110
407,01010
408,10101
409,11011
410,11111
411,11100
412,01000
413,11111
414,01101
415,00110
416,01100
417,01101
418,01101
419,11101
420,01101
421,00111
422,11011
423,00011
424,01101
425,01100
426,10001
427,01001
428,11111
429,11111
430,01000
431,11111
432,11011
433,11011
434,11111
435,00100
436,10111
437,01101
438,11010
439,11111
440,11111
441,00011
442,10001
443,11011
444,11010
445,11011
446,10101
447,11111
448,11010
449,11100
450,01001
451,01000
452,01101
453,11011
454,00110
455,01000
456,11111
457,11010
458,11011
459,11111
460,11010
461,11010
462,01101
463,01101
464,11011
465,11010
466,11111
467,01101
468,11111
469,11010
470,11111
471,11010
472,11111
473,11111
474,11111
475,10000
476,11111
477,11010
478,11111
479,11001
480,11111
481,11011
482,01101
483,11001
484,11100
485,11100
486,01011
487,11111
488,01100
489,11111
490,01101
491,10011
492,11110
493,10101
494,11111
495,10010
496,11111
497,10010
498,10001
499,00100
500,01100
501,11010
502,01101
503,00010
504,01000
505,00101
506,00000
507,01100
508,01100
509,00111
510,10111
511,01000
512,01100
513,11111
514,01100
515,01000
516,01100
517,10010
518,11001
519,10110
520,11111
521,10011
522,10101
523,00110
524,10000
525,10000
526,10101
527,11010
528,11010
529,00000
530,00100
531,10100
532,00001
533,11111
534,00011
535,11011
536,11010
