person,profile
1,10111
2,11111
3,11100
4,11111
5,01011
6,01010
7,00000
8,10010
9,01011
10,10010
11,11101
12,11111
13,01011
14,10000
15,01001
16,01010
17,10011
18,00000
19,01010
20,10000
21,11111
22,11111
23,11111
24,01110
25,11101
26,00000
27,01011
28,10000
29,01001
30,11111
31,01111
32,11111
33,11111
34,01110
35,11111
36,11101
37,10101
38,11101
39,11111
40,01010
41,00000
42,11111
43,11111
44,10001
45,11111
46,11111
47,01001
48,00101
49,00011
50,01110
51,00000
52,11000
53,01000
54,11111
55,01110
56,11111
57,11111
58,10010
59,01001
60,11111
61,01011
62,10011
63,11101
64,11111
65,11101
66,00110
67,11101
68,00010
69,10001
70,00100
71,01001
72,01011
73,00010
74,11111
75,01001
76,10000
77,01010
78,11111
79,11111
80,01111
81,10101
82,11110
83,10010
84,11011
85,11101
86,11110
87,11111
88,11111
89,11111
90,11111
91,11100
92,00011
93,11111
94,11111
95,11111
96,11111
97,01101
98,10011
99,11111
100,00000
101,01000
102,11111
103,01010
104,11111
105,11111
106,11101
107,11001
108,11111
109,11101
110,11111
111,01010
112,00010
113,01101
114,01110
115,11111
116,11111
117,10001
118,01110
119,01110
120,00001
121,10000
122,01001
123,01010
124,11111
125,11111
126,11111
127,11111
128,01111
129,01110
130,11111
131,01000
132,11111
133,01101
134,00000
135,00010
136,11111
137,11110
138,11111
139,00011
140,11111
141,11101
142,11111
143,01010
144,00010
145,01001
146,11111
147,11111
148,10011
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,10110
159,11100
160,11111
161,11111
162,11111
163,11111
164,11111
165,00001
166,10001
167,10011
168,11111
169,11111
170,00000
171,10101
172,11111
173,11111
174,01100
175,01000
176,01110
177,11110
178,11000
179,11111
180,11111
181,10001
182,11101
183,11100
184,11111
185,11111
186,11111
187,11001
188,01000
189,11111
190,11111
191,11111
192,11111
193,11111
194,10100
195,00010
196,11111
197,11111
198,11111
199,11111
200,11000
201,11111
202,11111
203,11111
204,11111
205,01110
206,01111
207,11110
208,11000
209,11111
210,11111
211,01000
212,11101
213,11111
214,11111
215,11001
216,11111
217,10001
218,11111
219,11101
220,11111
221,01110
222,11111
223,11111
224,10010
225,11111
226,01000
227,00011
228,00000
229,11111
230,11101
231,00000
232,11100
233,01000
234,11111
235,11010
236,11000
237,11100
238,11111
239,00111
240,11001
241,11111
242,11100
243,11111
244,01011
245,11111
246,00000
247,11111
248,11111
249,10001
250,01000
251,10001
252,11101
253,10000
254,11111
255,01010
256,11111
257,11111
258,11111
259,11110
260,01111
261,01001
262,01111
263,01001
264,00001
265,00001
266,11111
267,11111
268,11011
269,11100
270,11111
271,01000
272,11111
273,11111
274,11001
275,11111
276,11101
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,01110
284,11111
285,11111
286,00001
287,11111
288,11111
289,11111
290,11111
291,00010
292,11001
293,01101
294,01000
295,11111
296,00010
297,00001
298,01110
299,10010
300,11111
301,11111
302,11111
303,11100
304,11000
305,11111
306,11111
307,11011
308,01011
309,10001
310,01001
311,11101
312,10010
313,11110
314,01000
315,11111
316,11000
317,01011
318,11101
319,11111
320,01011
321,11000
322,11111
323,11111
324,11110
325,11111
326,01001
327,10010
328,11111
329,11101
330,11011
331,11101
332,11100
333,01011
334,10000
335,11111
336,11100
337,01010
338,01000
339,11100
340,11111
341,11111
342,10011
343,00001
344,11111
345,00000
346,11111
347,11011
348,11101
349,11010
350,11111
351,11111
352,01010
353,00010
354,11111
355,11011
356,11111
357,11101
358,11111
359,11111
360,11101
361,11111
362,11101
363,11111
364,01010
365,11110
366,11101
367,01001
368,11111
369,11111
370,11111
371,11010
372,01010
373,11100
374,11111
375,11111
376,11111
377,01001
378,11101
379,11101
380,01001
381,11010
382,11001
383,11111
384,11111
385,11111
386,11101
387,01000
388,11011
389,11111
390,01010
391,11010
392,01011
393,01011
394,11111
395,10000
396,11111
397,10011
398,11000
399,10001
400,11111
401,11100
402,11111
403,11111
404,01100
405,11111
406,00000
407,01100
408,00001
409,11111
410,11111
411,11001
412,01010
413,11111
414,00101
415,00011
416,01001
417,01010
418,01011
419,11000
420,01010
421,00010
422,11110
423,10010
424,01010
425,01001
426,00000
427,01001
428,11111
429,11111
430,01011
431,11111
432,11111
433,11111
434,11111
435,10001
436,00011
437,01010
438,11100
439,11111
440,11111
441,10011
442,00010
443,11110
444,11101
445,11111
446,10000
447,11111
448,11100
449,11010
450,01011
451,01011
452,01010
453,11111
454,10001
455,01101
456,11111
457,11101
458,11111
459,11111
460,11101
461,11101
462,01000
463,01000
464,11111
465,11101
466,11111
467,01011
468,11111
469,11101
470,11111
471,11101
472,11111
473,11111
474,11111
475,10001
476,11111
477,11101
478,11111
479,11000
480,11111
481,11111
482,01011
483,11011
484,11011
485,11001
486,01110
487,11111
488,01011
489,11111
490,01010
491,10010
492,11101
493,00001
494,11111
495,00001
496,11111
497,10000
498,00010
499,10011
500,01010
501,11101
502,01010
503,10001
504,01010
505,10000
506,00001
507,01010
508,01010
509,00001
510,10001
511,01010
512,01010
513,11111
514,01011
515,01010
516,01001
517,00010
518,11100
519,10011
520,11111
521,10001
522,00000
523,10001
524,10011
525,10001
526,00010
527,11100
528,11100
529,00010
530,10011
531,10011
532,00000
533,11111
534,00000
535,11111
536,11101
