person,profile
1,00011
2,11011
3,11010
4,11111
5,00000
6,10010
7,00000
8,00000
9,00010
10,00000
11,11110
12,11111
13,00000
14,00000
15,00000
16,10010
17,00000
18,00000
19,10010
20,00000
21,11111
22,11111
23,11111
24,10011
25,11110
26,00000
27,10110
28,00000
29,10010
30,11111
31,11111
32,11111
33,11111
34,10011
35,11111
36,11110
37,00011
38,11110
39,11111
40,00110
41,00000
42,11111
43,11111
44,00000
45,11011
46,11011
47,10010
48,10010
49,00000
50,10011
51,00000
52,11010
53,00000
54,11111
55,10011
56,11111
57,11111
58,00000
59,10110
60,11011
61,00000
62,00000
63,11111
64,11111
65,11110
66,00011
67,11110
68,00000
69,00000
70,00000
71,10110
72,10110
73,00000
74,11111
75,10010
76,00000
77,10110
78,11011
79,11111
80,10111
81,00000
82,11011
83,00000
84,11010
85,11100
86,11011
87,11111
88,11111
89,11111
90,11111
91,11010
92,00000
93,11111
94,11111
95,11111
96,11011
97,10110
98,00000
99,11111
100,00000
101,00000
102,11111
103,10110
104,11111
105,11111
106,11110
107,11100
108,11111
109,11110
110,11111
111,00000
112,00000
113,10110
114,10011
115,11111
116,11111
117,00000
118,10011
119,10011
120,00000
121,00000
122,10010
123,10010
124,11111
125,11111
126,11111
127,11111
128,10111
129,10011
130,01111
131,00000
132,11111
133,00000
134,00000
135,00000
136,11111
137,11011
138,11111
139,00000
140,11111
141,11110
142,11111
143,00000
144,00000
145,10010
146,11111
147,11111
148,00000
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,10011
159,11010
160,11111
161,11111
162,01011
163,11111
164,11111
165,00000
166,00000
167,00000
168,11111
169,01111
170,00000
171,00000
172,11111
173,11111
174,10011
175,10110
176,10011
177,11011
178,11100
179,11111
180,11111
181,00000
182,11111
183,11011
184,11111
185,11111
186,11111
187,11100
188,10010
189,11111
190,11111
191,11111
192,11111
193,11111
194,00000
195,00000
196,11111
197,11111
198,11111
199,11011
200,11100
201,11111
202,11111
203,11111
204,11111
205,10011
206,10111
207,11011
208,11100
209,11111
210,11111
211,00010
212,11110
213,11111
214,11111
215,11100
216,11111
217,00000
218,11111
219,01110
220,11011
221,10011
222,11011
223,11111
224,00000
225,11111
226,10010
227,00000
228,00000
229,11111
230,11110
231,00000
232,11011
233,10010
234,11011
235,11100
236,11100
237,11010
238,11111
239,00011
240,11100
241,11111
242,11011
243,11011
244,10010
245,11111
246,00000
247,11111
248,11111
249,00000
250,00000
251,00000
252,11110
253,00000
254,11111
255,00010
256,11111
257,11111
258,11111
259,11011
260,11111
261,00000
262,10111
263,10010
264,00000
265,00000
266,11111
267,11111
268,11100
269,11011
270,11111
271,10110
272,01011
273,11111
274,11100
275,11111
276,11110
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,10011
284,11111
285,01011
286,01000
287,11111
288,11111
289,11111
290,11011
291,00000
292,11110
293,10110
294,10010
295,11111
296,00000
297,00100
298,10011
299,00000
300,11111
301,11111
302,11111
303,11011
304,11100
305,11111
306,11111
307,11110
308,10010
309,00000
310,10010
311,11110
312,00000
313,11011
314,00110
315,11011
316,11010
317,10010
318,11111
319,11111
320,10110
321,11110
322,11111
323,11111
324,11011
325,11111
326,10010
327,00000
328,11111
329,11110
330,11110
331,10110
332,11010
333,10010
334,00000
335,11111
336,11010
337,10110
338,10010
339,11011
340,11111
341,11111
342,00000
343,00000
344,11111
345,00000
346,11111
347,11100
348,11110
349,11010
350,11111
351,11111
352,10010
353,00000
354,11111
355,11010
356,11111
357,11110
358,11111
359,11111
360,11110
361,11111
362,11111
363,11111
364,10110
365,11011
366,11110
367,10010
368,11111
369,11111
370,11111
371,11010
372,10110
373,11010
374,11111
375,11111
376,11111
377,10110
378,11110
379,11110
380,10010
381,11010
382,11110
383,11111
384,11111
385,11111
386,11110
387,10110
388,11110
389,11111
390,10110
391,11110
392,10010
393,10110
394,11111
395,00000
396,11111
397,00000
398,11110
399,00000
400,11011
401,11010
402,11111
403,11111
404,10010
405,11111
406,00000
407,10010
408,00000
409,11111
410,11111
411,11110
412,10010
413,11111
414,00010
415,00000
416,10010
417,10110
418,10010
419,11110
420,10110
421,00000
422,11011
423,00000
424,10110
425,10110
426,00000
427,10110
428,11111
429,11111
430,10010
431,11111
432,11011
433,11011
434,11111
435,00000
436,00000
437,10010
438,11010
439,11111
440,11111
441,00000
442,00000
443,11011
444,11110
445,11111
446,00000
447,11111
448,11010
449,11100
450,10010
451,10010
452,10010
453,11011
454,00000
455,00110
456,11111
457,11110
458,11111
459,11111
460,11110
461,11110
462,10110
463,10110
464,11111
465,11110
466,11111
467,10010
468,11111
469,11110
470,11111
471,11110
472,11111
473,11111
474,11111
475,00000
476,11111
477,11110
478,11111
479,11110
480,11111
481,11111
482,10010
483,11010
484,11110
485,11110
486,10011
487,11111
488,10110
489,11111
490,10110
491,00000
492,11110
493,00000
494,11111
495,00000
496,11111
497,00000
498,00000
499,00000
500,10010
501,11110
502,10010
503,00000
504,10110
505,00000
506,00000
507,00010
508,10010
509,00000
510,00000
511,10110
512,10110
513,11111
514,10010
515,10010
516,10110
517,00000
518,11010
519,00000
520,11111
521,00000
522,00000
523,00000
524,00000
525,00000
526,00000
527,11010
528,11010
529,00000
530,00000
531,00000
532,00000
533,11111
534,00000
535,11011
536,11110
