person,profile
1,10110
2,11110
3,11100
4,11111
5,00100
6,00100
7,10001
8,11001
9,00111
10,01000
11,11100
12,11111
13,00100
14,10011
15,00110
16,00101
17,11001
18,00111
19,00111
20,00001
21,11110
22,11111
23,11111
24,10110
25,01101
26,10010
27,00100
28,10000
29,00110
30,11111
31,11110
32,11111
33,11111
34,10110
35,11111
36,11101
37,10110
38,11100
39,11111
40,00111
41,00001
42,11111
43,11111
44,00100
45,11110
46,11110
47,00110
48,00111
49,11011
50,10110
51,10010
52,01101
53,00101
54,11111
55,10110
56,11111
57,11111
58,00000
59,00111
60,11110
61,00100
62,10001
63,11100
64,11111
65,11100
66,10110
67,11100
68,00010
69,11000
70,10100
71,00111
72,00110
73,00000
74,11111
75,00101
76,11000
77,00101
78,11110
79,11111
80,10111
81,00101
82,11110
83,00001
84,01111
85,11100
86,11110
87,11111
88,11111
89,11111
90,11111
91,11100
92,00100
93,11111
94,11111
95,11111
96,11110
97,00100
98,00100
99,11111
100,10010
101,00110
102,11111
103,00111
104,11111
105,11111
106,11100
107,01110
108,11111
109,11100
110,11111
111,00110
112,10000
113,10101
114,10110
115,11111
116,11111
117,10001
118,10110
119,10110
120,10011
121,01011
122,00101
123,00100
124,11111
125,11111
126,11111
127,11111
128,10111
129,10110
130,11111
131,00110
132,11111
133,00111
134,11011
135,10011
136,11111
137,11110
138,11110
139,11000
140,11111
141,11100
142,11111
143,00100
144,00110
145,00101
146,11111
147,11111
148,01010
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11110
157,11111
158,10110
159,11100
160,11110
161,11111
162,11110
163,11111
164,11111
165,01011
166,10011
167,10011
168,11111
169,11111
170,11001
171,00110
172,11111
173,11111
174,10100
175,00100
176,10110
177,11110
178,01100
179,11111
180,11111
181,01010
182,11110
183,11110
184,11111
185,11111
186,11110
187,01110
188,00100
189,11111
190,11111
191,11111
192,11111
193,11111
194,00111
195,00110
196,11111
197,11111
198,11111
199,11110
200,01110
201,11111
202,11111
203,11111
204,11111
205,10110
206,10111
207,11110
208,01110
209,11111
210,11111
211,00111
212,11100
213,11111
214,11111
215,01111
216,11111
217,10001
218,11111
219,11101
220,11110
221,10110
222,11110
223,11111
224,00001
225,11111
226,00100
227,11010
228,00101
229,11110
230,11100
231,10010
232,11110
233,00111
234,11110
235,01111
236,01101
237,11100
238,11111
239,10110
240,01110
241,11111
242,11100
243,11110
244,00101
245,11111
246,00011
247,11110
248,11111
249,11010
250,00110
251,01011
252,11100
253,10010
254,11110
255,00110
256,11111
257,11111
258,11111
259,11110
260,10111
261,00101
262,10111
263,00101
264,00101
265,00100
266,11111
267,11111
268,01100
269,11100
270,11110
271,00110
272,11110
273,11111
274,01111
275,11111
276,11100
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,10110
284,11111
285,11110
286,01001
287,11111
288,11111
289,11110
290,11110
291,11011
292,01110
293,10101
294,00100
295,11111
296,10010
297,01001
298,10110
299,01011
300,11111
301,11111
302,11111
303,11110
304,01111
305,11111
306,11111
307,01110
308,00111
309,01010
310,00111
311,11100
312,10010
313,11110
314,00110
315,11110
316,01111
317,00111
318,11100
319,11110
320,00110
321,01101
322,11110
323,11111
324,11110
325,11111
326,00101
327,11000
328,11110
329,11100
330,01101
331,00111
332,11100
333,00101
334,11011
335,11110
336,01110
337,00110
338,00101
339,11110
340,11111
341,11111
342,01010
343,01000
344,11111
345,10001
346,11110
347,01101
348,11100
349,01111
350,11110
351,11111
352,00101
353,00001
354,11111
355,01101
356,11110
357,11100
358,11111
359,11110
360,11100
361,11111
362,11101
363,11110
364,00101
365,11110
366,11100
367,00100
368,11111
369,11111
370,11111
371,01111
372,00111
373,01101
374,11111
375,11111
376,11111
377,00101
378,11100
379,11100
380,00110
381,01111
382,01111
383,11110
384,11111
385,11110
386,11101
387,00100
388,01100
389,11111
390,00111
391,01111
392,00100
393,00100
394,11111
395,00001
396,11111
397,10000
398,01110
399,01000
400,11110
401,11100
402,11111
403,11110
404,10100
405,11111
406,01001
407,10100
408,00010
409,11110
410,11111
411,01110
412,00101
413,11111
414,00101
415,01000
416,00110
417,00101
418,00101
419,01111
420,00101
421,00011
422,11110
423,10001
424,00101
425,00100
426,11001
427,00100
428,11111
429,11111
430,00100
431,11111
432,11110
433,11110
434,11111
435,00001
436,11011
437,00101
438,11100
439,11111
440,11111
441,10011
442,10000
443,11110
444,11100
445,11110
446,10011
447,11111
448,11100
449,01101
450,00110
451,00101
452,00101
453,11110
454,01010
455,00110
456,11111
457,11100
458,11110
459,11111
460,11100
461,11100
462,00111
463,00111
464,11110
465,11100
466,11111
467,00110
468,11111
469,11100
470,11111
471,11100
472,11111
473,11111
474,11111
475,01001
476,11111
477,11100
478,11111
479,01110
480,11111
481,11110
482,00101
483,01111
484,01111
485,01100
486,10110
487,11111
488,00100
489,11111
490,00111
491,01000
492,11101
493,00011
494,11111
495,01011
496,11111
497,10010
498,00000
499,11000
500,00100
501,11100
502,00110
503,11001
504,00111
505,00011
506,01000
507,00111
508,00100
509,01000
510,01011
511,00100
512,00110
513,11111
514,00101
515,00100
516,00101
517,01000
518,01101
519,10011
520,11111
521,10001
522,10011
523,00010
524,01001
525,11010
526,00001
527,11100
528,11100
529,11010
530,11011
531,10010
532,10001
533,11111
534,01000
535,11110
536,11100
