person,profile
1,01111
2,11111
3,11100
4,11111
5,01011
6,01000
7,10000
8,10011
9,01000
10,10110
11,11101
12,11111
13,01000
14,00011
15,01000
16,01000
17,01001
18,01010
19,01010
20,10011
21,11111
22,11111
23,11111
24,01110
25,11001
26,10000
27,01010
28,00011
29,01000
30,11111
31,11111
32,11111
33,11111
34,01111
35,11111
36,11100
37,01111
38,11100
39,11111
40,01000
41,10011
42,11111
43,11111
44,01000
45,11111
46,11111
47,01010
48,01010
49,00111
50,01111
51,00100
52,11000
53,01010
54,11111
55,01001
56,11111
57,11111
58,10001
59,01000
60,11110
61,01000
62,10100
63,11101
64,11111
65,11101
66,01111
67,11100
68,00010
69,00011
70,01101
71,01010
72,01010
73,00001
74,11110
75,01010
76,00001
77,01000
78,11110
79,11111
80,01111
81,01011
82,11111
83,10010
84,11000
85,11101
86,11111
87,11111
88,11111
89,11111
90,11111
91,11101
92,01010
93,11111
94,11111
95,11111
96,11111
97,01000
98,01010
99,11111
100,10000
101,01010
102,11110
103,01000
104,11111
105,11111
106,11010
107,11011
108,11111
109,11101
110,11111
111,01000
112,00011
113,01100
114,01110
115,11100
116,11111
117,10011
118,01011
119,01111
120,10001
121,10010
122,01010
123,01000
124,11111
125,11110
126,11111
127,11111
128,01111
129,01001
130,11111
131,01000
132,11111
133,01010
134,10010
135,00111
136,11111
137,11110
138,11111
139,00101
140,11111
141,11101
142,11111
143,01010
144,01000
145,01010
146,11111
147,11111
148,00001
149,11111
150,11111
151,11111
152,11111
153,11110
154,11110
155,11111
156,11111
157,11111
158,01111
159,11101
160,11111
161,11111
162,11111
163,11111
164,11111
165,10000
166,00100
167,00010
168,11111
169,11111
170,10011
171,01000
172,11111
173,11111
174,01101
175,01010
176,01011
177,11111
178,11010
179,11111
180,11111
181,10011
182,11111
183,11001
184,11110
185,11111
186,11111
187,11010
188,01010
189,11111
190,11111
191,11111
192,11111
193,11110
194,01000
195,00101
196,11111
197,11111
198,11111
199,11111
200,11000
201,11111
202,11111
203,11110
204,11111
205,01011
206,01110
207,11111
208,11001
209,11111
210,11111
211,01001
212,11101
213,11111
214,11111
215,11000
216,11111
217,10010
218,11111
219,11100
220,11111
221,01111
222,11110
223,11111
224,00011
225,11111
226,01001
227,00011
228,01000
229,11111
230,11101
231,10011
232,11111
233,01010
234,11111
235,11000
236,11011
237,11100
238,11111
239,01111
240,11010
241,11111
242,11100
243,11111
244,01000
245,11111
246,00011
247,11111
248,11111
249,00010
250,01010
251,10010
252,11101
253,00001
254,11111
255,01010
256,11111
257,11111
258,11111
259,11111
260,01110
261,01010
262,01111
263,01000
264,01010
265,01000
266,11111
267,11111
268,11011
269,11101
270,11111
271,01010
272,11111
273,11111
274,11001
275,11111
276,11100
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,01111
284,11111
285,11110
286,11001
287,11111
288,11111
289,11111
290,11111
291,10011
292,11010
293,01100
294,01010
295,11111
296,10011
297,00000
298,01110
299,00011
300,11111
301,11111
302,11111
303,11111
304,11010
305,11111
306,11110
307,11010
308,01010
309,10100
310,01010
311,11101
312,00101
313,11111
314,01010
315,11111
316,11010
317,01010
318,11111
319,11111
320,01000
321,11000
322,11111
323,11111
324,11111
325,11111
326,01010
327,10010
328,11111
329,11100
330,11010
331,01010
332,11101
333,01010
334,00001
335,11111
336,11010
337,01010
338,01010
339,11011
340,11111
341,11111
342,00001
343,00100
344,11111
345,10100
346,11111
347,11010
348,11100
349,11001
350,11111
351,11110
352,01010
353,00100
354,11111
355,11000
356,11111
357,11101
358,11111
359,11111
360,11101
361,11111
362,11100
363,11111
364,01000
365,11111
366,11101
367,01010
368,11111
369,11111
370,11111
371,11000
372,01010
373,11010
374,11111
375,11110
376,11111
377,01010
378,11000
379,11101
380,01000
381,11010
382,11010
383,11111
384,11111
385,11111
386,11100
387,01000
388,11000
389,11111
390,01000
391,11000
392,01010
393,01010
394,11111
395,10101
396,11111
397,00111
398,11000
399,10010
400,11111
401,11100
402,11111
403,11111
404,01101
405,11111
406,00010
407,01101
408,00000
409,11111
410,11110
411,11010
412,01000
413,11110
414,01010
415,00100
416,01010
417,01010
418,01011
419,11010
420,01001
421,00111
422,11111
423,00110
424,01000
425,01010
426,10010
427,01010
428,11111
429,11111
430,01001
431,11111
432,11111
433,11111
434,11111
435,10001
436,00011
437,01000
438,11101
439,11111
440,11111
441,10100
442,10001
443,11111
444,11101
445,11111
446,00011
447,11111
448,11101
449,11011
450,01010
451,01010
452,01000
453,11111
454,10001
455,01010
456,11111
457,11101
458,11111
459,11111
460,11101
461,11101
462,01010
463,01011
464,11111
465,11100
466,11111
467,01000
468,11111
469,11100
470,11111
471,11101
472,11111
473,11110
474,11110
475,00010
476,11111
477,11101
478,11111
479,11010
480,11110
481,11111
482,01001
483,11011
484,11010
485,11010
486,01001
487,11111
488,01010
489,11111
490,01000
491,10000
492,11100
493,10001
494,11111
495,10001
496,11111
497,00011
498,10100
499,00011
500,01010
501,11101
502,01010
503,10111
504,01000
505,10000
506,10000
507,01000
508,01000
509,00001
510,10110
511,01010
512,01000
513,11111
514,01010
515,01010
516,01010
517,01010
518,11001
519,00010
520,11111
521,00010
522,10010
523,10001
524,10000
525,00001
526,00011
527,11101
528,11101
529,00011
530,00011
531,00001
532,10011
533,11111
534,00011
535,11111
536,11101
