person,profile
1,10011
2,11111
3,11001
4,11111
5,10000
6,10000
7,01000
8,00001
9,01100
10,01110
11,11101
12,11111
13,10000
14,01010
15,01100
16,10000
17,00001
18,01110
19,01100
20,00001
21,11111
22,11111
23,11111
24,10011
25,11001
26,01000
27,01110
28,01000
29,00100
30,11111
31,10111
32,11111
33,11111
34,10110
35,11111
36,11001
37,10000
38,11001
39,11111
40,00110
41,00011
42,11111
43,11111
44,00000
45,11111
46,11111
47,01111
48,10000
49,00000
50,10011
51,00001
52,11001
53,10000
54,11111
55,10110
56,11111
57,11111
58,01000
59,00101
60,11111
61,10000
62,01001
63,11101
64,11111
65,11101
66,10011
67,11101
68,01000
69,00000
70,10000
71,00101
72,01111
73,00010
74,11111
75,10000
76,01010
77,01100
78,11111
79,11111
80,10111
81,10000
82,11010
83,01010
84,11001
85,11001
86,11010
87,11111
88,11111
89,11111
90,11111
91,11100
92,00111
93,11111
94,11111
95,11111
96,11111
97,10000
98,01100
99,11111
100,00001
101,01111
102,11111
103,01100
104,11111
105,11111
106,11101
107,11001
108,11111
109,11101
110,11111
111,10000
112,00001
113,11001
114,10011
115,11111
116,11111
117,01001
118,10000
119,10110
120,00011
121,01011
122,10000
123,10000
124,11111
125,11111
126,11111
127,11111
128,10111
129,10011
130,11111
131,10000
132,11111
133,10000
134,01001
135,01001
136,11111
137,11010
138,11111
139,00011
140,11111
141,11001
142,11111
143,10000
144,00000
145,10000
146,11111
147,11111
148,00000
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,10011
159,11100
160,11111
161,11111
162,11111
163,11111
164,11111
165,00001
166,00001
167,00011
168,11111
169,11111
170,01001
171,10000
172,11111
173,11111
174,10000
175,01111
176,10000
177,11010
178,11001
179,11111
180,11111
181,00001
182,11101
183,11001
184,11111
185,11111
186,11111
187,01000
188,10000
189,11111
190,11111
191,11111
192,11111
193,11111
194,10000
195,01101
196,11111
197,11111
198,11111
199,11111
200,11001
201,11111
202,11111
203,11111
204,11111
205,10000
206,10111
207,11010
208,11001
209,11111
210,11111
211,01110
212,11001
213,11111
214,11111
215,00011
216,11111
217,00000
218,11111
219,11001
220,11010
221,10110
222,11111
223,11111
224,01000
225,11111
226,10000
227,00001
228,10000
229,11111
230,11001
231,01011
232,11111
233,00101
234,11111
235,11001
236,11001
237,11001
238,11111
239,10011
240,11001
241,11111
242,11100
243,11111
244,10100
245,11111
246,00011
247,11111
248,11111
249,01010
250,01110
251,01010
252,11001
253,00011
254,11111
255,00110
256,11111
257,11111
258,11111
259,11010
260,10111
261,01100
262,10111
263,10100
264,01011
265,00101
266,11111
267,11111
268,11001
269,11100
270,11111
271,00101
272,11111
273,11111
274,11001
275,11111
276,11001
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,10110
284,11111
285,11010
286,00010
287,11111
288,11111
289,11111
290,11111
291,01001
292,11001
293,10000
294,00111
295,11111
296,00001
297,01001
298,10110
299,01000
300,11111
301,11111
302,11111
303,11100
304,11001
305,11111
306,11111
307,11001
308,10000
309,01000
310,10000
311,11101
312,00000
313,11110
314,00101
315,11111
316,11001
317,10100
318,11111
319,11111
320,00110
321,11001
322,11111
323,11111
324,11010
325,11111
326,10100
327,01010
328,11111
329,11001
330,11001
331,11101
332,11001
333,10100
334,01000
335,11111
336,11001
337,01101
338,10000
339,11001
340,11111
341,11111
342,01011
343,00000
344,11111
345,00001
346,11111
347,11001
348,11001
349,11001
350,11111
351,11111
352,10100
353,00010
354,11111
355,11001
356,11111
357,11001
358,11111
359,11111
360,11001
361,11111
362,11101
363,11111
364,01100
365,11110
366,11001
367,00101
368,11111
369,11111
370,11111
371,11001
372,01111
373,11001
374,11111
375,11111
376,11111
377,00110
378,11101
379,11101
380,10000
381,11001
382,11101
383,11111
384,11111
385,11111
386,11101
387,00101
388,11001
389,11111
390,10101
391,11001
392,10000
393,01101
394,11111
395,01000
396,11111
397,01011
398,11101
399,00001
400,11111
401,11001
402,11111
403,11111
404,10100
405,11111
406,01001
407,10100
408,00001
409,11111
410,11111
411,11101
412,10100
413,11111
414,01101
415,01001
416,10100
417,10000
418,10000
419,11101
420,10000
421,01000
422,11110
423,01011
424,00100
425,00101
426,01010
427,00100
428,11111
429,11111
430,10100
431,11111
432,11111
433,11111
434,11111
435,00011
436,00010
437,10100
438,11100
439,11111
440,11111
441,00001
442,00011
443,11110
444,11101
445,11111
446,01001
447,11111
448,11100
449,11001
450,10100
451,10000
452,10000
453,11111
454,01001
455,10000
456,11111
457,11001
458,11111
459,11111
460,11001
461,11101
462,01110
463,00101
464,11111
465,11101
466,11111
467,01100
468,11111
469,11001
470,11111
471,11101
472,11111
473,11111
474,11111
475,01011
476,11111
477,11001
478,11111
479,11101
480,11111
481,11111
482,10000
483,11100
484,11101
485,11101
486,10000
487,11111
488,01111
489,11111
490,01101
491,01011
492,11101
493,00000
494,11111
495,00010
496,11111
497,01001
498,00011
499,00000
500,10000
501,11101
502,10000
503,01010
504,01100
505,01010
506,00010
507,01110
508,01100
509,01001
510,01001
511,00111
512,00101
513,11111
514,10100
515,10000
516,10000
517,00000
518,11100
519,01010
520,11111
521,00010
522,01000
523,01010
524,01010
525,01011
526,00011
527,11100
528,11100
529,00001
530,01001
531,00011
532,01011
533,11111
534,00000
535,11111
536,11001
