person,profile
1,10111
2,11111
3,11100
4,11111
5,10011
6,10000
7,01010
8,01000
9,10000
10,00111
11,11101
12,11111
13,10000
14,01000
15,10000
16,10010
17,10001
18,10000
19,10000
20,00001
21,11111
22,11111
23,11111
24,10110
25,11011
26,00010
27,10010
28,01011
29,10000
30,11111
31,11111
32,11111
33,11111
34,10111
35,11111
36,11100
37,10111
38,11100
39,11111
40,10010
41,01000
42,11111
43,11111
44,10010
45,11111
46,11111
47,10000
48,10010
49,01110
50,10111
51,00100
52,11000
53,10000
54,11111
55,10011
56,11111
57,11111
58,01010
59,10000
60,11110
61,10000
62,01101
63,11101
64,11111
65,11101
66,10111
67,11100
68,00010
69,01010
70,10101
71,10000
72,10000
73,00000
74,11110
75,10010
76,00001
77,10010
78,11110
79,11111
80,10111
81,10011
82,11111
83,00010
84,11010
85,11101
86,11111
87,11111
88,11111
89,11111
90,11111
91,11101
92,10000
93,11111
94,11111
95,11111
96,11111
97,10010
98,10000
99,11111
100,00000
101,10000
102,11110
103,10000
104,11111
105,11111
106,11010
107,11001
108,11111
109,11101
110,11111
111,10000
112,00011
113,10100
114,10110
115,11100
116,11111
117,00010
118,10011
119,10111
120,01010
121,01000
122,10000
123,10010
124,11111
125,11110
126,11111
127,11111
128,10111
129,10011
130,11111
131,10010
132,11111
133,10000
134,01010
135,01100
136,11111
137,11110
138,11111
139,00101
140,11111
141,11101
142,11111
143,10010
144,10000
145,10000
146,11111
147,11111
148,01001
149,11111
150,11111
151,11111
152,11111
153,11110
154,11110
155,11111
156,11111
157,11111
158,10111
159,11101
160,11111
161,11111
162,11111
163,11111
164,11111
165,01011
166,01110
167,00011
168,11111
169,11111
170,01010
171,10010
172,11111
173,11111
174,10101
175,10010
176,10001
177,11111
178,11000
179,11111
180,11111
181,01011
182,11111
183,11011
184,11110
185,11111
186,11111
187,11010
188,10010
189,11111
190,11111
191,11111
192,11111
193,11110
194,10000
195,01101
196,11111
197,11111
198,11111
199,11111
200,11000
201,11111
202,11111
203,11110
204,11111
205,10011
206,10110
207,11111
208,11011
209,11111
210,11111
211,10011
212,11101
213,11111
214,11111
215,11010
216,11111
217,00000
218,11111
219,11100
220,11111
221,10111
222,11110
223,11111
224,01010
225,11111
226,10011
227,00000
228,10000
229,11111
230,11101
231,00010
232,11111
233,10000
234,11111
235,11010
236,11011
237,11100
238,11111
239,10111
240,11010
241,11111
242,11100
243,11111
244,10000
245,11111
246,01000
247,11111
248,11111
249,00010
250,10010
251,00000
252,11101
253,01010
254,11111
255,10010
256,11111
257,11111
258,11111
259,11111
260,10110
261,10010
262,10111
263,10000
264,10010
265,10000
266,11111
267,11111
268,11001
269,11101
270,11111
271,10000
272,11111
273,11111
274,11011
275,11111
276,11100
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,10111
284,11111
285,11110
286,11001
287,11111
288,11111
289,11111
290,11111
291,00000
292,11010
293,10100
294,10000
295,11111
296,01001
297,00011
298,10110
299,01010
300,11111
301,11111
302,11111
303,11111
304,11010
305,11111
306,11110
307,11010
308,10010
309,01111
310,10000
311,11101
312,00111
313,11111
314,10010
315,11111
316,11000
317,10000
318,11111
319,11111
320,10010
321,11010
322,11111
323,11111
324,11111
325,11111
326,10000
327,01001
328,11111
329,11100
330,11000
331,10000
332,11101
333,10010
334,00011
335,11111
336,11010
337,10010
338,10000
339,11011
340,11111
341,11111
342,01011
343,00100
344,11111
345,01110
346,11111
347,11000
348,11100
349,11001
350,11111
351,11110
352,10010
353,01110
354,11111
355,11000
356,11111
357,11101
358,11111
359,11111
360,11101
361,11111
362,11100
363,11111
364,10000
365,11111
366,11101
367,10000
368,11111
369,11111
370,11111
371,11000
372,10010
373,11010
374,11111
375,11110
376,11111
377,10010
378,11010
379,11101
380,10010
381,11010
382,11010
383,11111
384,11111
385,11111
386,11100
387,10010
388,11000
389,11111
390,10010
391,11000
392,10000
393,10010
394,11111
395,01100
396,11111
397,01101
398,11000
399,01000
400,11111
401,11100
402,11111
403,11111
404,10101
405,11111
406,00011
407,10101
408,00000
409,11111
410,11110
411,11010
412,10000
413,11110
414,10010
415,00100
416,10000
417,10000
418,10011
419,11010
420,10011
421,00110
422,11111
423,01100
424,10010
425,10010
426,00011
427,10000
428,11111
429,11111
430,10011
431,11111
432,11111
433,11111
434,11111
435,00000
436,01010
437,10010
438,11101
439,11111
440,11111
441,01110
442,00011
443,11111
444,11101
445,11111
446,00011
447,11111
448,11101
449,11011
450,10000
451,10000
452,10010
453,11111
454,01000
455,10010
456,11111
457,11101
458,11111
459,11111
460,11101
461,11101
462,10010
463,10011
464,11111
465,11100
466,11111
467,10010
468,11111
469,11100
470,11111
471,11101
472,11111
473,11110
474,11110
475,00001
476,11111
477,11101
478,11111
479,11010
480,11110
481,11111
482,10001
483,11001
484,11000
485,11010
486,10001
487,11111
488,10000
489,11111
490,10010
491,00011
492,11100
493,00011
494,11111
495,01011
496,11111
497,00000
498,01101
499,01010
500,10010
501,11101
502,10010
503,00101
504,10010
505,00010
506,01001
507,10000
508,10000
509,01011
510,01100
511,10010
512,10000
513,11111
514,10010
515,10010
516,10010
517,10010
518,11011
519,00001
520,11111
521,01000
522,00010
523,00000
524,01010
525,00000
526,00011
527,11101
528,11101
529,01010
530,00011
531,01011
532,00011
533,11111
534,01001
535,11111
536,11101
