person,profile
1,10110
2,11111
3,11100
4,11000
5,01010
6,00100
7,01010
8,01010
9,00100
10,01100
11,11101
12,11011
13,00100
14,01001
15,01100
16,00100
17,00011
18,00100
19,01101
20,01011
21,11111
22,11010
23,11111
24,10010
25,11101
26,00010
27,00100
28,00001
29,01110
30,11111
31,10111
32,11111
33,11111
34,10110
35,11111
36,11101
37,10000
38,11101
39,11111
40,01110
41,01010
42,11111
43,11111
44,00010
45,11111
46,11111
47,00100
48,10011
49,00011
50,10110
51,01000
52,11100
53,00011
54,11111
55,10000
56,11111
57,11111
58,01000
59,00111
60,11111
61,01101
62,00011
63,11101
64,11111
65,11101
66,10010
67,11101
68,00011
69,00011
70,10100
71,00111
72,00100
73,00000
74,11111
75,01100
76,01010
77,00111
78,11001
79,11111
80,10111
81,00100
82,11111
83,00001
84,11100
85,11101
86,11111
87,11001
88,11111
89,11111
90,11111
91,11100
92,00110
93,11111
94,11111
95,11111
96,11111
97,10010
98,01101
99,11111
100,01011
101,01101
102,11111
103,01110
104,11111
105,11111
106,11101
107,11100
108,11111
109,11101
110,11010
111,01010
112,01010
113,10101
114,10011
115,11111
116,11111
117,00010
118,10010
119,10110
120,01000
121,00010
122,00111
123,00111
124,11111
125,11111
126,11111
127,11111
128,10111
129,10001
130,11111
131,01110
132,11001
133,10101
134,01000
135,01001
136,11111
137,11000
138,11111
139,01010
140,11111
141,11101
142,11111
143,00000
144,01000
145,00100
146,11111
147,11111
148,00001
149,11010
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,10000
159,11100
160,11111
161,11111
162,11111
163,11111
164,11111
165,00010
166,01000
167,00001
168,11111
169,11111
170,01001
171,00100
172,11000
173,11111
174,10100
175,01111
176,10000
177,11001
178,11101
179,11001
180,11111
181,00011
182,11001
183,11100
184,11111
185,11111
186,11111
187,01001
188,00101
189,11111
190,11111
191,11111
192,11111
193,11111
194,10000
195,01101
196,11111
197,11111
198,11111
199,11111
200,01001
201,11111
202,11111
203,11111
204,11111
205,10000
206,10111
207,11001
208,11101
209,11111
210,11111
211,01111
212,11101
213,11111
214,11111
215,00011
216,11111
217,01011
218,11111
219,11101
220,11011
221,10110
222,11111
223,11111
224,01010
225,11111
226,10010
227,00001
228,00100
229,11111
230,11101
231,00011
232,11011
233,00111
234,11111
235,01001
236,11101
237,11100
238,11111
239,10010
240,11100
241,11111
242,11100
243,11000
244,10100
245,11111
246,01010
247,11111
248,11111
249,00010
250,01101
251,01000
252,11101
253,01010
254,11111
255,00101
256,11111
257,11111
258,11111
259,11000
260,10111
261,01101
262,10111
263,00101
264,01010
265,00100
266,11111
267,11111
268,11100
269,11100
270,11111
271,00110
272,11010
273,11111
274,01010
275,11111
276,11101
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,10110
284,11111
285,11111
286,01010
287,11111
288,11111
289,11001
290,11111
291,01000
292,11101
293,10101
294,01101
295,11111
296,01010
297,00000
298,10110
299,00001
300,11111
301,11111
302,11111
303,11100
304,11101
305,11111
306,11111
307,11101
308,10100
309,01000
310,10100
311,11101
312,01011
313,11011
314,01100
315,11111
316,11100
317,10100
318,11111
319,11111
320,01110
321,11101
322,11111
323,11111
324,11001
325,11111
326,01101
327,00001
328,11111
329,11101
330,11101
331,11101
332,11100
333,10100
334,00010
335,11011
336,11100
337,01111
338,00110
339,11011
340,11111
341,11111
342,00011
343,01000
344,11111
345,01010
346,11111
347,11101
348,11101
349,11100
350,11111
351,11111
352,10100
353,00010
354,11111
355,11100
356,11111
357,11101
358,11111
359,11111
360,11101
361,11111
362,11101
363,11111
364,00101
365,11111
366,11101
367,01111
368,11111
369,11111
370,11111
371,11100
372,00111
373,11100
374,11111
375,11111
376,11111
377,01111
378,11101
379,11101
380,01111
381,11100
382,11101
383,11111
384,11111
385,11111
386,11101
387,01110
388,11101
389,11111
390,10101
391,11101
392,01110
393,01100
394,11111
395,01001
396,11111
397,01001
398,11101
399,00011
400,11111
401,11100
402,11010
403,11111
404,10100
405,11011
406,01000
407,10100
408,00001
409,11111
410,11111
411,11101
412,10100
413,11111
414,01110
415,00000
416,10100
417,01110
418,10100
419,11101
420,10101
421,01011
422,11111
423,01011
424,00110
425,01101
426,01001
427,01110
428,11000
429,11111
430,10100
431,11111
432,11111
433,11111
434,11111
435,01011
436,01010
437,10100
438,11100
439,11111
440,11111
441,01001
442,00011
443,11111
444,11101
445,11111
446,00011
447,11010
448,11100
449,11010
450,01101
451,01100
452,10100
453,11111
454,00010
455,01101
456,11111
457,11101
458,11111
459,11111
460,11101
461,11101
462,00110
463,01101
464,11111
465,11101
466,11111
467,00101
468,11111
469,11101
470,11111
471,11101
472,11111
473,11111
474,11111
475,00011
476,11111
477,11101
478,11111
479,11101
480,11111
481,11111
482,10100
483,11100
484,11101
485,11101
486,10010
487,11010
488,00100
489,11111
490,01110
491,01001
492,11101
493,01010
494,11111
495,00001
496,11001
497,00011
498,01010
499,00001
500,01100
501,11101
502,00110
503,01011
504,00100
505,01011
506,01000
507,01110
508,01101
509,01010
510,01001
511,00110
512,01111
513,11111
514,10100
515,10100
516,01111
517,00011
518,11100
519,01011
520,11101
521,00001
522,01011
523,01100
524,00000
525,00001
526,00010
527,11100
528,11100
529,00011
530,01000
531,00011
532,00011
533,11111
534,00011
535,11111
536,11101
