person,profile
1,10011
2,11111
3,11001
4,11111
5,10000
6,10000
7,00011
8,01101
9,10000
10,00110
11,11101
12,11111
13,10000
14,00011
15,10000
16,10000
17,10000
18,10000
19,10000
20,00101
21,11111
22,11111
23,11111
24,10011
25,11001
26,00000
27,10000
28,00100
29,10000
30,11111
31,10111
32,11111
33,11111
34,10110
35,11111
36,11001
37,10000
38,11001
39,11111
40,10101
41,01110
42,11111
43,11111
44,10000
45,11111
46,11111
47,10000
48,10000
49,01011
50,10011
51,00000
52,11001
53,10000
54,11111
55,10110
56,11111
57,11111
58,00110
59,10000
60,11111
61,10000
62,00100
63,11101
64,11111
65,11101
66,10011
67,11101
68,00100
69,00100
70,10000
71,10000
72,10000
73,00100
74,11111
75,10000
76,00010
77,10000
78,11111
79,11111
80,10111
81,10000
82,11010
83,00001
84,11001
85,11001
86,11010
87,11111
88,11111
89,11111
90,11111
91,11001
92,10000
93,11111
94,11111
95,11111
96,11111
97,10000
98,10000
99,11111
100,01101
101,10000
102,11111
103,10000
104,11111
105,11111
106,11101
107,11001
108,11111
109,11101
110,11111
111,10000
112,01110
113,10101
114,10011
115,11111
116,11111
117,00011
118,10110
119,10110
120,01100
121,00000
122,10000
123,10000
124,11111
125,11111
126,11111
127,11111
128,10111
129,10011
130,11111
131,10000
132,11111
133,10000
134,00001
135,00101
136,11111
137,11010
138,11111
139,00010
140,11111
141,11001
142,11111
143,10000
144,10000
145,10000
146,11111
147,11111
148,01000
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,10011
159,11001
160,11111
161,11111
162,11111
163,11111
164,11111
165,01111
166,00000
167,00111
168,11111
169,11111
170,01110
171,10000
172,11111
173,11111
174,10000
175,10000
176,10110
177,11010
178,11001
179,11111
180,11111
181,00001
182,11111
183,11001
184,11111
185,11111
186,11111
187,11001
188,10000
189,11111
190,11111
191,11111
192,11111
193,11111
194,10000
195,01101
196,11111
197,11111
198,11111
199,11111
200,11001
201,11111
202,11111
203,11111
204,11111
205,10000
206,10111
207,11010
208,11001
209,11111
210,11111
211,10000
212,11001
213,11111
214,11111
215,11001
216,11111
217,01010
218,11111
219,11001
220,11010
221,10110
222,11111
223,11111
224,00001
225,11111
226,10000
227,01101
228,10000
229,11111
230,11001
231,00111
232,11111
233,10100
234,11111
235,11001
236,11001
237,11001
238,11111
239,10011
240,11001
241,11111
242,11001
243,11111
244,10100
245,11111
246,00001
247,11111
248,11111
249,10000
250,10000
251,01111
252,11001
253,00010
254,11111
255,10000
256,11111
257,11111
258,11111
259,11010
260,10111
261,10000
262,10111
263,10100
264,10000
265,10000
266,11111
267,11111
268,11001
269,11110
270,11111
271,10000
272,11111
273,11111
274,11001
275,11111
276,11001
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,10110
284,11111
285,11010
286,01110
287,11111
288,11111
289,11111
290,11111
291,00111
292,11001
293,10000
294,10100
295,11111
296,00110
297,00101
298,10110
299,00000
300,11111
301,11111
302,11111
303,11110
304,11001
305,11111
306,11111
307,11001
308,10000
309,01001
310,10000
311,11101
312,01001
313,11110
314,10101
315,11111
316,11001
317,10100
318,11111
319,11111
320,10101
321,11001
322,11111
323,11111
324,11010
325,11111
326,10100
327,01001
328,11111
329,11001
330,11001
331,10101
332,11001
333,10100
334,01110
335,11111
336,11001
337,10000
338,10000
339,11001
340,11111
341,11111
342,01100
343,00111
344,11111
345,00010
346,11111
347,11001
348,11001
349,11001
350,11111
351,11111
352,10100
353,01011
354,11111
355,11001
356,11111
357,11001
358,11111
359,11111
360,11001
361,11111
362,11101
363,11111
364,10000
365,11110
366,11001
367,10100
368,11111
369,11111
370,11111
371,11001
372,10101
373,11001
374,11111
375,11111
376,11111
377,10101
378,11101
379,11101
380,10000
381,11001
382,11101
383,11111
384,11111
385,11111
386,11101
387,10101
388,11001
389,11111
390,10101
391,11001
392,10000
393,10000
394,11111
395,01010
396,11111
397,01001
398,11101
399,01011
400,11111
401,11001
402,11111
403,11111
404,10100
405,11111
406,01111
407,10100
408,01101
409,11111
410,11111
411,11101
412,10100
413,11111
414,10000
415,01111
416,10100
417,10000
418,10000
419,11101
420,10000
421,01011
422,11110
423,01111
424,10101
425,10101
426,00000
427,10000
428,11111
429,11111
430,10100
431,11111
432,11111
433,11111
434,11111
435,00001
436,01010
437,10100
438,11001
439,11111
440,11111
441,00110
442,01000
443,11110
444,11101
445,11111
446,01001
447,11111
448,11001
449,11001
450,10100
451,10000
452,10000
453,11111
454,01001
455,10000
456,11111
457,11001
458,11111
459,11111
460,11001
461,11101
462,10000
463,10000
464,11111
465,11101
466,11111
467,10100
468,11111
469,11001
470,11111
471,11101
472,11111
473,11111
474,11111
475,00000
476,11111
477,11001
478,11111
479,11101
480,11111
481,11111
482,10000
483,11001
484,11101
485,11101
486,10000
487,11111
488,10101
489,11111
490,10000
491,01001
492,11101
493,01011
494,11111
495,00011
496,11111
497,00110
498,00101
499,00100
500,10000
501,11101
502,10000
503,00100
504,10000
505,00110
506,01101
507,10100
508,10100
509,01110
510,01010
511,10101
512,10101
513,11111
514,10100
515,10000
516,10000
517,10000
518,11001
519,01110
520,11111
521,01110
522,01110
523,01111
524,01101
525,01110
526,01101
527,11001
528,11001
529,01111
530,00001
531,01001
532,01100
533,11111
534,01110
535,11111
536,11001
