person,profile
1,101111
2,111111
3,111010
4,110101
5,100011
6,100010
7,000011
8,011000
9,100000
10,000011
11,111100
12,110101
13,100000
14,000010
15,100000
16,100001
17,010100
18,101011
19,101010
20,000000
21,111111
22,110101
23,111111
24,100101
25,110101
26,011001
27,101001
28,000000
29,100010
30,111111
31,101111
32,111111
33,111111
34,101111
35,111111
36,111100
37,100110
38,111100
39,111111
40,100011
41,010110
42,111111
43,111111
44,101010
45,111111
46,111111
47,101001
48,100101
49,000011
50,100111
51,010111
52,111000
53,100010
54,111111
55,100101
56,111111
57,111111
58,011010
59,100010
60,111111
61,101001
62,000100
63,111100
64,110101
65,111100
66,100101
67,111100
68,001100
69,010011
70,101011
71,101011
72,101001
73,010101
74,110101
75,101010
76,011001
77,100010
78,110101
79,111111
80,101111
81,101010
82,110111
83,001100
84,110011
85,111011
86,110101
87,110101
88,111111
89,111111
90,111111
91,111100
92,100001
93,111111
94,111111
95,111111
96,111111
97,101101
98,101011
99,111111
100,011100
101,100001
102,111111
103,101001
104,111111
105,111111
106,111100
107,111001
108,111111
109,111100
110,110101
111,101011
112,000001
113,100011
114,100101
115,111100
116,111111
117,000010
118,100101
119,101111
120,001110
121,010101
122,100000
123,101000
124,111111
125,111111
126,111111
127,111111
128,101111
129,100101
130,111111
131,100011
132,110101
133,101000
134,010011
135,010011
136,111111
137,110101
138,111111
139,000110
140,111111
141,110101
142,111111
143,101010
144,101000
145,101010
146,111111
147,111111
148,000011
149,110101
150,111111
151,111111
152,111111
153,111111
154,111111
155,111111
156,111111
157,111111
158,100101
159,111100
160,111111
161,110101
162,111111
163,111111
164,111111
165,001111
166,010100
167,000101
168,111111
169,111111
170,011111
171,100010
172,110101
173,111111
174,100110
175,101010
176,100101
177,110101
178,110010
179,110101
180,111111
181,000011
182,110101
183,110101
184,111111
185,111111
186,111111
187,110001
188,100001
189,111111
190,111111
191,111111
192,111111
193,111111
194,101011
195,101011
196,111111
197,111111
198,111111
199,111111
200,111001
201,111111
202,111111
203,111111
204,111111
205,100101
206,100101
207,110101
208,111000
209,111111
210,111111
211,100011
212,111100
213,111111
214,111111
215,111000
216,111111
217,011110
218,111111
219,111100
220,111111
221,100101
222,110101
223,111111
224,010101
225,111111
226,100010
227,010000
228,101001
229,111111
230,111100
231,001010
232,110101
233,100001
234,111111
235,111001
236,111000
237,110011
238,111111
239,100101
240,110010
241,111111
242,111100
243,110101
244,101010
245,111111
246,011101
247,111111
248,111111
249,011100
250,101000
251,010100
252,111100
253,010110
254,111111
255,101011
256,111111
257,111111
258,111111
259,110101
260,101111
261,101000
262,101111
263,101011
264,100000
265,101010
266,111111
267,111111
268,110000
269,111100
270,111111
271,101000
272,110101
273,111111
274,110011
275,111111
276,111100
277,110101
278,111111
279,111111
280,111111
281,111111
282,111111
283,101111
284,111111
285,111111
286,001010
287,111111
288,111111
289,110101
290,111111
291,001100
292,110001
293,100110
294,101001
295,111111
296,001011
297,010011
298,100111
299,001111
300,111111
301,111111
302,111111
303,110101
304,111000
305,111111
306,111110
307,110000
308,101010
309,001011
310,100011
311,111100
312,000011
313,110101
314,101000
315,111111
316,110001
317,100000
318,111100
319,111111
320,100011
321,111010
322,111111
323,111111
324,110101
325,111111
326,101011
327,010001
328,110101
329,111100
330,111000
331,111100
332,111100
333,100000
334,010001
335,111111
336,111100
337,100010
338,101010
339,110101
340,111111
341,111111
342,000001
343,011111
344,111111
345,011010
346,111111
347,111011
348,111100
349,111011
350,111111
351,111111
352,101011
353,011100
354,111111
355,110001
356,111111
357,111100
358,111111
359,111111
360,111100
361,111111
362,111100
363,111111
364,101011
365,110111
366,111100
367,101010
368,111111
369,111111
370,111111
371,110011
372,100000
373,110000
374,111111
375,111111
376,111110
377,100000
378,111100
379,111100
380,100000
381,111001
382,110011
383,111111
384,111110
385,111111
386,111100
387,100011
388,110000
389,111111
390,101000
391,110001
392,101011
393,101011
394,111111
395,000101
396,111111
397,010010
398,110001
399,000111
400,111111
401,111000
402,110101
403,111111
404,100011
405,110101
406,010101
407,101010
408,001011
409,111111
410,111111
411,110001
412,100010
413,111111
414,100011
415,001010
416,101010
417,100000
418,101000
419,110000
420,100011
421,010111
422,110111
423,001001
424,101010
425,100011
426,001101
427,100000
428,110101
429,111111
430,101011
431,111111
432,111111
433,111111
434,111111
435,010111
436,010010
437,101001
438,111100
439,111111
440,111111
441,011111
442,001111
443,110111
444,111100
445,111111
446,011011
447,110101
448,111100
449,110101
450,100011
451,101011
452,101001
453,111111
454,010010
455,101001
456,111111
457,111100
458,111111
459,111111
460,111100
461,111100
462,101011
463,100010
464,110101
465,111100
466,110101
467,100001
468,111111
469,111100
470,110101
471,111100
472,111111
473,111111
474,111111
475,001101
476,111111
477,111100
478,111110
479,110011
480,111110
481,111111
482,101011
483,111010
484,111010
485,110010
486,100101
487,110101
488,101011
489,110101
490,101000
491,001111
492,111100
493,011111
494,111111
495,001011
496,110101
497,010110
498,000110
499,010101
500,100000
501,111100
502,101001
503,011010
504,101001
505,001110
506,011001
507,100001
508,100011
509,001001
510,011001
511,101001
512,101011
513,110101
514,100011
515,101010
516,100010
517,000110
518,110101
519,011100
520,110101
521,010010
522,001000
523,001011
524,011011
525,010100
526,001011
527,110000
528,111000
529,001111
530,001111
531,010010
532,000010
533,110101
534,010100
535,110101
536,111100
