person,profile
1,001111
2,111111
3,111100
4,110101
5,000001
6,010000
7,001010
8,001010
9,001000
10,000001
11,111100
12,110101
13,010001
14,000010
15,010010
16,001101
17,001000
18,001010
19,011000
20,000000
21,111111
22,110101
23,111111
24,000101
25,110101
26,000010
27,011000
28,000001
29,010000
30,111111
31,011111
32,111111
33,111111
34,011111
35,111111
36,111100
37,001101
38,111100
39,111111
40,011001
41,001000
42,111111
43,111111
44,001010
45,111111
46,111111
47,010011
48,001101
49,000010
50,010111
51,001001
52,110010
53,011011
54,111111
55,011101
56,111111
57,111111
58,000000
59,011010
60,111111
61,011010
62,000000
63,111100
64,111111
65,111100
66,000101
67,111100
68,000001
69,000011
70,001100
71,011011
72,011001
73,001001
74,110101
75,011001
76,000000
77,010000
78,110101
79,111111
80,011111
81,001010
82,111111
83,000011
84,111001
85,111100
86,110101
87,110101
88,111111
89,111111
90,111111
91,111100
92,000000
93,111111
94,111111
95,111111
96,111111
97,011101
98,001001
99,111111
100,000001
101,010001
102,111111
103,010010
104,111111
105,111111
106,111100
107,101001
108,111111
109,111100
110,110101
111,000011
112,001001
113,011100
114,000101
115,111100
116,111111
117,001010
118,011101
119,011111
120,001010
121,001010
122,011010
123,010011
124,111111
125,111111
126,111111
127,111111
128,011111
129,000101
130,111111
131,010000
132,110101
133,011010
134,001001
135,000011
136,111111
137,110101
138,111111
139,001010
140,111111
141,110101
142,111111
143,000011
144,001010
145,011000
146,111111
147,111111
148,001010
149,110101
150,111111
151,111111
152,111111
153,111111
154,111111
155,111111
156,111111
157,111111
158,000101
159,111100
160,111111
161,110101
162,111111
163,111111
164,111111
165,000000
166,001000
167,001000
168,111111
169,111111
170,000011
171,001101
172,110101
173,111111
174,011100
175,011001
176,011101
177,110101
178,111010
179,110101
180,111111
181,001010
182,110101
183,110101
184,111111
185,111111
186,111111
187,101000
188,010001
189,111111
190,111111
191,111111
192,111111
193,111111
194,001101
195,001000
196,111111
197,111111
198,111111
199,111111
200,101001
201,111111
202,111111
203,111111
204,111111
205,011101
206,011111
207,110101
208,100010
209,111111
210,111111
211,010011
212,111100
213,111111
214,111111
215,100010
216,111111
217,000001
218,111111
219,111100
220,111111
221,011101
222,110101
223,111111
224,000010
225,111111
226,011001
227,000010
228,001010
229,111111
230,111100
231,001000
232,110101
233,011000
234,111111
235,101000
236,101000
237,111100
238,111111
239,000101
240,110001
241,111111
242,111100
243,110101
244,011011
245,111111
246,001011
247,111111
248,111111
249,001011
250,010011
251,001000
252,111100
253,001011
254,111111
255,010011
256,111111
257,111111
258,111111
259,110101
260,011111
261,010011
262,011111
263,011100
264,000010
265,001000
266,111111
267,111111
268,111001
269,111100
270,111111
271,011010
272,110101
273,111111
274,101010
275,111111
276,111100
277,110101
278,111111
279,111111
280,111111
281,111111
282,111111
283,011111
284,111111
285,111111
286,101001
287,111111
288,111111
289,110101
290,111111
291,001010
292,111000
293,011100
294,010010
295,111111
296,001000
297,001010
298,010111
299,000000
300,111111
301,111111
302,111111
303,110101
304,100010
305,111111
306,111110
307,110010
308,011001
309,001001
310,010010
311,111100
312,001010
313,110101
314,010000
315,111111
316,111000
317,010010
318,111100
319,111111
320,011000
321,110010
322,111111
323,111111
324,110101
325,111111
326,011100
327,000001
328,110101
329,111100
330,110011
331,111100
332,111100
333,010010
334,001010
335,111111
336,111100
337,010001
338,010011
339,110101
340,111111
341,111111
342,001010
343,000000
344,111111
345,000001
346,111111
347,101010
348,111100
349,111011
350,111111
351,111111
352,010011
353,000011
354,111111
355,111010
356,111111
357,111100
358,111111
359,111111
360,111100
361,111111
362,111100
363,111111
364,011000
365,111111
366,111100
367,011000
368,111111
369,111111
370,111111
371,111001
372,011001
373,111100
374,111111
375,111111
376,111110
377,011000
378,111100
379,111100
380,010011
381,110001
382,111100
383,111111
384,111110
385,111111
386,111100
387,011001
388,111100
389,111111
390,011100
391,111100
392,011000
393,010010
394,111111
395,001011
396,111111
397,001011
398,111100
399,000000
400,111111
401,111100
402,110101
403,111111
404,011100
405,110101
406,001000
407,011011
408,001001
409,111111
410,111111
411,111100
412,010010
413,111111
414,001100
415,001011
416,010010
417,011010
418,011010
419,111100
420,010001
421,001001
422,111111
423,000011
424,011011
425,010010
426,000000
427,010010
428,110101
429,111111
430,011010
431,111111
432,111111
433,111111
434,111111
435,000000
436,000010
437,011011
438,111100
439,111111
440,111111
441,000010
442,000001
443,111111
444,111100
445,111111
446,001001
447,110101
448,111100
449,110101
450,010001
451,010001
452,011001
453,111111
454,001001
455,011100
456,111111
457,111100
458,111111
459,111111
460,111100
461,111100
462,010000
463,011010
464,110101
465,111100
466,111111
467,011000
468,111111
469,111100
470,110101
471,111100
472,111111
473,111111
474,111111
475,000011
476,111111
477,111100
478,111110
479,111100
480,111110
481,111111
482,010011
483,110011
484,111100
485,111100
486,011101
487,110101
488,010010
489,110101
490,011011
491,001001
492,111100
493,000010
494,111111
495,000001
496,110101
497,001000
498,000000
499,000001
500,011010
501,111100
502,011001
503,000010
504,011001
505,000001
506,001001
507,011000
508,010011
509,000011
510,001001
511,011011
512,011001
513,110101
514,010001
515,010000
516,010001
517,001001
518,110101
519,001000
520,110101
521,001011
522,001001
523,001010
524,001010
525,001001
526,001010
527,111100
528,111100
529,001000
530,000000
531,000001
532,000010
533,110101
534,001011
535,110101
536,111100
