person,profile
1,101111
2,111111
3,111000
4,011111
5,000111
6,001001
7,000100
8,000111
9,001001
10,000110
11,111001
12,111111
13,000100
14,000001
15,001001
16,001100
17,000000
18,001001
19,001001
20,000100
21,111111
22,011111
23,111111
24,001111
25,111010
26,000100
27,001001
28,000010
29,001001
30,111111
31,101111
32,111111
33,111111
34,101111
35,111111
36,111101
37,001100
38,111001
39,111111
40,001001
41,000011
42,111111
43,111111
44,000000
45,111111
46,111111
47,001001
48,001100
49,000100
50,101110
51,000111
52,011000
53,000000
54,111111
55,001110
56,111111
57,111111
58,000010
59,001001
60,111111
61,000100
62,000000
63,111001
64,111111
65,111001
66,001111
67,111001
68,000111
69,000110
70,101001
71,001001
72,001001
73,000001
74,111111
75,001001
76,000001
77,011001
78,011111
79,111111
80,101111
81,001001
82,111110
83,000000
84,011000
85,111001
86,111110
87,011111
88,111111
89,111111
90,111111
91,111000
92,001001
93,111111
94,111111
95,111111
96,111111
97,001110
98,001001
99,111111
100,000101
101,001001
102,111111
103,001001
104,111111
105,111111
106,011001
107,110111
108,111111
109,111001
110,111111
111,000001
112,000111
113,101000
114,001111
115,111111
116,111111
117,000111
118,001110
119,101111
120,000101
121,000011
122,001001
123,001001
124,111111
125,111111
126,111111
127,111111
128,101111
129,001111
130,111111
131,001001
132,011111
133,101001
134,000001
135,000011
136,111111
137,011110
138,111111
139,000101
140,111111
141,111010
142,111111
143,000111
144,000000
145,001001
146,111111
147,111111
148,000010
149,011111
150,111111
151,111111
152,111111
153,111111
154,111111
155,111111
156,111111
157,111111
158,001111
159,111000
160,111111
161,111111
162,111111
163,111111
164,111111
165,000101
166,000100
167,000100
168,111111
169,111111
170,000100
171,001100
172,011111
173,111111
174,101100
175,001001
176,001110
177,011110
178,011001
179,011111
180,111111
181,000101
182,111010
183,111010
184,111111
185,111111
186,111111
187,010110
188,001001
189,111111
190,111111
191,111111
192,111111
193,111111
194,001100
195,001001
196,111111
197,111111
198,111111
199,111111
200,010111
201,111111
202,111111
203,111111
204,111111
205,001110
206,101111
207,111110
208,110010
209,111111
210,111111
211,001001
212,111001
213,111111
214,111111
215,010000
216,111111
217,000101
218,111111
219,111000
220,111111
221,101110
222,111111
223,111111
224,000111
225,111111
226,001011
227,000000
228,001001
229,111111
230,111001
231,000001
232,111010
233,001001
234,111111
235,010011
236,110001
237,111000
238,111111
239,001111
240,010001
241,111111
242,111100
243,011111
244,001001
245,111111
246,000101
247,111111
248,111111
249,000010
250,001001
251,000110
252,111001
253,000111
254,111111
255,001001
256,111111
257,111111
258,111111
259,011110
260,101111
261,001001
262,101111
263,001001
264,000110
265,001001
266,111111
267,111111
268,110100
269,111000
270,111111
271,001001
272,011111
273,111111
274,010101
275,111111
276,111001
277,111111
278,111111
279,111111
280,111111
281,111111
282,111111
283,101111
284,111111
285,111111
286,010000
287,111111
288,111111
289,011111
290,111111
291,000010
292,011001
293,101001
294,001001
295,111111
296,000111
297,000111
298,101110
299,000010
300,111111
301,111111
302,111111
303,111010
304,110101
305,111111
306,111101
307,011001
308,001001
309,000011
310,001001
311,111001
312,000000
313,111110
314,011001
315,111111
316,111000
317,001001
318,111111
319,111111
320,001001
321,111001
322,111111
323,111111
324,111110
325,111111
326,001001
327,000101
328,111111
329,111001
330,011001
331,011001
332,111000
333,001001
334,000101
335,111111
336,111000
337,001001
338,001001
339,111010
340,111111
341,111111
342,000010
343,000110
344,111111
345,000110
346,111111
347,110001
348,111001
349,011000
350,111111
351,111111
352,001001
353,000110
354,111111
355,111000
356,111111
357,111001
358,111111
359,111111
360,111001
361,111111
362,111000
363,111111
364,001001
365,111110
366,111001
367,001001
368,111111
369,111111
370,111111
371,011000
372,001001
373,011000
374,111111
375,111111
376,111111
377,001001
378,011001
379,111001
380,001001
381,011000
382,011001
383,111111
384,111101
385,111111
386,011000
387,001001
388,111001
389,111111
390,001001
391,011001
392,001001
393,001001
394,111111
395,000111
396,111111
397,000100
398,111001
399,000010
400,111111
401,111000
402,011111
403,111111
404,101001
405,011111
406,000010
407,101001
408,000101
409,111111
410,111111
411,011001
412,001001
413,111111
414,001001
415,000011
416,001001
417,001001
418,001001
419,111001
420,001011
421,000111
422,111110
423,000100
424,001001
425,001001
426,000111
427,011001
428,011111
429,111111
430,001001
431,111111
432,111111
433,111111
434,111111
435,000111
436,000011
437,001001
438,111000
439,111111
440,111111
441,000101
442,000010
443,111110
444,111001
445,111111
446,000100
447,011111
448,111000
449,111010
450,001001
451,001001
452,101001
453,111111
454,000001
455,001001
456,111111
457,011001
458,111111
459,111111
460,111001
461,111001
462,001001
463,001001
464,111111
465,111001
466,111111
467,001001
468,111111
469,111001
470,111111
471,111001
472,111111
473,111111
474,111111
475,000000
476,111111
477,111001
478,111111
479,011001
480,111101
481,111111
482,001001
483,111000
484,111001
485,111001
486,001110
487,011111
488,001001
489,111111
490,011001
491,000110
492,111000
493,000100
494,111111
495,000101
496,111111
497,000101
498,000011
499,000001
500,001001
501,111001
502,001001
503,000101
504,001001
505,000011
506,000110
507,001001
508,001001
509,000111
510,000011
511,001001
512,001001
513,111111
514,001001
515,001001
516,001001
517,000001
518,111010
519,000110
520,111010
521,000101
522,000011
523,000100
524,000001
525,000101
526,000111
527,111000
528,111000
529,000111
530,000110
531,000011
532,000101
533,111111
534,000010
535,111111
536,111001
