person,profile
1,011111
2,111111
3,110011
4,111110
5,011101
6,010000
7,001001
8,000100
9,010000
10,001010
11,111010
12,111110
13,011000
14,001001
15,010101
16,010100
17,101000
18,011000
19,010101
20,100100
21,111111
22,111110
23,111111
24,010110
25,111110
26,001010
27,011100
28,100100
29,010100
30,111111
31,011111
32,111111
33,111111
34,011111
35,111111
36,111010
37,010110
38,111010
39,111111
40,010101
41,001111
42,111111
43,111110
44,010001
45,111111
46,111111
47,011100
48,011001
49,001111
50,010111
51,101010
52,110101
53,010000
54,111111
55,010110
56,111111
57,111111
58,000100
59,010101
60,111111
61,010001
62,001001
63,111010
64,111110
65,111011
66,010110
67,111010
68,101100
69,000010
70,011011
71,011001
72,010000
73,001101
74,111110
75,010001
76,001111
77,011101
78,110110
79,111111
80,011111
81,010000
82,111111
83,001110
84,110000
85,111011
86,110110
87,111110
88,111111
89,111111
90,111111
91,110011
92,010100
93,111110
94,111111
95,111111
96,111111
97,010001
98,011001
99,111111
100,100011
101,011100
102,111111
103,010100
104,111111
105,111110
106,111010
107,111100
108,111111
109,111011
110,111110
111,010100
112,100101
113,111011
114,010110
115,111111
116,111111
117,000101
118,010110
119,011111
120,000011
121,100110
122,011100
123,011001
124,111111
125,111111
126,111111
127,111111
128,011111
129,010110
130,111111
131,011001
132,111110
133,010100
134,000110
135,101010
136,111111
137,110110
138,111111
139,101001
140,111111
141,111010
142,111111
143,010000
144,011000
145,010101
146,111111
147,111111
148,101001
149,111110
150,111111
151,111111
152,111111
153,111111
154,111111
155,111111
156,111111
157,111111
158,010110
159,110011
160,111110
161,111110
162,111111
163,111111
164,111111
165,001010
166,100110
167,000111
168,111111
169,111111
170,101111
171,010000
172,111110
173,111111
174,010110
175,011001
176,010110
177,110110
178,110100
179,111110
180,111111
181,100101
182,111110
183,110110
184,111111
185,111111
186,111111
187,110100
188,011101
189,111111
190,111111
191,111111
192,111111
193,111111
194,010101
195,011000
196,111111
197,111111
198,111111
199,111111
200,111100
201,111111
202,111111
203,111111
204,111111
205,010110
206,011110
207,110110
208,110001
209,111111
210,111111
211,011000
212,111011
213,111111
214,111111
215,110101
216,111111
217,100101
218,111111
219,111010
220,111111
221,010110
222,110110
223,111111
224,100000
225,111110
226,010101
227,100001
228,010100
229,111111
230,111010
231,100101
232,110110
233,011000
234,111111
235,110101
236,111100
237,110011
238,111111
239,010110
240,110001
241,111110
242,110110
243,110110
244,010100
245,111111
246,100100
247,111111
248,111110
249,100101
250,010100
251,001101
252,111010
253,000001
254,111111
255,010101
256,111111
257,111111
258,111111
259,110110
260,011110
261,011000
262,011111
263,011000
264,011101
265,011101
266,111110
267,111111
268,110001
269,110010
270,111111
271,010000
272,110110
273,111111
274,110100
275,111111
276,111010
277,111110
278,111111
279,111111
280,111111
281,111110
282,111111
283,011111
284,111111
285,111111
286,110101
287,111111
288,111110
289,111110
290,111111
291,001000
292,111000
293,011010
294,010101
295,111111
296,101110
297,101101
298,010111
299,101101
300,111111
301,111111
302,111111
303,110110
304,110101
305,111111
306,111110
307,110101
308,010101
309,000100
310,010101
311,111011
312,100011
313,110110
314,010001
315,111111
316,110001
317,011101
318,111011
319,111111
320,010000
321,110000
322,111111
323,111111
324,110110
325,111110
326,010100
327,100101
328,111110
329,111011
330,110000
331,010000
332,110010
333,010100
334,001001
335,111111
336,111000
337,011101
338,010000
339,110110
340,111111
341,111111
342,101111
343,101101
344,111111
345,100111
346,111111
347,111100
348,111010
349,110100
350,111111
351,111111
352,011101
353,100111
354,111111
355,111100
356,111111
357,111011
358,111111
359,111111
360,111011
361,111111
362,111011
363,111110
364,011001
365,111111
366,111011
367,011101
368,111111
369,111111
370,111111
371,111101
372,010101
373,111101
374,111110
375,111110
376,111110
377,011000
378,111011
379,111011
380,010001
381,111101
382,110001
383,111111
384,111110
385,111111
386,111010
387,010001
388,110000
389,111111
390,010001
391,110100
392,010101
393,011001
394,111111
395,101110
396,111111
397,100011
398,111001
399,000111
400,111111
401,110010
402,111110
403,111111
404,011010
405,111110
406,000001
407,011001
408,100001
409,111111
410,111111
411,110000
412,010100
413,111111
414,011101
415,001100
416,010000
417,010001
418,010000
419,111000
420,011101
421,101100
422,111111
423,001101
424,011100
425,010001
426,101110
427,011101
428,111110
429,111110
430,010101
431,111111
432,110110
433,110110
434,111110
435,101100
436,000101
437,011101
438,110010
439,111110
440,111110
441,101110
442,101110
443,111111
444,111011
445,111111
446,100011
447,111110
448,110011
449,110100
450,010101
451,010000
452,011100
453,111111
454,101111
455,010101
456,111111
457,111010
458,111111
459,111111
460,111010
461,111010
462,011101
463,010100
464,111110
465,111011
466,111110
467,010101
468,111111
469,111010
470,111110
471,111010
472,111110
473,111111
474,111111
475,101110
476,111110
477,111011
478,111110
479,111001
480,111110
481,111110
482,011000
483,111101
484,111000
485,110001
486,010110
487,111110
488,010001
489,111110
490,011000
491,101001
492,111010
493,000101
494,111111
495,101101
496,111110
497,000010
498,001010
499,101010
500,010001
501,111010
502,010001
503,000100
504,011000
505,000001
506,001010
507,010000
508,010001
509,101101
510,100000
511,010000
512,011101
513,111110
514,010100
515,010101
516,011100
517,000000
518,110101
519,100101
520,111110
521,101111
522,100110
523,101101
524,100101
525,100011
526,100010
527,110010
528,110010
529,000010
530,100001
531,000111
532,000101
533,111110
534,100100
535,110110
536,111010
