person,profile
1,101111
2,111111
3,111100
4,110011
5,100101
6,100000
7,001001
8,000100
9,101000
10,001001
11,110110
12,110011
13,101100
14,011000
15,100001
16,101101
17,001000
18,101100
19,100000
20,011000
21,111111
22,110011
23,111111
24,100011
25,110011
26,010010
27,100000
28,000100
29,101100
30,111111
31,101111
32,111111
33,111111
34,101111
35,111111
36,110110
37,101010
38,110110
39,111111
40,101101
41,000000
42,111111
43,111111
44,100101
45,111111
46,111111
47,100101
48,100011
49,010011
50,101011
51,011101
52,110001
53,100001
54,111111
55,100011
56,111111
57,111111
58,010101
59,100000
60,111111
61,101001
62,010010
63,110110
64,110011
65,110110
66,100011
67,110110
68,010101
69,010011
70,100001
71,100100
72,101100
73,000111
74,110011
75,101101
76,011001
77,100001
78,110011
79,111111
80,101111
81,101100
82,111011
83,001101
84,111101
85,111101
86,110011
87,110011
88,111111
89,111111
90,111111
91,110110
92,100100
93,111111
94,111111
95,111111
96,111111
97,100111
98,100101
99,111111
100,011111
101,101001
102,111111
103,101001
104,111111
105,111111
106,110110
107,110101
108,111111
109,110110
110,110011
111,100100
112,011001
113,101100
114,100011
115,110110
116,111111
117,011100
118,100011
119,101111
120,010000
121,010010
122,100101
123,100100
124,111111
125,111111
126,111111
127,111111
128,101111
129,100011
130,111111
131,101001
132,110011
133,101101
134,010001
135,001111
136,111111
137,110011
138,111111
139,001101
140,111111
141,110011
142,111111
143,101001
144,101001
145,101100
146,111111
147,111111
148,001110
149,110011
150,111111
151,111111
152,111111
153,111111
154,111111
155,111111
156,111111
157,111111
158,100011
159,110110
160,111111
161,110011
162,111111
163,111111
164,111111
165,001100
166,000010
167,010000
168,111111
169,111111
170,010110
171,100001
172,110011
173,111111
174,101010
175,101001
176,100011
177,110011
178,110101
179,110011
180,111111
181,000011
182,110011
183,110011
184,111111
185,111111
186,111111
187,111001
188,101100
189,111111
190,111111
191,111111
192,111111
193,111111
194,101101
195,100001
196,111111
197,111111
198,111111
199,111111
200,111101
201,111111
202,111111
203,111111
204,111111
205,100011
206,100011
207,110011
208,111000
209,111111
210,111111
211,100101
212,110110
213,111111
214,111111
215,110000
216,111111
217,011010
218,111111
219,110110
220,111111
221,100011
222,110011
223,111111
224,011010
225,111111
226,100001
227,011110
228,101101
229,111111
230,110110
231,001010
232,110011
233,101100
234,111111
235,110000
236,110101
237,111000
238,111111
239,100011
240,111001
241,111111
242,110110
243,110011
244,101100
245,111111
246,011011
247,111111
248,111111
249,000101
250,101000
251,011010
252,110110
253,010000
254,111111
255,101100
256,111111
257,111111
258,111111
259,110011
260,101111
261,101001
262,101111
263,100001
264,100101
265,101101
266,111111
267,111111
268,111101
269,110110
270,111111
271,101001
272,110011
273,111111
274,111000
275,111111
276,110110
277,110011
278,111111
279,111111
280,111111
281,111111
282,111111
283,101111
284,111111
285,111111
286,000111
287,111111
288,111111
289,110011
290,111111
291,000110
292,111001
293,101010
294,100101
295,111111
296,001100
297,000000
298,101011
299,011011
300,111111
301,111111
302,111111
303,110011
304,110101
305,111111
306,111110
307,110001
308,100001
309,000010
310,101000
311,110110
312,001010
313,110011
314,101101
315,111111
316,111000
317,100001
318,110110
319,111111
320,101100
321,111001
322,111111
323,111111
324,110011
325,111111
326,100000
327,000010
328,110011
329,110110
330,111100
331,110110
332,110110
333,101101
334,001111
335,111111
336,110110
337,101000
338,100000
339,110011
340,111111
341,111111
342,001110
343,001010
344,111111
345,011001
346,111111
347,110001
348,110110
349,110000
350,111111
351,111111
352,101101
353,000001
354,111111
355,111101
356,111111
357,110110
358,111111
359,111111
360,110110
361,111111
362,110110
363,111111
364,101101
365,111011
366,110110
367,100100
368,111111
369,111111
370,111111
371,110101
372,100100
373,110101
374,111111
375,111111
376,111110
377,100000
378,110110
379,110110
380,101001
381,111100
382,111001
383,111111
384,111110
385,111111
386,110110
387,101001
388,110000
389,111111
390,100000
391,111000
392,101001
393,100001
394,111111
395,001011
396,111111
397,011110
398,111101
399,011011
400,111111
401,110100
402,110011
403,111111
404,101100
405,110011
406,000111
407,101000
408,000110
409,111111
410,111111
411,111001
412,100100
413,111111
414,100001
415,011000
416,100101
417,101101
418,101101
419,110000
420,101101
421,011010
422,111011
423,010110
424,101101
425,101001
426,010100
427,101101
428,110011
429,111111
430,101100
431,111111
432,111111
433,111111
434,111111
435,000010
436,001100
437,100000
438,110110
439,111111
440,111111
441,010101
442,011011
443,111011
444,110110
445,111111
446,010110
447,110011
448,110110
449,110011
450,100101
451,100001
452,101001
453,111111
454,001110
455,101101
456,111111
457,110110
458,111111
459,111111
460,110110
461,110110
462,101000
463,101001
464,110011
465,110110
466,110011
467,101001
468,111111
469,110110
470,110011
471,110110
472,111111
473,111111
474,111111
475,011010
476,111111
477,110110
478,111110
479,111101
480,111110
481,111111
482,101100
483,110001
484,110000
485,111101
486,100011
487,110011
488,101001
489,110011
490,100100
491,010011
492,110110
493,001011
494,111111
495,011101
496,110011
497,001101
498,000100
499,010111
500,101101
501,110110
502,100101
503,001100
504,101100
505,000101
506,010101
507,100001
508,100000
509,010110
510,010111
511,101001
512,101000
513,110011
514,101000
515,101101
516,101000
517,000011
518,110011
519,000011
520,110011
521,010001
522,000110
523,000001
524,000010
525,001001
526,000010
527,110001
528,110100
529,000100
530,000001
531,010110
532,011111
533,110011
534,010110
535,110011
536,110110
