person,profile
1,101111
2,111111
3,110111
4,111010
5,100100
6,100111
7,010101
8,000000
9,100001
10,010101
11,111001
12,111010
13,100000
14,000100
15,100000
16,100110
17,010010
18,100000
19,100101
20,001000
21,111111
22,111010
23,111111
24,101010
25,111010
26,000011
27,100100
28,010001
29,100001
30,111111
31,101111
32,111111
33,111111
34,101111
35,111111
36,111001
37,101100
38,111001
39,111111
40,100011
41,000000
42,111111
43,111111
44,100001
45,111111
46,111111
47,100000
48,101010
49,010110
50,101110
51,010100
52,110110
53,100011
54,111111
55,101010
56,111111
57,111111
58,001110
59,100101
60,111111
61,100111
62,011110
63,111001
64,111010
65,111001
66,101010
67,111001
68,011100
69,001001
70,100010
71,100101
72,100001
73,001111
74,111010
75,100001
76,000011
77,100010
78,111010
79,111111
80,101111
81,100110
82,111110
83,001101
84,110100
85,110010
86,111010
87,111010
88,111111
89,111111
90,111111
91,111001
92,100110
93,111111
94,111111
95,111111
96,111111
97,101011
98,100111
99,111111
100,001101
101,100111
102,111111
103,100111
104,111111
105,111111
106,111001
107,110110
108,111111
109,111001
110,111010
111,100101
112,011010
113,100011
114,101010
115,111001
116,111111
117,001100
118,101010
119,101111
120,011010
121,011100
122,100011
123,100101
124,111111
125,111111
126,111111
127,111111
128,101111
129,101010
130,111111
131,100010
132,111010
133,100100
134,001100
135,001101
136,111111
137,111010
138,111111
139,010011
140,111111
141,111010
142,111111
143,100000
144,100110
145,100011
146,111111
147,111111
148,010101
149,111010
150,111111
151,111111
152,111111
153,111111
154,111111
155,111111
156,111111
157,111111
158,101010
159,111001
160,111111
161,111010
162,111111
163,111111
164,111111
165,011111
166,001010
167,001000
168,111111
169,111111
170,011111
171,100000
172,111010
173,111111
174,101100
175,100111
176,101010
177,111010
178,110111
179,111010
180,111111
181,001011
182,111010
183,111010
184,111111
185,111111
186,111111
187,110001
188,100101
189,111111
190,111111
191,111111
192,111111
193,111111
194,100110
195,100011
196,111111
197,111111
198,111111
199,111111
200,110100
201,111111
202,111111
203,111111
204,111111
205,101010
206,101010
207,111010
208,110101
209,111111
210,111111
211,100110
212,111001
213,111111
214,111111
215,110001
216,111111
217,010010
218,111111
219,111001
220,111111
221,101010
222,111010
223,111111
224,000111
225,111111
226,100110
227,010001
228,100011
229,111111
230,111001
231,001101
232,111010
233,100100
234,111111
235,110111
236,110101
237,110110
238,111111
239,101010
240,110110
241,111111
242,111001
243,111010
244,100000
245,111111
246,001110
247,111111
248,111111
249,000001
250,100011
251,010101
252,111001
253,011010
254,111111
255,100111
256,111111
257,111111
258,111111
259,111010
260,101111
261,100011
262,101111
263,100001
264,100111
265,100001
266,111111
267,111111
268,110000
269,111001
270,111111
271,100011
272,111010
273,111111
274,110010
275,111111
276,111001
277,111010
278,111111
279,111111
280,111111
281,111111
282,111111
283,101111
284,111111
285,111111
286,011110
287,111111
288,111111
289,111010
290,111111
291,001001
292,110111
293,101100
294,100001
295,111111
296,000101
297,001011
298,101110
299,001100
300,111111
301,111111
302,111111
303,111010
304,110011
305,111111
306,111101
307,110101
308,100100
309,000011
310,100010
311,111001
312,011000
313,111010
314,100100
315,111111
316,110111
317,100011
318,111001
319,111111
320,100100
321,110001
322,111111
323,111111
324,111010
325,111111
326,100001
327,010011
328,111010
329,111001
330,110100
331,111001
332,111001
333,100111
334,010001
335,111111
336,111001
337,100000
338,100101
339,111010
340,111111
341,111111
342,011001
343,011100
344,111111
345,010000
346,111111
347,110110
348,111001
349,110100
350,111111
351,111111
352,100000
353,010010
354,111111
355,110011
356,111111
357,111001
358,111111
359,111111
360,111001
361,111111
362,111001
363,111111
364,100111
365,111110
366,111001
367,100101
368,111111
369,111111
370,111111
371,110100
372,100001
373,110111
374,111111
375,111111
376,111101
377,100010
378,111001
379,111001
380,100111
381,110010
382,110101
383,111111
384,111101
385,111111
386,111001
387,100010
388,110011
389,111111
390,100110
391,110011
392,100011
393,100111
394,111111
395,000100
396,111111
397,000111
398,110000
399,010100
400,111111
401,110101
402,111010
403,111111
404,100111
405,111010
406,010010
407,100000
408,001100
409,111111
410,111111
411,110101
412,100001
413,111111
414,100101
415,000000
416,100011
417,100010
418,100101
419,110011
420,100010
421,011001
422,111110
423,011101
424,100011
425,100100
426,000110
427,100101
428,111010
429,111111
430,100110
431,111111
432,111111
433,111111
434,111111
435,010100
436,001010
437,100101
438,111001
439,111111
440,111111
441,001100
442,010111
443,111110
444,111001
445,111111
446,011001
447,111010
448,111001
449,111010
450,100101
451,100010
452,100101
453,111111
454,010010
455,100101
456,111111
457,111001
458,111111
459,111111
460,111001
461,111001
462,100111
463,100101
464,111010
465,111001
466,111010
467,100011
468,111111
469,111001
470,111010
471,111001
472,111111
473,111111
474,111111
475,000110
476,111111
477,111001
478,111101
479,110100
480,111101
481,111111
482,100111
483,110001
484,110100
485,110011
486,101010
487,111010
488,100101
489,111010
490,100100
491,011000
492,111001
493,000010
494,111111
495,001100
496,111010
497,001101
498,000110
499,011111
500,100000
501,111001
502,100111
503,011010
504,100001
505,011011
506,001100
507,100010
508,100110
509,011000
510,000110
511,100100
512,100011
513,111010
514,100000
515,100110
516,100010
517,011110
518,111010
519,000111
520,111010
521,001111
522,011000
523,000101
524,011000
525,000101
526,011010
527,110011
528,110101
529,010000
530,010001
531,011100
532,011011
533,111010
534,000110
535,111010
536,111001
