person,profile
1,011111
2,111111
3,110011
4,111011
5,010110
6,010001
7,001110
8,100000
9,010101
10,010000
11,111000
12,111011
13,010000
14,000011
15,010000
16,010000
17,010010
18,010101
19,010101
20,100100
21,111111
22,111011
23,111111
24,011001
25,111011
26,001000
27,010100
28,000000
29,010101
30,111111
31,111111
32,111111
33,111111
34,011111
35,111111
36,111000
37,011011
38,111000
39,111111
40,010101
41,000110
42,111111
43,111111
44,010001
45,111111
46,111111
47,010000
48,011001
49,000100
50,011111
51,000100
52,110001
53,010001
54,111111
55,011011
56,111111
57,111111
58,000000
59,010100
60,111101
61,010101
62,000101
63,111000
64,111011
65,111000
66,011011
67,111000
68,101110
69,101001
70,011000
71,010001
72,010101
73,101110
74,111000
75,010100
76,000000
77,010100
78,111101
79,111111
80,011111
81,010111
82,111111
83,001000
84,110001
85,110001
86,111111
87,111011
88,111111
89,111111
90,111111
91,111000
92,010000
93,111111
94,111111
95,111111
96,111111
97,011001
98,010000
99,111111
100,000011
101,010001
102,111101
103,010001
104,111111
105,111111
106,111000
107,110011
108,111111
109,111000
110,111011
111,010101
112,000110
113,011000
114,011001
115,111000
116,111111
117,001010
118,011011
119,011111
120,101101
121,100111
122,010101
123,010101
124,111111
125,111101
126,111111
127,111111
128,011111
129,011011
130,111111
131,010101
132,111011
133,010001
134,001000
135,001011
136,111111
137,111001
138,111111
139,101010
140,111111
141,111011
142,111111
143,010100
144,010100
145,010100
146,111111
147,111111
148,000101
149,111011
150,111111
151,111111
152,111111
153,111101
154,111101
155,111111
156,111111
157,111111
158,011011
159,111000
160,111111
161,111011
162,111111
163,111111
164,111111
165,100111
166,101000
167,001010
168,111111
169,111111
170,001010
171,010001
172,111011
173,111111
174,011010
175,010001
176,011011
177,111011
178,110000
179,111011
180,111111
181,001100
182,111011
183,110111
184,111101
185,111111
186,111111
187,110000
188,010000
189,111111
190,111111
191,111111
192,111111
193,111101
194,010100
195,010100
196,111111
197,111111
198,111111
199,111111
200,110001
201,111111
202,111111
203,111101
204,111111
205,011011
206,011001
207,111011
208,110011
209,111111
210,111111
211,010011
212,111000
213,111111
214,111111
215,110101
216,111111
217,100100
218,111111
219,111000
220,111111
221,011011
222,111101
223,111111
224,001110
225,111111
226,010110
227,101100
228,010001
229,111111
230,111000
231,100111
232,111011
233,010100
234,111111
235,110001
236,110110
237,111000
238,111111
239,011011
240,110001
241,111111
242,111000
243,111011
244,010101
245,111111
246,001111
247,111111
248,111111
249,100110
250,010001
251,001101
252,111000
253,000011
254,111111
255,010100
256,111111
257,111111
258,111111
259,111011
260,011101
261,010100
262,011111
263,010100
264,010001
265,010100
266,111111
267,111111
268,110011
269,111000
270,111111
271,010001
272,111011
273,111111
274,110011
275,111111
276,111000
277,111011
278,111111
279,111111
280,111111
281,111111
282,111111
283,011111
284,111111
285,111101
286,110110
287,111111
288,111111
289,111011
290,111111
291,000011
292,110100
293,011000
294,010000
295,111111
296,101111
297,101010
298,011101
299,001010
300,111111
301,111111
302,111111
303,111011
304,110001
305,111111
306,111100
307,110000
308,010101
309,100101
310,010000
311,111000
312,100011
313,111011
314,010101
315,111111
316,110000
317,010001
318,111000
319,111111
320,010000
321,110001
322,111111
323,111111
324,111011
325,111111
326,010100
327,100000
328,111011
329,111000
330,110000
331,010101
332,111000
333,010100
334,100001
335,111111
336,111000
337,010100
338,010000
339,111011
340,111111
341,111111
342,000111
343,101011
344,111111
345,001101
346,111111
347,110000
348,111000
349,110011
350,111111
351,111101
352,010000
353,001001
354,111111
355,110101
356,111111
357,111000
358,111111
359,111111
360,111000
361,111111
362,111000
363,111111
364,010001
365,111111
366,111000
367,010101
368,111111
369,111111
370,111111
371,110001
372,010001
373,111000
374,111111
375,111101
376,111110
377,010001
378,111000
379,111000
380,010101
381,110000
382,110001
383,111111
384,111110
385,111111
386,111000
387,010101
388,110000
389,111111
390,010000
391,110100
392,010001
393,010100
394,111111
395,000001
396,111111
397,101000
398,110001
399,101110
400,111111
401,111000
402,111011
403,111111
404,010111
405,111011
406,100100
407,010000
408,000000
409,111111
410,111100
411,110001
412,010101
413,111101
414,010101
415,001011
416,010101
417,010101
418,010111
419,110100
420,010011
421,001000
422,111111
423,000111
424,010101
425,010001
426,101001
427,010000
428,111011
429,111111
430,010111
431,111111
432,111111
433,111111
434,111111
435,001111
436,100010
437,010100
438,111000
439,111111
440,111111
441,000001
442,000111
443,111111
444,111000
445,111111
446,000100
447,111011
448,111000
449,110111
450,010001
451,010000
452,010101
453,111111
454,100110
455,010101
456,111111
457,111000
458,111111
459,111111
460,111000
461,111000
462,010101
463,010011
464,111011
465,111000
466,111011
467,010101
468,111111
469,111000
470,111011
471,111000
472,111111
473,111101
474,111101
475,100010
476,111111
477,111000
478,111110
479,110100
480,111100
481,111111
482,010011
483,110111
484,110000
485,110000
486,011011
487,111011
488,010101
489,111011
490,010100
491,100100
492,111000
493,001011
494,111111
495,100111
496,111011
497,101011
498,100101
499,100101
500,010101
501,111000
502,010001
503,001100
504,010001
505,000111
506,101011
507,010101
508,010001
509,001100
510,100111
511,010001
512,010100
513,111011
514,010001
515,010001
516,010001
517,010001
518,110010
519,000101
520,111011
521,000101
522,001110
523,000111
524,100011
525,101110
526,000010
527,110111
528,110111
529,100010
530,001000
531,100110
532,101111
533,111011
534,101010
535,111011
536,111000
