person,profile
1,011111
2,111111
3,110001
4,110101
5,011010
6,011011
7,100001
8,000000
9,010011
10,000111
11,111100
12,110101
13,011000
14,001001
15,010011
16,010010
17,101000
18,011000
19,010011
20,100100
21,111111
22,110101
23,111111
24,010101
25,110101
26,100001
27,010001
28,000110
29,010001
30,111111
31,011111
32,111111
33,111111
34,011111
35,111111
36,111100
37,010110
38,111100
39,111111
40,011000
41,100110
42,111111
43,111111
44,011001
45,111111
46,111111
47,010010
48,010101
49,101110
50,010111
51,100111
52,110011
53,010001
54,111111
55,010101
56,111111
57,111111
58,000000
59,011001
60,111111
61,011011
62,100001
63,111100
64,110101
65,111100
66,010101
67,111100
68,001111
69,101001
70,010010
71,011010
72,011011
73,000111
74,110101
75,011000
76,100010
77,010011
78,110101
79,111111
80,011111
81,010011
82,110111
83,101001
84,111010
85,110001
86,110101
87,110101
88,111111
89,111111
90,111111
91,111100
92,011010
93,111111
94,111111
95,111111
96,111111
97,011101
98,010011
99,111111
100,001000
101,011000
102,111111
103,010001
104,111111
105,111111
106,111100
107,110001
108,111111
109,111100
110,110101
111,011010
112,001111
113,010011
114,010101
115,111100
116,111111
117,000001
118,010101
119,011111
120,001111
121,001111
122,011001
123,011001
124,111111
125,111111
126,111111
127,111111
128,011111
129,010101
130,111111
131,010001
132,110101
133,011000
134,001101
135,100011
136,111111
137,110101
138,111111
139,000011
140,111111
141,110101
142,111111
143,011010
144,010000
145,010011
146,111111
147,111111
148,000011
149,110101
150,111111
151,111111
152,111111
153,111111
154,111111
155,111111
156,111111
157,111111
158,010101
159,111100
160,111111
161,110101
162,111111
163,111111
164,111111
165,100101
166,100101
167,001010
168,111111
169,111111
170,000011
171,011011
172,110101
173,111111
174,010110
175,011000
176,010101
177,110101
178,110000
179,110101
180,111111
181,001110
182,110101
183,110101
184,111111
185,111111
186,111111
187,111000
188,010011
189,111111
190,111111
191,111111
192,111111
193,111111
194,011011
195,011010
196,111111
197,111111
198,111111
199,111111
200,111011
201,111111
202,111111
203,111111
204,111111
205,010101
206,010101
207,110101
208,110001
209,111111
210,111111
211,011000
212,111100
213,111111
214,111111
215,111010
216,111111
217,000011
218,111111
219,111100
220,111111
221,010101
222,110101
223,111111
224,101011
225,111111
226,010011
227,101011
228,010010
229,111111
230,111100
231,100111
232,110101
233,010011
234,111111
235,110001
236,110011
237,110010
238,111111
239,010101
240,111000
241,111111
242,111100
243,110101
244,011000
245,111111
246,101101
247,111111
248,111111
249,000101
250,010000
251,001010
252,111100
253,100001
254,111111
255,011011
256,111111
257,111111
258,111111
259,110101
260,011111
261,010000
262,011111
263,011010
264,011010
265,010011
266,111111
267,111111
268,111001
269,111100
270,111111
271,010010
272,110101
273,111111
274,110000
275,111111
276,111100
277,110101
278,111111
279,111111
280,111111
281,111111
282,111111
283,011111
284,111111
285,111111
286,001011
287,111111
288,111111
289,110101
290,111111
291,000000
292,111000
293,010110
294,010011
295,111111
296,101110
297,101000
298,010111
299,101001
300,111111
301,111111
302,111111
303,110101
304,110010
305,111111
306,111110
307,110011
308,010011
309,100000
310,010010
311,111100
312,000110
313,110101
314,011001
315,111111
316,111011
317,010001
318,111100
319,111111
320,010011
321,110010
322,111111
323,111111
324,110101
325,111111
326,011010
327,101000
328,110101
329,111100
330,111001
331,111100
332,111100
333,010000
334,000110
335,111111
336,111100
337,011001
338,010011
339,110101
340,111111
341,111111
342,001111
343,100100
344,111111
345,001001
346,111111
347,110010
348,111100
349,110011
350,111111
351,111111
352,011011
353,101111
354,111111
355,110000
356,111111
357,111100
358,111111
359,111111
360,111100
361,111111
362,111100
363,111111
364,011001
365,110111
366,111100
367,011010
368,111111
369,111111
370,111111
371,110000
372,011011
373,110011
374,111111
375,111111
376,111110
377,011010
378,111100
379,111100
380,010010
381,110010
382,111000
383,111111
384,111110
385,111111
386,111100
387,010010
388,111001
389,111111
390,010011
391,111011
392,011001
393,011010
394,111111
395,100101
396,111111
397,001010
398,111011
399,101010
400,111111
401,111001
402,110101
403,111111
404,011001
405,110101
406,100111
407,011010
408,001011
409,111111
410,111111
411,110001
412,011011
413,111111
414,011001
415,101110
416,010001
417,010011
418,010011
419,111011
420,010011
421,100100
422,110111
423,100000
424,010000
425,011011
426,000101
427,010000
428,110101
429,111111
430,011010
431,111111
432,111111
433,111111
434,111111
435,000110
436,101111
437,010000
438,111100
439,111111
440,111111
441,000101
442,100011
443,110111
444,111100
445,111111
446,100101
447,110101
448,111100
449,110101
450,010010
451,010001
452,011001
453,111111
454,001001
455,010011
456,111111
457,111100
458,111111
459,111111
460,111100
461,111100
462,010000
463,011010
464,110101
465,111100
466,110101
467,010011
468,111111
469,111100
470,110101
471,111100
472,111111
473,111111
474,111111
475,001011
476,111111
477,111100
478,111110
479,110010
480,111110
481,111111
482,010010
483,110000
484,111010
485,110001
486,010101
487,110101
488,010011
489,110101
490,010001
491,000000
492,111100
493,000111
494,111111
495,101001
496,110101
497,100010
498,100100
499,001010
500,010010
501,111100
502,011011
503,100001
504,010010
505,001000
506,001110
507,010010
508,011011
509,001001
510,001010
511,010011
512,010011
513,110101
514,011011
515,011011
516,011001
517,001100
518,110101
519,001011
520,110101
521,001001
522,000100
523,000001
524,001000
525,101101
526,001110
527,111011
528,110001
529,000011
530,001101
531,101100
532,101010
533,110101
534,101011
535,110101
536,111100
