person,profile
1,011111
2,111111
3,110110
4,111010
5,010011
6,010100
7,000101
8,000001
9,010100
10,000110
11,111001
12,111010
13,010011
14,100010
15,010110
16,010111
17,001000
18,010001
19,010000
20,000010
21,111111
22,111010
23,111111
24,011010
25,111010
26,001100
27,010100
28,100100
29,010111
30,111111
31,011111
32,111111
33,111111
34,011111
35,111111
36,111001
37,011100
38,111001
39,111111
40,010010
41,100001
42,111111
43,111111
44,010111
45,111111
46,111111
47,010101
48,011010
49,001111
50,011110
51,101010
52,110111
53,010001
54,111111
55,011010
56,111111
57,111111
58,101000
59,010000
60,111111
61,010001
62,000110
63,111001
64,111010
65,111001
66,011010
67,111001
68,101111
69,101011
70,010000
71,010101
72,010001
73,100111
74,111010
75,010010
76,101110
77,010001
78,111010
79,111111
80,011111
81,010110
82,111110
83,100101
84,110100
85,110111
86,111010
87,111010
88,111111
89,111111
90,111111
91,111001
92,010111
93,111111
94,111111
95,111111
96,111111
97,011011
98,010010
99,111111
100,101110
101,010100
102,111111
103,010011
104,111111
105,111111
106,111001
107,110010
108,111111
109,111001
110,111010
111,010001
112,000010
113,010010
114,011010
115,111001
116,111111
117,001110
118,011010
119,011111
120,001001
121,000111
122,010011
123,010110
124,111111
125,111111
126,111111
127,111111
128,011111
129,011010
130,111111
131,010111
132,111010
133,010011
134,001101
135,100100
136,111111
137,111010
138,111111
139,101111
140,111111
141,111010
142,111111
143,010110
144,010111
145,010111
146,111111
147,111111
148,100011
149,111010
150,111111
151,111111
152,111111
153,111111
154,111111
155,111111
156,111111
157,111111
158,011010
159,111001
160,111111
161,111010
162,111111
163,111111
164,111111
165,101110
166,001110
167,000011
168,111111
169,111111
170,001010
171,010110
172,111010
173,111111
174,011100
175,010001
176,011010
177,111010
178,110010
179,111010
180,111111
181,001110
182,111010
183,111010
184,111111
185,111111
186,111111
187,110001
188,010011
189,111111
190,111111
191,111111
192,111111
193,111111
194,010101
195,010100
196,111111
197,111111
198,111111
199,111111
200,110101
201,111111
202,111111
203,111111
204,111111
205,011010
206,011010
207,111010
208,110101
209,111111
210,111111
211,010001
212,111001
213,111111
214,111111
215,110011
216,111111
217,100110
218,111111
219,111001
220,111111
221,011010
222,111010
223,111111
224,001001
225,111111
226,010000
227,000101
228,010001
229,111111
230,111001
231,001110
232,111010
233,010111
234,111111
235,110111
236,110011
237,110011
238,111111
239,011010
240,110111
241,111111
242,111001
243,111010
244,010101
245,111111
246,001000
247,111111
248,111111
249,001010
250,010110
251,000101
252,111001
253,001111
254,111111
255,010111
256,111111
257,111111
258,111111
259,111010
260,011111
261,010101
262,011111
263,010100
264,010100
265,010100
266,111111
267,111111
268,110110
269,111001
270,111111
271,010001
272,111010
273,111111
274,110010
275,111111
276,111001
277,111010
278,111111
279,111111
280,111111
281,111111
282,111111
283,011111
284,111111
285,111111
286,101100
287,111111
288,111111
289,111010
290,111111
291,001101
292,110100
293,011100
294,010111
295,111111
296,100100
297,100000
298,011110
299,000101
300,111111
301,111111
302,111111
303,111010
304,110100
305,111111
306,111101
307,110010
308,010000
309,000111
310,010111
311,111001
312,100100
313,111010
314,010110
315,111111
316,110110
317,010000
318,111001
319,111111
320,010000
321,110001
322,111111
323,111111
324,111010
325,111111
326,010011
327,100100
328,111010
329,111001
330,110010
331,111001
332,111001
333,010101
334,100100
335,111111
336,111001
337,010110
338,010110
339,111010
340,111111
341,111111
342,101110
343,100000
344,111111
345,101001
346,111111
347,110010
348,111001
349,110011
350,111111
351,111111
352,010011
353,000101
354,111111
355,110100
356,111111
357,111001
358,111111
359,111111
360,111001
361,111111
362,111001
363,111111
364,010000
365,111110
366,111001
367,010011
368,111111
369,111111
370,111111
371,110110
372,010000
373,110001
374,111111
375,111111
376,111101
377,010111
378,111001
379,111001
380,010010
381,110001
382,110001
383,111111
384,111101
385,111111
386,111001
387,010010
388,110100
389,111111
390,010011
391,110000
392,010110
393,010110
394,111111
395,101101
396,111111
397,001011
398,110001
399,001100
400,111111
401,110111
402,111010
403,111111
404,010010
405,111010
406,101011
407,010001
408,100011
409,111111
410,111111
411,110000
412,010011
413,111111
414,010100
415,000110
416,010001
417,010010
418,010011
419,110101
420,010110
421,100011
422,111110
423,101111
424,010011
425,010000
426,101110
427,010010
428,111010
429,111111
430,010001
431,111111
432,111111
433,111111
434,111111
435,101110
436,101000
437,010010
438,111001
439,111111
440,111111
441,100001
442,100010
443,111110
444,111001
445,111111
446,101001
447,111010
448,111001
449,111010
450,010100
451,010110
452,010110
453,111111
454,101111
455,010011
456,111111
457,111001
458,111111
459,111111
460,111001
461,111001
462,010110
463,010111
464,111010
465,111001
466,111010
467,010011
468,111111
469,111001
470,111010
471,111001
472,111111
473,111111
474,111111
475,101110
476,111111
477,111001
478,111101
479,110001
480,111101
481,111111
482,010101
483,110100
484,110010
485,110000
486,011010
487,111010
488,010000
489,111010
490,010110
491,100011
492,111001
493,100101
494,111111
495,001101
496,111010
497,000010
498,101100
499,100010
500,010111
501,111001
502,010001
503,101011
504,010001
505,101010
506,001010
507,010110
508,010011
509,101001
510,101111
511,010011
512,010111
513,111010
514,010000
515,010000
516,010110
517,000010
518,111010
519,100101
520,111010
521,001110
522,100011
523,001000
524,000000
525,000010
526,001011
527,110001
528,110111
529,000000
530,100000
531,001000
532,100111
533,111010
534,000101
535,111010
536,111001
