person,profile
1,001111
2,111111
3,111010
4,111001
5,000001
6,010000
7,000110
8,000110
9,000100
10,000001
11,111010
12,111001
13,010101
14,000000
15,010110
16,001011
17,000000
18,000011
19,010001
20,000100
21,111111
22,111001
23,111111
24,001001
25,111001
26,000011
27,010000
28,000111
29,010000
30,111111
31,011111
32,111111
33,111111
34,011111
35,111111
36,111010
37,001011
38,111010
39,111111
40,010011
41,000010
42,111111
43,111111
44,000100
45,111111
46,111111
47,010100
48,001011
49,000001
50,011101
51,000110
52,110010
53,010101
54,111111
55,011011
56,111111
57,111111
58,000010
59,010101
60,111111
61,010100
62,000001
63,111010
64,111111
65,111010
66,001001
67,111010
68,000101
69,000100
70,001010
71,010110
72,010011
73,000110
74,111001
75,010001
76,000011
77,010011
78,111001
79,111111
80,011111
81,000110
82,111111
83,000010
84,110010
85,111010
86,111001
87,111001
88,111111
89,111111
90,111111
91,111010
92,000100
93,111111
94,111111
95,111111
96,111111
97,011011
98,000010
99,111111
100,000110
101,010001
102,111111
103,010001
104,111111
105,111111
106,111010
107,100000
108,111111
109,111010
110,111001
111,000110
112,000101
113,011010
114,001001
115,111010
116,111111
117,000100
118,011011
119,011111
120,000011
121,000111
122,010011
123,010111
124,111111
125,111111
126,111111
127,111111
128,011111
129,001001
130,111111
131,010101
132,111001
133,010001
134,000001
135,000001
136,111111
137,111001
138,111111
139,000101
140,111111
141,111001
142,111111
143,000110
144,000000
145,010001
146,111111
147,111111
148,000000
149,111001
150,111111
151,111111
152,111111
153,111111
154,111111
155,111111
156,111111
157,111111
158,001001
159,111010
160,111111
161,111001
162,111111
163,111111
164,111111
165,000101
166,000010
167,000101
168,111111
169,111111
170,000101
171,001011
172,111001
173,111111
174,011010
175,010100
176,011011
177,111001
178,110001
179,111001
180,111111
181,000011
182,111001
183,111001
184,111111
185,111111
186,111111
187,100100
188,010101
189,111111
190,111111
191,111111
192,111111
193,111111
194,001011
195,000010
196,111111
197,111111
198,111111
199,111111
200,100101
201,111111
202,111111
203,111111
204,111111
205,011011
206,011111
207,111001
208,100100
209,111111
210,111111
211,010001
212,111010
213,111111
214,111111
215,100101
216,111111
217,000111
218,111111
219,111010
220,111111
221,011011
222,111001
223,111111
224,000110
225,111111
226,010010
227,000101
228,000001
229,111111
230,111010
231,000100
232,111001
233,010100
234,111111
235,100011
236,100111
237,111010
238,111111
239,001001
240,110111
241,111111
242,111010
243,111001
244,010001
245,111111
246,000101
247,111111
248,111111
249,000001
250,010110
251,000100
252,111010
253,000101
254,111111
255,010000
256,111111
257,111111
258,111111
259,111001
260,011111
261,010000
262,011111
263,011010
264,000101
265,000100
266,111111
267,111111
268,110111
269,111010
270,111111
271,010100
272,111001
273,111111
274,100110
275,111111
276,111010
277,111001
278,111111
279,111111
280,111111
281,111111
282,111111
283,011111
284,111111
285,111111
286,100111
287,111111
288,111111
289,111001
290,111111
291,000001
292,110101
293,011010
294,010011
295,111111
296,000100
297,000111
298,011101
299,000101
300,111111
301,111111
302,111111
303,111001
304,100011
305,111111
306,111110
307,110111
308,010010
309,000010
310,010100
311,111010
312,000110
313,111001
314,010101
315,111111
316,110111
317,010001
318,111010
319,111111
320,010000
321,110001
322,111111
323,111111
324,111001
325,111111
326,011010
327,000100
328,111001
329,111010
330,110010
331,111010
332,111010
333,010001
334,000110
335,111111
336,111010
337,010100
338,010010
339,111001
340,111111
341,111111
342,000111
343,000101
344,111111
345,000001
346,111111
347,100111
348,111010
349,110001
350,111111
351,111111
352,010011
353,000100
354,111111
355,110100
356,111111
357,111010
358,111111
359,111111
360,111010
361,111111
362,111010
363,111111
364,010110
365,111111
366,111010
367,010101
368,111111
369,111111
370,111111
371,110000
372,010010
373,111010
374,111111
375,111111
376,111110
377,010110
378,111010
379,111010
380,010011
381,110010
382,111010
383,111111
384,111110
385,111111
386,111010
387,010111
388,111010
389,111111
390,011010
391,111010
392,010100
393,010110
394,111111
395,000000
396,111111
397,000001
398,111010
399,000111
400,111111
401,111010
402,111001
403,111111
404,011010
405,111001
406,000010
407,010001
408,000101
409,111111
410,111111
411,111010
412,010110
413,111111
414,001010
415,000010
416,010111
417,010000
418,010111
419,111010
420,010110
421,000011
422,111111
423,000101
424,010001
425,010111
426,000100
427,010111
428,111001
429,111111
430,010110
431,111111
432,111111
433,111111
434,111111
435,000101
436,000001
437,010110
438,111010
439,111111
440,111111
441,000111
442,000010
443,111111
444,111010
445,111111
446,000100
447,111001
448,111010
449,111001
450,010011
451,010110
452,010000
453,111111
454,000110
455,011010
456,111111
457,111010
458,111111
459,111111
460,111010
461,111010
462,010100
463,010111
464,111001
465,111010
466,111111
467,010010
468,111111
469,111010
470,111001
471,111010
472,111111
473,111111
474,111111
475,000110
476,111111
477,111010
478,111110
479,111010
480,111110
481,111111
482,010110
483,110101
484,111010
485,111010
486,011011
487,111001
488,010011
489,111001
490,010000
491,000011
492,111010
493,000101
494,111111
495,000111
496,111001
497,000000
498,000010
499,000111
500,010111
501,111010
502,010110
503,000000
504,010111
505,000111
506,000110
507,010100
508,010001
509,000110
510,000111
511,010001
512,010000
513,111001
514,010001
515,010100
516,010011
517,000101
518,111001
519,000000
520,111001
521,000101
522,000101
523,000100
524,000101
525,000010
526,000101
527,111010
528,111010
529,000011
530,000010
531,000010
532,000100
533,111001
534,000000
535,111001
536,111010
