person,profile
1,01100
2,11110
3,11010
4,11111
5,10000
6,11000
7,00000
8,00000
9,00000
10,00000
11,11011
12,11111
13,10000
14,00000
15,00000
16,11000
17,10000
18,00000
19,11000
20,00000
21,11111
22,11111
23,11111
24,11100
25,11011
26,00000
27,11001
28,00000
29,11000
30,11111
31,11101
32,11111
33,11111
34,11100
35,11111
36,11011
37,01100
38,11011
39,11111
40,01001
41,00000
42,11111
43,11111
44,00000
45,11110
46,11110
47,11000
48,11000
49,00000
50,11100
51,00000
52,11010
53,10000
54,11111
55,11100
56,11111
57,11111
58,00000
59,11001
60,11110
61,10000
62,00000
63,11111
64,11111
65,11011
66,01100
67,11011
68,00000
69,00000
70,00000
71,11001
72,11001
73,00000
74,11111
75,11000
76,00000
77,11001
78,11110
79,11111
80,11101
81,00000
82,11110
83,00000
84,11010
85,10011
86,11110
87,11111
88,11111
89,11111
90,11111
91,11010
92,00000
93,11111
94,11111
95,11111
96,11110
97,11001
98,00000
99,11111
100,10000
101,11001
102,11111
103,11001
104,11111
105,11111
106,11011
107,10011
108,11111
109,11011
110,11111
111,10000
112,00000
113,11001
114,11100
115,11111
116,11111
117,00000
118,11100
119,11100
120,00000
121,00000
122,11000
123,11000
124,11111
125,11111
126,11111
127,11111
128,11101
129,11100
130,11111
131,11000
132,11111
133,10000
134,00000
135,00000
136,11111
137,11110
138,11111
139,00000
140,11111
141,11011
142,11111
143,10000
144,10000
145,11000
146,11111
147,11111
148,00000
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,11100
159,11010
160,11111
161,11111
162,11110
163,11111
164,11111
165,00000
166,00000
167,00000
168,11111
169,11111
170,00000
171,00000
172,11111
173,11111
174,11100
175,11001
176,11100
177,11110
178,10011
179,11111
180,11111
181,00000
182,11111
183,11110
184,11111
185,11111
186,11111
187,10011
188,11000
189,11111
190,11111
191,11111
192,11111
193,11111
194,11000
195,00000
196,11111
197,11111
198,11111
199,11110
200,00010
201,11111
202,11111
203,11111
204,11111
205,11100
206,11101
207,11110
208,10011
209,11111
210,11111
211,01000
212,11011
213,11111
214,11111
215,10011
216,11111
217,00000
218,11111
219,11011
220,11110
221,11100
222,11110
223,11111
224,00000
225,11111
226,11000
227,00000
228,00000
229,11111
230,11011
231,00000
232,11110
233,11000
234,11110
235,10011
236,10011
237,11010
238,11111
239,01100
240,10011
241,11111
242,11110
243,11110
244,11000
245,11111
246,00000
247,11111
248,11111
249,10000
250,10000
251,00000
252,11011
253,00000
254,11111
255,01010
256,11111
257,11111
258,11111
259,11110
260,11101
261,00000
262,11101
263,11000
264,00000
265,00000
266,11111
267,11111
268,10011
269,11110
270,11111
271,11001
272,11110
273,11111
274,10011
275,11111
276,11011
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,11100
284,11111
285,11110
286,00010
287,11111
288,11111
289,11111
290,11110
291,00000
292,11011
293,11001
294,11000
295,11111
296,10000
297,00001
298,11100
299,10000
300,11111
301,11111
302,11111
303,11110
304,10011
305,11111
306,11111
307,11011
308,11000
309,00000
310,11000
311,11011
312,00000
313,11110
314,11001
315,11110
316,11010
317,11000
318,11111
319,11111
320,11001
321,11011
322,11111
323,11111
324,11110
325,11111
326,11000
327,00000
328,11111
329,11011
330,11011
331,11001
332,11010
333,11000
334,00000
335,11111
336,11010
337,11001
338,11000
339,11110
340,11111
341,11111
342,00000
343,00000
344,11111
345,00000
346,11111
347,10011
348,11011
349,11010
350,11111
351,11111
352,11000
353,00000
354,11111
355,11010
356,11111
357,11011
358,11111
359,11111
360,11011
361,11111
362,11111
363,11111
364,11001
365,11110
366,11011
367,11000
368,11111
369,11111
370,11111
371,11010
372,11001
373,11010
374,11111
375,11111
376,11111
377,11001
378,11011
379,11011
380,11000
381,11010
382,11011
383,11111
384,11111
385,11111
386,11011
387,11001
388,11011
389,11111
390,11001
391,11011
392,11000
393,11001
394,11111
395,00000
396,11111
397,00000
398,11011
399,00000
400,11110
401,11010
402,11111
403,11111
404,11000
405,11111
406,00000
407,11000
408,00000
409,11111
410,11111
411,11011
412,11000
413,11111
414,01000
415,00000
416,11000
417,11001
418,11000
419,11011
420,11001
421,00000
422,11110
423,00000
424,11001
425,11001
426,00000
427,11001
428,11111
429,11111
430,11000
431,11111
432,11110
433,11110
434,11111
435,00000
436,00000
437,11000
438,11010
439,11111
440,11111
441,00000
442,00000
443,11110
444,11011
445,11111
446,00000
447,11111
448,11010
449,10011
450,11000
451,11000
452,11000
453,11110
454,00000
455,01001
456,11111
457,11011
458,11111
459,11111
460,11011
461,11011
462,11001
463,11001
464,11111
465,11011
466,11111
467,11000
468,11111
469,11011
470,11111
471,11011
472,11111
473,11111
474,11111
475,00000
476,11111
477,11011
478,11111
479,11011
480,11111
481,11111
482,11000
483,11010
484,11011
485,11011
486,11100
487,11111
488,11001
489,11111
490,11001
491,00000
492,11011
493,00000
494,11111
495,00000
496,11111
497,00000
498,00000
499,00000
500,11000
501,11011
502,11000
503,00000
504,11001
505,00000
506,00000
507,01000
508,11000
509,00000
510,00000
511,11001
512,11001
513,11111
514,11000
515,11000
516,11001
517,10000
518,11010
519,00000
520,11111
521,00000
522,00000
523,00000
524,00000
525,00000
526,00000
527,11010
528,11010
529,00000
530,00000
531,00000
532,00000
533,11111
534,00000
535,11110
536,11011
