person,profile
1,01111
2,11111
3,11000
4,11110
5,01100
6,01100
7,00101
8,00111
9,01000
10,00001
11,11100
12,11110
13,01100
14,10111
15,01000
16,01100
17,00000
18,00010
19,01001
20,00000
21,11111
22,11110
23,11111
24,01010
25,11110
26,10001
27,01000
28,00010
29,01001
30,11111
31,01111
32,11111
33,11111
34,01111
35,11111
36,11110
37,01010
38,11000
39,11111
40,01100
41,00010
42,11111
43,11111
44,00001
45,11111
46,11111
47,01101
48,01010
49,10011
50,01011
51,00111
52,11100
53,01001
54,11111
55,01010
56,11111
57,11111
58,00100
59,01100
60,11111
61,01100
62,10101
63,11010
64,11111
65,11001
66,01010
67,11100
68,10000
69,10100
70,01001
71,01000
72,01100
73,10000
74,11110
75,01101
76,00101
77,01001
78,11010
79,11111
80,01111
81,10010
82,11111
83,00111
84,11100
85,11100
86,11010
87,11110
88,11111
89,11111
90,11111
91,11000
92,00010
93,11111
94,11111
95,11111
96,11111
97,01010
98,00001
99,11111
100,10010
101,01101
102,11111
103,01000
104,11111
105,11111
106,11001
107,11101
108,11111
109,11000
110,11110
111,01001
112,10010
113,01001
114,01010
115,11111
116,11111
117,00101
118,01010
119,01111
120,10111
121,00000
122,01100
123,01000
124,11111
125,11111
126,11111
127,11111
128,01111
129,01010
130,11111
131,01000
132,11110
133,01100
134,10011
135,10110
136,11111
137,11010
138,11111
139,10100
140,11111
141,11101
142,11111
143,01000
144,10010
145,01101
146,11111
147,11111
148,00110
149,11110
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,01010
159,11000
160,11111
161,11110
162,11111
163,11111
164,11111
165,10011
166,10101
167,00010
168,11111
169,11111
170,10111
171,01001
172,11110
173,11111
174,01010
175,01000
176,01010
177,11010
178,11000
179,11110
180,11111
181,00101
182,11010
183,11010
184,11111
185,11111
186,11111
187,11101
188,01001
189,11111
190,11111
191,11111
192,11111
193,11111
194,01101
195,00001
196,11111
197,11111
198,11111
199,11111
200,11000
201,11111
202,11111
203,11111
204,11111
205,01010
206,01110
207,11010
208,11000
209,11111
210,11111
211,01101
212,11101
213,11111
214,11111
215,11100
216,11111
217,00011
218,11111
219,11100
220,11010
221,01010
222,11111
223,11111
224,10001
225,11110
226,01001
227,10111
228,01000
229,11111
230,11100
231,00000
232,11010
233,01101
234,11111
235,11001
236,11001
237,11101
238,11111
239,01010
240,11100
241,11110
242,11010
243,11010
244,01000
245,11111
246,00111
247,11111
248,11111
249,10100
250,01001
251,00110
252,11001
253,00011
254,11111
255,01100
256,11111
257,11111
258,11111
259,11010
260,01111
261,01100
262,01111
263,01100
264,10001
265,01100
266,11111
267,11111
268,11001
269,11010
270,11111
271,01100
272,11010
273,11111
274,11000
275,11111
276,11101
277,11110
278,11111
279,11111
280,11111
281,11111
282,11111
283,01111
284,11111
285,11111
286,10110
287,11111
288,11111
289,11010
290,11111
291,00100
292,11100
293,01101
294,01100
295,11111
296,00100
297,10001
298,01011
299,00110
300,11111
301,11111
302,11111
303,11010
304,11001
305,11111
306,11110
307,11101
308,01001
309,10100
310,01101
311,11100
312,10010
313,11010
314,01001
315,11111
316,11001
317,01000
318,11111
319,11111
320,01000
321,11000
322,11111
323,11111
324,11010
325,11110
326,01001
327,00010
328,11010
329,11101
330,11101
331,01000
332,11100
333,01100
334,00100
335,11111
336,11101
337,01101
338,01101
339,11010
340,11111
341,11111
342,10111
343,10011
344,11111
345,00101
346,11111
347,11100
348,11001
349,11100
350,11111
351,11111
352,01101
353,00010
354,11111
355,11001
356,11111
357,11101
358,11111
359,11111
360,11101
361,11111
362,11110
363,11111
364,01001
365,11111
366,11000
367,01101
368,11111
369,11111
370,11111
371,11000
372,01100
373,11000
374,11110
375,11111
376,11110
377,01100
378,11100
379,11000
380,01001
381,11001
382,11001
383,11111
384,11111
385,11111
386,11101
387,01101
388,11101
389,11111
390,01101
391,11101
392,01001
393,01101
394,11111
395,00001
396,11111
397,00110
398,11100
399,00011
400,11111
401,11101
402,11110
403,11111
404,01100
405,11110
406,00011
407,01001
408,10101
409,11111
410,11111
411,11001
412,01100
413,11111
414,01100
415,00101
416,01001
417,01001
418,01100
419,11000
420,01001
421,00010
422,11010
423,10100
424,01101
425,01101
426,10011
427,01001
428,11110
429,11111
430,01101
431,11111
432,11111
433,11111
434,11110
435,00101
436,10011
437,01100
438,11001
439,11111
440,11111
441,10001
442,10000
443,11111
444,11001
445,11111
446,00110
447,11110
448,11101
449,11001
450,01001
451,01100
452,01000
453,11111
454,00001
455,01001
456,11111
457,11101
458,11111
459,11111
460,11100
461,11101
462,01000
463,01001
464,11111
465,11100
466,11110
467,01000
468,11111
469,11101
470,11110
471,11001
472,11111
473,11111
474,11111
475,10111
476,11111
477,11000
478,11111
479,11101
480,11110
481,11111
482,01001
483,11101
484,11000
485,11100
486,01010
487,11110
488,01001
489,11110
490,01001
491,10001
492,11100
493,10111
494,11111
495,10000
496,11110
497,00101
498,00000
499,00111
500,01101
501,11001
502,01101
503,10110
504,01100
505,10000
506,10010
507,01001
508,01001
509,10101
510,10101
511,01001
512,01000
513,11111
514,01100
515,01000
516,01101
517,00001
518,11010
519,10000
520,11110
521,10111
522,00000
523,00101
524,00000
525,10110
526,00101
527,11101
528,11001
529,10001
530,10111
531,00010
532,10100
533,11110
534,10101
535,11010
536,11101
