person,profile
1,01101
2,11101
3,11001
4,11111
5,01000
6,01100
7,10010
8,10110
9,01110
10,00100
11,11001
12,11111
13,01100
14,10101
15,01100
16,01000
17,10011
18,01000
19,01100
20,10001
21,11101
22,11111
23,11111
24,01101
25,11010
26,00110
27,01000
28,00001
29,01110
30,11111
31,11101
32,11111
33,11111
34,01101
35,11111
36,11011
37,01101
38,11001
39,11111
40,01110
41,10000
42,11111
43,11111
44,01110
45,11101
46,11101
47,01110
48,01110
49,00111
50,01101
51,00011
52,11010
53,01110
54,11111
55,01101
56,11111
57,11111
58,00011
59,01100
60,11101
61,01100
62,10001
63,11001
64,11111
65,11001
66,01101
67,11001
68,10001
69,10101
70,01001
71,01010
72,01100
73,10111
74,11111
75,01000
76,00011
77,01010
78,11101
79,11111
80,01111
81,01100
82,11101
83,00011
84,11110
85,11001
86,11101
87,11111
88,11111
89,11111
90,11111
91,11001
92,01010
93,11111
94,11111
95,11111
96,11101
97,01100
98,01110
99,11111
100,00011
101,01110
102,11111
103,01110
104,11111
105,11111
106,11001
107,11000
108,11111
109,11001
110,11111
111,01010
112,10010
113,01011
114,01101
115,11111
116,11111
117,00111
118,01101
119,01101
120,00110
121,00000
122,01110
123,01100
124,11111
125,11111
126,11111
127,11111
128,01111
129,01101
130,11111
131,01010
132,11111
133,01010
134,00111
135,00000
136,11111
137,11101
138,11101
139,10110
140,11111
141,11001
142,11111
143,01100
144,01010
145,01110
146,11111
147,11111
148,00100
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11101
157,11111
158,01101
159,11001
160,11101
161,11111
162,11101
163,11111
164,11111
165,10010
166,00111
167,10111
168,11111
169,11111
170,00010
171,01100
172,11111
173,11111
174,01001
175,01010
176,01101
177,11101
178,11100
179,11111
180,11111
181,00010
182,11101
183,11101
184,11111
185,11111
186,11101
187,11100
188,01000
189,11111
190,11111
191,11111
192,11111
193,11111
194,01100
195,01100
196,11111
197,11111
198,11111
199,11101
200,11000
201,11111
202,11111
203,11111
204,11111
205,01101
206,01111
207,11101
208,11100
209,11111
210,11111
211,01000
212,11001
213,11111
214,11111
215,11110
216,11111
217,10010
218,11111
219,11011
220,11101
221,01101
222,11101
223,11111
224,00001
225,11111
226,01010
227,00100
228,01010
229,11101
230,11001
231,10011
232,11101
233,01000
234,11101
235,11100
236,11010
237,11001
238,11111
239,01101
240,11110
241,11111
242,11001
243,11101
244,01000
245,11111
246,00110
247,11101
248,11111
249,00110
250,01010
251,00110
252,11001
253,10000
254,11101
255,01000
256,11111
257,11111
258,11111
259,11101
260,01111
261,01110
262,01111
263,01010
264,01110
265,01100
266,11111
267,11111
268,11000
269,11001
270,11101
271,01010
272,11101
273,11111
274,11100
275,11111
276,11001
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,01101
284,11111
285,11101
286,00000
287,11111
288,11111
289,11101
290,11101
291,10000
292,11100
293,01011
294,01010
295,11111
296,10100
297,00101
298,01101
299,10100
300,11111
301,11111
302,11111
303,11101
304,11110
305,11111
306,11111
307,11010
308,01010
309,10100
310,01000
311,11001
312,10111
313,11101
314,01110
315,11101
316,11000
317,01100
318,11001
319,11101
320,01100
321,11110
322,11101
323,11111
324,11101
325,11111
326,01000
327,10010
328,11101
329,11001
330,11110
331,01010
332,11001
333,01000
334,10101
335,11101
336,11000
337,01010
338,01110
339,11101
340,11111
341,11111
342,10101
343,10011
344,11111
345,10000
346,11101
347,11010
348,11001
349,11100
350,11101
351,11111
352,01010
353,00111
354,11111
355,11000
356,11101
357,11001
358,11111
359,11101
360,11001
361,11111
362,11011
363,11101
364,01110
365,11101
366,11001
367,01000
368,11111
369,11111
370,11111
371,11000
372,01110
373,11110
374,11111
375,11111
376,11111
377,01000
378,11001
379,11001
380,01010
381,11010
382,11100
383,11101
384,11111
385,11101
386,11011
387,01100
388,11010
389,11111
390,01010
391,11000
392,01110
393,01110
394,11111
395,10010
396,11111
397,10010
398,11000
399,10010
400,11101
401,11001
402,11111
403,11101
404,01001
405,11111
406,10001
407,01001
408,00110
409,11101
410,11111
411,11000
412,01100
413,11111
414,01000
415,10111
416,01100
417,01000
418,01010
419,11100
420,01100
421,00111
422,11101
423,00010
424,01110
425,01110
426,10000
427,01100
428,11111
429,11111
430,01110
431,11111
432,11101
433,11101
434,11111
435,00001
436,10011
437,01010
438,11001
439,11111
440,11111
441,00010
442,00100
443,11101
444,11001
445,11101
446,10001
447,11111
448,11001
449,11000
450,01010
451,01010
452,01100
453,11101
454,10111
455,01010
456,11111
457,11001
458,11101
459,11111
460,11001
461,11001
462,01110
463,01100
464,11101
465,11001
466,11111
467,01000
468,11111
469,11001
470,11111
471,11001
472,11111
473,11111
474,11111
475,00011
476,11111
477,11001
478,11111
479,11000
480,11111
481,11101
482,01000
483,11010
484,11100
485,11110
486,01101
487,11111
488,01010
489,11111
490,01010
491,10110
492,11011
493,10001
494,11111
495,00001
496,11111
497,00010
498,00010
499,00111
500,01100
501,11001
502,01000
503,10101
504,01010
505,00010
506,00011
507,01100
508,01110
509,00011
510,10010
511,01100
512,01100
513,11111
514,01100
515,01100
516,01010
517,00011
518,11010
519,00010
520,11111
521,10010
522,00011
523,00001
524,10001
525,00001
526,10011
527,11001
528,11001
529,00101
530,00111
531,10111
532,10011
533,11111
534,10001
535,11101
536,11001
