person,profile
1,10110
2,11110
3,11100
4,11111
5,00011
6,00100
7,00100
8,00000
9,00100
10,00101
11,11101
12,11111
13,10001
14,00010
15,00100
16,10000
17,00011
18,00101
19,10011
20,00010
21,11110
22,11111
23,11111
24,10110
25,11101
26,00100
27,10001
28,00010
29,10000
30,11111
31,11110
32,11111
33,11111
34,10110
35,11111
36,11101
37,10110
38,11101
39,11111
40,00101
41,00100
42,11111
43,11111
44,00000
45,11110
46,11110
47,10001
48,10000
49,00101
50,10110
51,00101
52,11001
53,10001
54,11111
55,10110
56,11111
57,11111
58,00100
59,00101
60,11110
61,10000
62,00101
63,11101
64,11111
65,11101
66,10110
67,11101
68,00100
69,00011
70,10100
71,00101
72,00101
73,00001
74,11111
75,10000
76,00010
77,10000
78,11110
79,11111
80,10111
81,10010
82,11110
83,00100
84,11000
85,11101
86,11110
87,11111
88,11111
89,11111
90,11111
91,11100
92,00100
93,11111
94,11111
95,11111
96,11110
97,10001
98,00100
99,11111
100,00010
101,00101
102,11111
103,00101
104,11111
105,11111
106,11101
107,01000
108,11111
109,11101
110,11111
111,10011
112,00010
113,10101
114,10110
115,11111
116,11111
117,00100
118,10110
119,10110
120,00001
121,00011
122,10001
123,10000
124,11111
125,11111
126,11111
127,11111
128,10111
129,10110
130,11111
131,10011
132,11111
133,10101
134,00011
135,00101
136,11111
137,11110
138,11110
139,00101
140,11111
141,11101
142,11111
143,10010
144,00000
145,10011
146,11111
147,11111
148,00000
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11110
157,11111
158,10110
159,11100
160,11110
161,11111
162,11110
163,11111
164,11111
165,00000
166,00101
167,00100
168,11111
169,11111
170,00011
171,10001
172,11111
173,11111
174,10100
175,10011
176,10110
177,11110
178,11011
179,11111
180,11111
181,00000
182,11110
183,11110
184,11111
185,11111
186,11110
187,01101
188,10010
189,11111
190,11111
191,11111
192,11111
193,11111
194,10000
195,00101
196,11111
197,11111
198,11111
199,11110
200,11000
201,11111
202,11111
203,11111
204,11111
205,10110
206,10111
207,11110
208,01001
209,11111
210,11111
211,10000
212,11101
213,11111
214,11111
215,01101
216,11111
217,00000
218,11111
219,11101
220,11110
221,10110
222,11110
223,11111
224,00100
225,11111
226,10011
227,00001
228,10010
229,11110
230,11101
231,00000
232,11110
233,10001
234,11110
235,11010
236,01001
237,11100
238,11111
239,10110
240,11010
241,11111
242,11100
243,11110
244,10011
245,11111
246,00001
247,11110
248,11111
249,00001
250,00100
251,00011
252,11101
253,00011
254,11110
255,10011
256,11111
257,11111
258,11111
259,11110
260,11111
261,00100
262,10111
263,10001
264,00001
265,00110
266,11111
267,11111
268,11001
269,11110
270,11110
271,10001
272,11110
273,11111
274,01001
275,11111
276,11101
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,10110
284,11111
285,11110
286,01000
287,11111
288,11111
289,11110
290,11110
291,00010
292,11000
293,10101
294,10000
295,11111
296,00011
297,00011
298,10110
299,00000
300,11111
301,11111
302,11111
303,11110
304,01010
305,11111
306,11111
307,11001
308,10011
309,00101
310,10001
311,11101
312,00101
313,11110
314,10001
315,11110
316,11001
317,10001
318,11101
319,11110
320,10000
321,11011
322,11110
323,11111
324,11110
325,11111
326,10010
327,00001
328,11110
329,11101
330,11011
331,10010
332,11100
333,10011
334,00100
335,11110
336,11010
337,00101
338,10001
339,11110
340,11111
341,11111
342,00100
343,00101
344,11111
345,00101
346,11110
347,01000
348,11101
349,11010
350,11110
351,11111
352,10010
353,00101
354,11111
355,11001
356,11110
357,11101
358,11111
359,11110
360,11101
361,11111
362,11101
363,11110
364,10000
365,11110
366,11101
367,10001
368,11111
369,11111
370,11111
371,11001
372,10000
373,11010
374,11111
375,11111
376,11111
377,10011
378,11010
379,11101
380,10010
381,11011
382,11000
383,11110
384,11111
385,11110
386,11101
387,10000
388,11011
389,11111
390,10001
391,11010
392,10010
393,10010
394,11111
395,00101
396,11111
397,00101
398,11010
399,00001
400,11110
401,11100
402,11111
403,11110
404,10100
405,11111
406,00011
407,10100
408,00010
409,11110
410,11111
411,11010
412,10010
413,11111
414,10010
415,00101
416,10010
417,10000
418,10011
419,11011
420,10000
421,00101
422,11110
423,00101
424,10010
425,10000
426,00011
427,00101
428,11111
429,11111
430,10010
431,11111
432,11110
433,11110
434,11111
435,00100
436,00010
437,10000
438,11100
439,11111
440,11111
441,00101
442,00011
443,11110
444,11101
445,11110
446,00000
447,11111
448,11100
449,11000
450,10010
451,10001
452,10100
453,11110
454,00001
455,10000
456,11111
457,11101
458,11110
459,11111
460,11101
461,11101
462,10000
463,10011
464,11110
465,11101
466,11111
467,10010
468,11111
469,11101
470,11111
471,11101
472,11111
473,11111
474,11111
475,00010
476,11111
477,11101
478,11111
479,11010
480,11111
481,11110
482,10000
483,11001
484,11010
485,11011
486,10110
487,11111
488,10011
489,11111
490,10010
491,00000
492,11101
493,00100
494,11111
495,00010
496,11111
497,00010
498,00101
499,00001
500,10001
501,11101
502,10000
503,00101
504,10011
505,00010
506,00000
507,10010
508,10011
509,00010
510,00000
511,10000
512,10001
513,11111
514,10010
515,10000
516,10011
517,00101
518,11000
519,00001
520,11111
521,00010
522,00000
523,00100
524,00010
525,00000
526,00001
527,11100
528,11100
529,00100
530,00011
531,00010
532,00010
533,11111
534,00001
535,11110
536,11101
