person,profile
1,10110
2,11110
3,11100
4,11111
5,10011
6,10000
7,00001
8,00001
9,10000
10,01010
11,11100
12,11111
13,10010
14,00011
15,10010
16,10010
17,01101
18,10000
19,10000
20,01111
21,11110
22,11111
23,11111
24,10110
25,11000
26,00011
27,10000
28,00110
29,10001
30,11111
31,11110
32,11111
33,11111
34,10110
35,11111
36,11101
37,10110
38,11100
39,11111
40,10000
41,00010
42,11111
43,11111
44,10011
45,11110
46,11110
47,10001
48,10000
49,01001
50,10110
51,01001
52,11001
53,10000
54,11111
55,10110
56,11111
57,11111
58,00001
59,10011
60,11110
61,10010
62,01100
63,11100
64,11111
65,11100
66,10110
67,11100
68,01011
69,01010
70,10100
71,10010
72,10010
73,01100
74,11111
75,10000
76,01000
77,10010
78,11110
79,11111
80,10111
81,10001
82,11110
83,01110
84,11001
85,11100
86,11110
87,11111
88,11111
89,11111
90,11111
91,11100
92,10000
93,11111
94,11111
95,11111
96,11110
97,10010
98,10001
99,11111
100,00010
101,10010
102,11111
103,10010
104,11111
105,11111
106,11100
107,11010
108,11111
109,11100
110,11111
111,10011
112,00000
113,10101
114,10110
115,11111
116,11111
117,01011
118,10110
119,10110
120,00011
121,00010
122,10010
123,10010
124,11111
125,11111
126,11111
127,11111
128,10111
129,10110
130,11111
131,10011
132,11111
133,10010
134,01001
135,01100
136,11111
137,11110
138,11110
139,01110
140,11111
141,11100
142,11111
143,10010
144,10011
145,10000
146,11111
147,11111
148,00101
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11110
157,11111
158,10110
159,11100
160,11110
161,11111
162,11110
163,11111
164,11111
165,01010
166,00001
167,01100
168,11111
169,11111
170,01001
171,10010
172,11111
173,11111
174,10100
175,10000
176,10110
177,11110
178,11011
179,11111
180,11111
181,00101
182,11110
183,11110
184,11111
185,11111
186,11110
187,11010
188,10011
189,11111
190,11111
191,11111
192,11111
193,11111
194,10010
195,10000
196,11111
197,11111
198,11111
199,11110
200,11001
201,11111
202,11111
203,11111
204,11111
205,10110
206,10111
207,11110
208,11000
209,11111
210,11111
211,10011
212,11100
213,11111
214,11111
215,11000
216,11111
217,01101
218,11111
219,11101
220,11110
221,10110
222,11110
223,11111
224,00011
225,11111
226,10010
227,01110
228,10010
229,11110
230,11100
231,00100
232,11110
233,10001
234,11110
235,11000
236,11011
237,11100
238,11111
239,10110
240,11001
241,11111
242,11100
243,11110
244,10000
245,11111
246,01001
247,11110
248,11111
249,00011
250,10000
251,00110
252,11100
253,00111
254,11110
255,10000
256,11111
257,11111
258,11111
259,11110
260,10111
261,10001
262,10111
263,10001
264,10001
265,10010
266,11111
267,11111
268,11011
269,11100
270,11110
271,10001
272,11110
273,11111
274,11001
275,11111
276,11100
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,10110
284,11111
285,11110
286,01101
287,11111
288,11111
289,11110
290,11110
291,01011
292,11011
293,10101
294,10001
295,11111
296,01010
297,00011
298,10110
299,01101
300,11111
301,11111
302,11111
303,11110
304,11011
305,11111
306,11111
307,11000
308,10000
309,00010
310,10001
311,11100
312,00111
313,11110
314,10000
315,11110
316,11011
317,10000
318,11100
319,11110
320,10011
321,11001
322,11110
323,11111
324,11110
325,11111
326,10011
327,00000
328,11110
329,11100
330,11011
331,10010
332,11100
333,10011
334,00101
335,11110
336,11001
337,10011
338,10000
339,11110
340,11111
341,11111
342,01001
343,01100
344,11111
345,01010
346,11110
347,11010
348,11100
349,11001
350,11110
351,11111
352,10001
353,01000
354,11111
355,11001
356,11110
357,11100
358,11111
359,11110
360,11100
361,11111
362,11101
363,11110
364,10011
365,11110
366,11100
367,10000
368,11111
369,11111
370,11111
371,11011
372,10011
373,11010
374,11111
375,11111
376,11111
377,10001
378,11100
379,11100
380,10000
381,11001
382,11011
383,11110
384,11111
385,11110
386,11101
387,10010
388,11001
389,11111
390,10001
391,11001
392,10010
393,10011
394,11111
395,01011
396,11111
397,01001
398,11001
399,00011
400,11110
401,11100
402,11111
403,11110
404,10100
405,11111
406,00110
407,10100
408,00111
409,11110
410,11111
411,11010
412,10001
413,11111
414,10011
415,00101
416,10010
417,10001
418,10000
419,11011
420,10000
421,00110
422,11110
423,01110
424,10001
425,10010
426,01001
427,10010
428,11111
429,11111
430,10000
431,11111
432,11110
433,11110
434,11111
435,01001
436,01101
437,10000
438,11100
439,11111
440,11111
441,00011
442,00000
443,11110
444,11100
445,11110
446,01001
447,11111
448,11100
449,11001
450,10011
451,10010
452,10010
453,11110
454,00010
455,10000
456,11111
457,11100
458,11110
459,11111
460,11100
461,11100
462,10011
463,10001
464,11110
465,11100
466,11111
467,10011
468,11111
469,11100
470,11111
471,11100
472,11111
473,11111
474,11111
475,00000
476,11111
477,11100
478,11111
479,11001
480,11111
481,11110
482,10011
483,11011
484,11011
485,11010
486,10110
487,11111
488,10011
489,11111
490,10001
491,00101
492,11101
493,01010
494,11111
495,01111
496,11111
497,01111
498,00110
499,01010
500,10011
501,11100
502,10001
503,00100
504,10000
505,00011
506,01101
507,10011
508,10010
509,00101
510,01110
511,10010
512,10000
513,11111
514,10001
515,10000
516,10011
517,00000
518,11011
519,00001
520,11111
521,00011
522,00110
523,00001
524,00011
525,01110
526,00101
527,11100
528,11100
529,00000
530,01010
531,00111
532,00101
533,11111
534,00110
535,11110
536,11100
