person,profile
1,01110
2,11111
3,11001
4,11111
5,00111
6,01001
7,00110
8,00010
9,01000
10,00100
11,11001
12,11111
13,01001
14,00100
15,00110
16,01001
17,00101
18,00100
19,01001
20,00010
21,11101
22,11111
23,11111
24,01111
25,11011
26,00110
27,01001
28,00000
29,01001
30,11111
31,01101
32,11111
33,11111
34,01111
35,11111
36,11011
37,01000
38,11001
39,11111
40,01000
41,00000
42,11111
43,11111
44,00110
45,11111
46,11111
47,01001
48,01001
49,00100
50,01101
51,00100
52,11001
53,01001
54,11111
55,01101
56,11111
57,11111
58,00000
59,01001
60,11111
61,00011
62,00100
63,11001
64,11111
65,11001
66,01110
67,11001
68,00100
69,00000
70,01000
71,01001
72,01001
73,00000
74,11111
75,01001
76,00000
77,01001
78,11111
79,11111
80,01111
81,00010
82,11101
83,00110
84,11001
85,11001
86,11101
87,11111
88,11111
89,11111
90,11111
91,11001
92,00000
93,11111
94,11111
95,11111
96,11111
97,01001
98,01000
99,11111
100,00101
101,01001
102,11111
103,01001
104,11111
105,11111
106,11001
107,10111
108,11111
109,11001
110,11111
111,00001
112,00110
113,11011
114,01111
115,11111
116,11111
117,00110
118,01001
119,01111
120,00100
121,00110
122,01001
123,01001
124,11111
125,11111
126,11111
127,11111
128,01111
129,01111
130,11111
131,01001
132,11111
133,01001
134,00110
135,00110
136,11111
137,11101
138,11101
139,00100
140,11111
141,11001
142,11111
143,00001
144,00011
145,01001
146,11111
147,11111
148,00010
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11101
157,11111
158,01111
159,11001
160,11101
161,11111
162,11111
163,11111
164,11111
165,00000
166,00110
167,00010
168,11111
169,11111
170,00010
171,01000
172,11111
173,11111
174,01001
175,01001
176,01001
177,11101
178,10111
179,11111
180,11111
181,00100
182,11001
183,11001
184,11111
185,11111
186,11101
187,10001
188,01001
189,11111
190,11111
191,11111
192,11111
193,11111
194,01001
195,00000
196,11111
197,11111
198,11111
199,11111
200,11001
201,11111
202,11111
203,11111
204,11111
205,01001
206,01111
207,11101
208,10011
209,11111
210,11111
211,01000
212,11001
213,11111
214,11111
215,10001
216,11111
217,00100
218,11111
219,11011
220,11111
221,01101
222,11111
223,11111
224,00010
225,11111
226,01001
227,00010
228,01001
229,11101
230,11001
231,00110
232,11111
233,01001
234,11111
235,10011
236,10101
237,11001
238,11111
239,01110
240,10011
241,11111
242,11001
243,11111
244,01001
245,11111
246,00000
247,11101
248,11111
249,00101
250,01001
251,00000
252,11001
253,00000
254,11101
255,01000
256,11111
257,11111
258,11111
259,11101
260,11111
261,00010
262,01111
263,01001
264,00010
265,00110
266,11111
267,11111
268,11001
269,11001
270,11101
271,01001
272,11111
273,11111
274,10101
275,11111
276,11001
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,01111
284,11111
285,11111
286,10101
287,11111
288,11111
289,11101
290,11111
291,00010
292,11001
293,01001
294,01001
295,11111
296,00011
297,00110
298,01101
299,00111
300,11111
301,11111
302,11111
303,11101
304,10111
305,11111
306,11111
307,11001
308,01001
309,00110
310,01001
311,11001
312,00110
313,11101
314,01001
315,11111
316,11001
317,01001
318,11101
319,11101
320,01001
321,11001
322,11101
323,11111
324,11101
325,11111
326,01001
327,00100
328,11101
329,11001
330,11001
331,01001
332,11001
333,01001
334,00110
335,11101
336,11001
337,01001
338,01001
339,11011
340,11111
341,11111
342,00110
343,00100
344,11111
345,00010
346,11101
347,10011
348,11001
349,11001
350,11101
351,11111
352,01001
353,00010
354,11111
355,11001
356,11101
357,11001
358,11111
359,11101
360,11001
361,11111
362,11011
363,11101
364,01001
365,11101
366,11001
367,01001
368,11111
369,11111
370,11111
371,11001
372,01001
373,11001
374,11111
375,11111
376,11111
377,01001
378,11001
379,11001
380,01001
381,11001
382,11001
383,11101
384,11111
385,11101
386,11011
387,01001
388,11001
389,11111
390,01001
391,11001
392,01001
393,01001
394,11111
395,00100
396,11111
397,00000
398,11001
399,00100
400,11111
401,11001
402,11111
403,11101
404,01001
405,11111
406,00000
407,01001
408,00100
409,11101
410,11111
411,11001
412,01001
413,11111
414,01000
415,00100
416,01001
417,01001
418,01001
419,11001
420,01001
421,00100
422,11101
423,00100
424,01001
425,01001
426,00010
427,01001
428,11111
429,11111
430,01001
431,11111
432,11111
433,11111
434,11111
435,00100
436,00010
437,01001
438,11001
439,11111
440,11111
441,00110
442,00000
443,11101
444,11001
445,11101
446,00110
447,11111
448,11001
449,11011
450,01001
451,01001
452,01001
453,11111
454,00010
455,01000
456,11111
457,11001
458,11101
459,11111
460,11001
461,11001
462,01001
463,01001
464,11101
465,11001
466,11111
467,01001
468,11111
469,11001
470,11111
471,11001
472,11111
473,11111
474,11111
475,00100
476,11111
477,11001
478,11111
479,11001
480,11111
481,11101
482,01001
483,11001
484,11001
485,11001
486,01001
487,11111
488,01001
489,11111
490,01001
491,00100
492,11011
493,00100
494,11111
495,00110
496,11111
497,00100
498,00100
499,00000
500,01001
501,11001
502,01001
503,00010
504,01001
505,00010
506,00010
507,01000
508,01001
509,00010
510,00010
511,01001
512,01001
513,11111
514,01001
515,01001
516,01001
517,00101
518,11001
519,00000
520,11111
521,00010
522,00000
523,00000
524,00010
525,00000
526,00010
527,11001
528,11001
529,00010
530,00000
531,00100
532,00100
533,11111
534,00100
535,11111
536,11001
