person,profile
1,00111
2,11111
3,11100
4,11111
5,10010
6,10100
7,00001
8,00000
9,00100
10,00011
11,11100
12,11111
13,10100
14,00000
15,00010
16,10100
17,10010
18,00011
19,10100
20,00011
21,11110
22,11111
23,11111
24,10111
25,11101
26,00010
27,10100
28,00010
29,10100
30,11111
31,10110
32,11111
33,11111
34,10111
35,11111
36,11101
37,00100
38,11100
39,11111
40,00100
41,00010
42,11111
43,11111
44,00001
45,11111
46,11111
47,10100
48,10100
49,00010
50,10110
51,00000
52,11100
53,10100
54,11111
55,10110
56,11111
57,11111
58,00001
59,10100
60,11111
61,10000
62,00011
63,11100
64,11111
65,11100
66,00111
67,11100
68,00001
69,00000
70,00100
71,10100
72,10100
73,00001
74,11111
75,10100
76,00010
77,10100
78,11111
79,11111
80,10111
81,00011
82,11110
83,00000
84,11100
85,11100
86,11110
87,11111
88,11111
89,11111
90,11111
91,11100
92,00010
93,11111
94,11111
95,11111
96,11111
97,10100
98,00100
99,11111
100,10000
101,10100
102,11111
103,10100
104,11111
105,11111
106,11100
107,11000
108,11111
109,11100
110,11111
111,10000
112,00001
113,11101
114,10111
115,11111
116,11111
117,00011
118,10100
119,10111
120,00001
121,00000
122,10100
123,10100
124,11111
125,11111
126,11111
127,11111
128,10111
129,10111
130,11111
131,10100
132,11111
133,10100
134,00000
135,00001
136,11111
137,11110
138,11110
139,00011
140,11111
141,11100
142,11111
143,10010
144,10000
145,10100
146,11111
147,11111
148,00011
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11110
157,11111
158,10111
159,11100
160,11110
161,11111
162,11111
163,11111
164,11111
165,00010
166,00011
167,00000
168,11111
169,11111
170,00001
171,00100
172,11111
173,11111
174,10100
175,10100
176,10100
177,11110
178,11011
179,11111
180,11111
181,00000
182,11100
183,11100
184,11111
185,11111
186,11110
187,11000
188,10100
189,11111
190,11111
191,11111
192,11111
193,11111
194,10100
195,00000
196,11111
197,11111
198,11111
199,11111
200,11100
201,11111
202,11111
203,11111
204,11111
205,10100
206,10111
207,11110
208,11001
209,11111
210,11111
211,00100
212,11100
213,11111
214,11111
215,11001
216,11111
217,00010
218,11111
219,11101
220,11111
221,10110
222,11111
223,11111
224,00001
225,11111
226,10100
227,00001
228,10100
229,11110
230,11100
231,00001
232,11111
233,10100
234,11111
235,11010
236,11001
237,11100
238,11111
239,00111
240,11000
241,11111
242,11100
243,11111
244,10100
245,11111
246,00000
247,11110
248,11111
249,10010
250,10100
251,00000
252,11100
253,00001
254,11110
255,00100
256,11111
257,11111
258,11111
259,11110
260,11111
261,00011
262,10111
263,10100
264,00000
265,00000
266,11111
267,11111
268,11100
269,11100
270,11110
271,10100
272,11111
273,11111
274,11010
275,11111
276,11100
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,10111
284,11111
285,11111
286,11001
287,11111
288,11111
289,11110
290,11111
291,00001
292,11100
293,10100
294,10100
295,11111
296,10001
297,00001
298,10110
299,10011
300,11111
301,11111
302,11111
303,11110
304,11000
305,11111
306,11111
307,11100
308,10100
309,00010
310,10100
311,11100
312,00000
313,11110
314,10100
315,11111
316,11100
317,10100
318,11110
319,11110
320,10100
321,11100
322,11110
323,11111
324,11110
325,11111
326,10100
327,00001
328,11110
329,11100
330,11100
331,10100
332,11100
333,10100
334,00000
335,11110
336,11100
337,10100
338,10100
339,11101
340,11111
341,11111
342,00010
343,00001
344,11111
345,00000
346,11110
347,11000
348,11100
349,11100
350,11110
351,11111
352,10100
353,00001
354,11111
355,11100
356,11110
357,11100
358,11111
359,11110
360,11100
361,11111
362,11101
363,11110
364,10100
365,11110
366,11100
367,10100
368,11111
369,11111
370,11111
371,11100
372,10100
373,11100
374,11111
375,11111
376,11111
377,10100
378,11100
379,11100
380,10100
381,11100
382,11100
383,11110
384,11111
385,11110
386,11101
387,10100
388,11100
389,11111
390,10100
391,11100
392,10100
393,10100
394,11111
395,00001
396,11111
397,00011
398,11100
399,00010
400,11111
401,11100
402,11111
403,11110
404,10100
405,11111
406,00000
407,10100
408,00011
409,11110
410,11111
411,11100
412,10100
413,11111
414,00100
415,00010
416,10100
417,10100
418,10100
419,11100
420,10100
421,00001
422,11110
423,00011
424,10100
425,10100
426,00010
427,10100
428,11111
429,11111
430,10100
431,11111
432,11111
433,11111
434,11111
435,00011
436,00001
437,10100
438,11100
439,11111
440,11111
441,00011
442,00011
443,11110
444,11100
445,11110
446,00000
447,11111
448,11100
449,11101
450,10100
451,10100
452,10100
453,11111
454,00001
455,00100
456,11111
457,11100
458,11110
459,11111
460,11100
461,11100
462,10100
463,10100
464,11110
465,11100
466,11111
467,10100
468,11111
469,11100
470,11111
471,11100
472,11111
473,11111
474,11111
475,00011
476,11111
477,11100
478,11111
479,11100
480,11111
481,11110
482,10100
483,11100
484,11100
485,11100
486,10100
487,11111
488,10100
489,11111
490,10100
491,00001
492,11101
493,00010
494,11111
495,00011
496,11111
497,00011
498,00010
499,00001
500,10100
501,11100
502,10100
503,00011
504,10100
505,00010
506,00011
507,00100
508,10100
509,00010
510,00001
511,10100
512,10100
513,11111
514,10100
515,10100
516,10100
517,10000
518,11100
519,00000
520,11111
521,00000
522,00011
523,00011
524,00000
525,00010
526,00001
527,11100
528,11100
529,00010
530,00001
531,00010
532,00001
533,11111
534,00001
535,11111
536,11100
