person,profile
1,01011
2,11111
3,11100
4,11100
5,00110
6,00101
7,00000
8,00011
9,01001
10,00000
11,11101
12,11111
13,00100
14,00001
15,00101
16,00110
17,00110
18,00001
19,00111
20,00000
21,11111
22,11100
23,11111
24,01110
25,11100
26,00000
27,00111
28,00010
29,00110
30,11111
31,01111
32,11111
33,11111
34,01111
35,11111
36,11101
37,01000
38,11100
39,11111
40,01001
41,00011
42,11111
43,11111
44,00110
45,11111
46,11111
47,00110
48,01100
49,00001
50,01111
51,00010
52,10110
53,00100
54,11111
55,01100
56,11111
57,11111
58,00010
59,00110
60,11110
61,00110
62,00011
63,11101
64,11111
65,11100
66,01000
67,11101
68,00011
69,00011
70,01001
71,00100
72,00100
73,00000
74,11111
75,00101
76,00011
77,00110
78,11110
79,11111
80,01111
81,00100
82,11111
83,00011
84,10101
85,11101
86,11111
87,11111
88,11111
89,11111
90,11111
91,11100
92,00100
93,11111
94,11111
95,11111
96,11111
97,01100
98,01001
99,11111
100,00000
101,00101
102,11111
103,00111
104,11111
105,11111
106,11101
107,10100
108,11111
109,11101
110,11111
111,00100
112,00000
113,01101
114,01110
115,11100
116,11111
117,00001
118,01100
119,01111
120,00001
121,00010
122,01001
123,00101
124,11111
125,11111
126,11111
127,11111
128,01111
129,01100
130,11111
131,00101
132,11111
133,01101
134,00011
135,00010
136,11111
137,11110
138,11111
139,00000
140,11111
141,11100
142,11111
143,00110
144,00010
145,00100
146,11111
147,11111
148,00000
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,01111
159,11100
160,11111
161,11111
162,11111
163,11111
164,11111
165,00000
166,00010
167,00001
168,11111
169,11111
170,00000
171,01001
172,11111
173,11111
174,01100
175,00111
176,01100
177,11100
178,10101
179,11111
180,11111
181,00010
182,11100
183,11100
184,11111
185,11111
186,11111
187,10111
188,00111
189,11111
190,11111
191,11111
192,11111
193,11111
194,01001
195,00011
196,11111
197,11111
198,11111
199,11111
200,11001
201,11111
202,11111
203,11111
204,11111
205,01100
206,01110
207,11100
208,10101
209,11111
210,11111
211,00100
212,11100
213,11111
214,11111
215,10100
216,11111
217,00011
218,11111
219,11101
220,11111
221,01100
222,11110
223,11111
224,00010
225,11111
226,00111
227,00010
228,00110
229,11111
230,11101
231,00010
232,11100
233,00100
234,11111
235,10110
236,11100
237,11100
238,11111
239,01011
240,10111
241,11111
242,11101
243,11111
244,00101
245,11111
246,00000
247,11111
248,11111
249,00010
250,00101
251,00010
252,11101
253,00001
254,11111
255,11001
256,11111
257,11111
258,11111
259,11100
260,01110
261,00110
262,01111
263,01101
264,00111
265,00001
266,11111
267,11111
268,11100
269,11100
270,11111
271,00111
272,11100
273,11111
274,10111
275,11111
276,11101
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,01111
284,11111
285,11110
286,10000
287,11111
288,11111
289,11111
290,11111
291,00001
292,10111
293,01100
294,00101
295,11111
296,00010
297,00011
298,01110
299,00011
300,11111
301,11111
302,11111
303,11100
304,10110
305,11111
306,11111
307,10101
308,00111
309,00010
310,00111
311,11101
312,00010
313,11100
314,00101
315,11111
316,10100
317,01101
318,11111
319,11111
320,00110
321,10110
322,11111
323,11111
324,11111
325,11111
326,01101
327,00010
328,11111
329,11101
330,10110
331,11101
332,11101
333,00100
334,00011
335,11111
336,11100
337,00110
338,00110
339,11100
340,11111
341,11111
342,00001
343,00010
344,11111
345,00001
346,11111
347,10110
348,11101
349,10110
350,11111
351,11111
352,00110
353,00011
354,11111
355,10110
356,11111
357,11101
358,11111
359,11111
360,11101
361,11111
362,11100
363,11111
364,00110
365,11111
366,11101
367,00100
368,11111
369,11111
370,11111
371,10101
372,00101
373,11100
374,11111
375,11111
376,11111
377,00101
378,11101
379,11101
380,00101
381,10101
382,11101
383,11111
384,11111
385,11111
386,11101
387,00110
388,10100
389,11111
390,01101
391,10100
392,00100
393,00110
394,11111
395,00000
396,11111
397,00011
398,11101
399,00010
400,11111
401,11100
402,11111
403,11111
404,01100
405,11111
406,00011
407,01101
408,00010
409,11111
410,11111
411,11101
412,00101
413,11111
414,01001
415,00000
416,01101
417,00111
418,00100
419,11101
420,01100
421,00000
422,11111
423,00011
424,00101
425,00110
426,00010
427,00110
428,11111
429,11111
430,00111
431,11111
432,11111
433,11111
434,11111
435,00000
436,00011
437,00100
438,11101
439,11111
440,11111
441,00011
442,00011
443,11111
444,11101
445,11111
446,00011
447,11111
448,11101
449,11100
450,00110
451,00111
452,01101
453,11111
454,00000
455,01001
456,11111
457,11100
458,11111
459,11111
460,11101
461,11101
462,00100
463,00100
464,11111
465,11101
466,11111
467,00101
468,11111
469,11101
470,11111
471,11101
472,11111
473,11111
474,11111
475,00001
476,11111
477,11101
478,11111
479,11101
480,11111
481,11111
482,00100
483,11100
484,11101
485,11101
486,01100
487,11111
488,00100
489,11111
490,00111
491,00011
492,11101
493,00010
494,11111
495,00010
496,11111
497,00000
498,00001
499,00010
500,00111
501,11101
502,00100
503,00001
504,00111
505,00010
506,00001
507,01001
508,00111
509,00011
510,00000
511,00110
512,00110
513,11111
514,00110
515,00110
516,00111
517,00000
518,11100
519,00000
520,11100
521,00010
522,00001
523,00000
524,00011
525,00000
526,00000
527,11100
528,11100
529,00010
530,00011
531,00001
532,00001
533,11111
534,00010
535,11100
536,11100
