person,profile
1,01110
2,11110
3,11100
4,11111
5,00100
6,00100
7,10001
8,11001
9,00111
10,01000
11,11100
12,11111
13,00100
14,10011
15,00110
16,00101
17,11001
18,00111
19,00111
20,00001
21,11110
22,11111
23,11111
24,01110
25,10101
26,10010
27,00100
28,10000
29,00110
30,11111
31,11110
32,11111
33,11111
34,01110
35,11111
36,11101
37,01110
38,11100
39,11111
40,00111
41,00001
42,11111
43,11111
44,00100
45,11110
46,11110
47,00101
48,00101
49,10011
50,01110
51,01011
52,10110
53,00101
54,11111
55,01110
56,11111
57,11111
58,01000
59,00110
60,11110
61,00101
62,01001
63,11100
64,11111
65,11100
66,01110
67,11100
68,00010
69,00001
70,01100
71,00100
72,00110
73,01001
74,11111
75,00110
76,11011
77,00111
78,11110
79,11111
80,01111
81,00111
82,11110
83,01011
84,10110
85,11100
86,11110
87,11111
88,11111
89,11111
90,11111
91,11100
92,00110
93,11111
94,11111
95,11111
96,11110
97,00100
98,00111
99,11111
100,11011
101,00111
102,11111
103,00110
104,11111
105,11111
106,11100
107,10100
108,11111
109,11100
110,11111
111,00111
112,00000
113,01101
114,01110
115,11111
116,11111
117,11000
118,01110
119,01110
120,10001
121,01010
122,00100
123,00101
124,11111
125,11111
126,11111
127,11111
128,01111
129,01110
130,11111
131,00100
132,11111
133,00100
134,01001
135,10011
136,11111
137,11110
138,11110
139,00001
140,11111
141,11100
142,11111
143,00100
144,00110
145,00111
146,11111
147,11111
148,11001
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11110
157,11111
158,01110
159,11100
160,11110
161,11111
162,11110
163,11111
164,11111
165,11011
166,01001
167,11000
168,11111
169,11111
170,01001
171,00111
172,11111
173,11111
174,01100
175,00110
176,01110
177,11110
178,10100
179,11111
180,11111
181,01010
182,11110
183,11110
184,11111
185,11111
186,11110
187,10100
188,00101
189,11111
190,11111
191,11111
192,11111
193,11111
194,00110
195,00100
196,11111
197,11111
198,11111
199,11110
200,10101
201,11111
202,11111
203,11111
204,11111
205,01110
206,01111
207,11110
208,10101
209,11111
210,11111
211,00101
212,11100
213,11111
214,11111
215,10101
216,11111
217,10011
218,11111
219,11101
220,11110
221,01110
222,11110
223,11111
224,01001
225,11111
226,00110
227,00010
228,00101
229,11110
230,11100
231,01000
232,11110
233,00111
234,11110
235,10101
236,10111
237,11100
238,11111
239,01110
240,10110
241,11111
242,11100
243,11110
244,00100
245,11111
246,10011
247,11110
248,11111
249,11011
250,00110
251,11010
252,11100
253,10011
254,11110
255,00101
256,11111
257,11111
258,11111
259,11110
260,01111
261,00110
262,01111
263,00100
264,00111
265,00100
266,11111
267,11111
268,10111
269,11100
270,11110
271,00110
272,11110
273,11111
274,10111
275,11111
276,11100
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,01110
284,11111
285,11110
286,00010
287,11111
288,11111
289,11110
290,11110
291,10000
292,10101
293,01101
294,00100
295,11111
296,00011
297,00000
298,01110
299,11000
300,11111
301,11111
302,11111
303,11110
304,10111
305,11111
306,11111
307,10111
308,00110
309,01011
310,00100
311,11100
312,10010
313,11110
314,00110
315,11110
316,10110
317,00101
318,11100
319,11110
320,00101
321,10110
322,11110
323,11111
324,11110
325,11111
326,00101
327,10000
328,11110
329,11100
330,10111
331,00101
332,11100
333,00100
334,01001
335,11110
336,10111
337,00100
338,00110
339,11110
340,11111
341,11111
342,01000
343,00011
344,11111
345,00011
346,11110
347,10111
348,11100
349,10101
350,11110
351,11111
352,00110
353,11001
354,11111
355,10101
356,11110
357,11100
358,11111
359,11110
360,11100
361,11111
362,11101
363,11110
364,00100
365,11110
366,11100
367,00111
368,11111
369,11111
370,11111
371,10100
372,00100
373,10111
374,11111
375,11111
376,11111
377,00111
378,11100
379,11100
380,00111
381,10110
382,10110
383,11110
384,11111
385,11110
386,11101
387,00111
388,10110
389,11111
390,00111
391,10111
392,00100
393,00101
394,11111
395,00000
396,11111
397,10010
398,10111
399,10011
400,11110
401,11100
402,11111
403,11110
404,01100
405,11111
406,11000
407,01100
408,01011
409,11110
410,11111
411,10110
412,00111
413,11111
414,00101
415,11011
416,00110
417,00111
418,00110
419,10111
420,00111
421,10010
422,11110
423,10011
424,00101
425,00110
426,11001
427,00100
428,11111
429,11111
430,00100
431,11111
432,11110
433,11110
434,11111
435,01010
436,10011
437,00110
438,11100
439,11111
440,11111
441,01000
442,10010
443,11110
444,11100
445,11110
446,00001
447,11111
448,11100
449,10111
450,00110
451,00111
452,00101
453,11110
454,10001
455,00110
456,11111
457,11100
458,11110
459,11111
460,11100
461,11100
462,00101
463,00101
464,11110
465,11100
466,11111
467,00100
468,11111
469,11100
470,11111
471,11100
472,11111
473,11111
474,11111
475,11001
476,11111
477,11100
478,11111
479,10100
480,11111
481,11110
482,00110
483,10110
484,10110
485,10100
486,01110
487,11111
488,00110
489,11111
490,00100
491,10011
492,11101
493,01010
494,11111
495,00000
496,11111
497,10000
498,11011
499,11011
500,00111
501,11100
502,00110
503,00010
504,00101
505,10000
506,10000
507,00111
508,00110
509,01000
510,11010
511,00100
512,00101
513,11111
514,00111
515,00110
516,00101
517,10000
518,10100
519,10011
520,11111
521,10000
522,11000
523,10001
524,00001
525,11010
526,11011
527,11100
528,11100
529,11000
530,01010
531,11000
532,01011
533,11111
534,01011
535,11110
536,11100
