person,profile
1,00111
2,11111
3,11100
4,11111
5,10010
6,10001
7,00011
8,00001
9,00101
10,00010
11,11101
12,11111
13,10101
14,00001
15,00001
16,10101
17,10000
18,00011
19,10101
20,00001
21,11111
22,11111
23,11111
24,10110
25,11100
26,00010
27,10101
28,00001
29,10101
30,11111
31,10111
32,11111
33,11111
34,10111
35,11111
36,11101
37,10100
38,11100
39,11111
40,00101
41,00010
42,11111
43,11111
44,00011
45,11111
46,11111
47,10101
48,10101
49,00000
50,10111
51,00010
52,11001
53,10101
54,11111
55,10100
56,11111
57,11111
58,00000
59,10101
60,11110
61,10010
62,00010
63,11101
64,11111
65,11100
66,00111
67,11101
68,00010
69,00011
70,00101
71,10101
72,10101
73,00001
74,11111
75,10101
76,00000
77,10101
78,11110
79,11111
80,10111
81,00000
82,11111
83,00001
84,11101
85,11101
86,11111
87,11111
88,11111
89,11111
90,11111
91,11100
92,00011
93,11111
94,11111
95,11111
96,11111
97,10101
98,00010
99,11111
100,10000
101,01011
102,11111
103,10101
104,11111
105,11111
106,11101
107,11010
108,11111
109,11101
110,11111
111,10011
112,00000
113,10101
114,10110
115,11111
116,11111
117,00001
118,10100
119,10111
120,00011
121,00000
122,10101
123,10101
124,11111
125,11111
126,11111
127,11111
128,10111
129,10100
130,11111
131,10101
132,11111
133,10101
134,00010
135,00011
136,11111
137,11110
138,11111
139,00000
140,11111
141,11100
142,11111
143,10010
144,10011
145,10101
146,11111
147,11111
148,00010
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,10111
159,11100
160,11111
161,11111
162,11111
163,11111
164,11111
165,00000
166,00010
167,00010
168,11111
169,11111
170,00000
171,00101
172,11111
173,11111
174,10100
175,10101
176,10100
177,11111
178,11000
179,11111
180,11111
181,00001
182,11100
183,11100
184,11111
185,11111
186,11111
187,11011
188,10101
189,11111
190,11111
191,11111
192,11111
193,11111
194,10101
195,00000
196,11111
197,11111
198,11111
199,11111
200,01000
201,11111
202,11111
203,11111
204,11111
205,10100
206,10110
207,11111
208,11010
209,11111
210,11111
211,00001
212,11100
213,11111
214,11111
215,11010
216,11111
217,00010
218,11111
219,11101
220,11111
221,10111
222,11110
223,11111
224,00010
225,11111
226,10100
227,00001
228,10101
229,11111
230,11101
231,00000
232,11100
233,10101
234,11111
235,11000
236,11001
237,11100
238,11111
239,00111
240,11000
241,11111
242,11101
243,11111
244,10101
245,11111
246,00010
247,11111
248,11111
249,10001
250,10000
251,00000
252,11101
253,00001
254,11111
255,01100
256,11111
257,11111
258,11111
259,11111
260,10110
261,00001
262,10111
263,10101
264,00011
265,00010
266,11111
267,11111
268,11100
269,11100
270,11111
271,10101
272,11111
273,11111
274,11000
275,11111
276,11101
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,10111
284,11111
285,11110
286,01011
287,11111
288,11111
289,11111
290,11111
291,00010
292,11101
293,10100
294,10101
295,11111
296,10010
297,00001
298,10110
299,10011
300,11111
301,11111
302,11111
303,11100
304,11011
305,11111
306,11111
307,11101
308,10101
309,00001
310,10101
311,11101
312,00001
313,11111
314,10101
315,11111
316,11101
317,10101
318,11111
319,11111
320,10101
321,11101
322,11111
323,11111
324,11111
325,11111
326,10101
327,00011
328,11111
329,11101
330,11101
331,10101
332,11101
333,10101
334,00011
335,11111
336,11100
337,10101
338,10101
339,11100
340,11111
341,11111
342,00011
343,00001
344,11111
345,00001
346,11111
347,11010
348,11101
349,11100
350,11111
351,11111
352,10101
353,00011
354,11111
355,11101
356,11111
357,11101
358,11111
359,11111
360,11101
361,11111
362,11100
363,11111
364,10101
365,11111
366,11101
367,10101
368,11111
369,11111
370,11111
371,11101
372,10101
373,11100
374,11111
375,11111
376,11111
377,10101
378,11101
379,11101
380,10101
381,11101
382,11101
383,11111
384,11111
385,11111
386,11101
387,10101
388,11101
389,11111
390,10101
391,11101
392,10101
393,10101
394,11111
395,00010
396,11111
397,00000
398,11101
399,00001
400,11111
401,11100
402,11111
403,11111
404,10100
405,11111
406,00001
407,10101
408,00001
409,11111
410,11111
411,11101
412,10101
413,11111
414,00101
415,00000
416,10101
417,10101
418,10100
419,11101
420,10100
421,00010
422,11111
423,00001
424,10101
425,10101
426,00010
427,10101
428,11111
429,11111
430,10100
431,11111
432,11111
433,11111
434,11111
435,00001
436,00010
437,10101
438,11101
439,11111
440,11111
441,00001
442,00001
443,11111
444,11101
445,11111
446,00001
447,11111
448,11101
449,11100
450,10101
451,10101
452,10101
453,11111
454,00001
455,00101
456,11111
457,11100
458,11111
459,11111
460,11101
461,11101
462,10101
463,10100
464,11111
465,11101
466,11111
467,10101
468,11111
469,11101
470,11111
471,11101
472,11111
473,11111
474,11111
475,00010
476,11111
477,11101
478,11111
479,11101
480,11111
481,11111
482,10100
483,11100
484,11101
485,11101
486,10100
487,11111
488,10101
489,11111
490,10101
491,00001
492,11101
493,00011
494,11111
495,00010
496,11111
497,00011
498,00010
499,00011
500,10101
501,11101
502,10101
503,00010
504,10101
505,00001
506,00011
507,00101
508,10101
509,00011
510,00000
511,10101
512,10101
513,11111
514,10101
515,10101
516,10101
517,10000
518,11100
519,00010
520,11111
521,00010
522,00010
523,00010
524,00011
525,00011
526,00011
527,11100
528,11100
529,00011
530,00010
531,00010
532,00011
533,11111
534,00000
535,11111
536,11100
