person,profile
1,01110
2,11111
3,11001
4,11001
5,00101
6,00111
7,00000
8,00100
9,01010
10,00010
11,11011
12,11111
13,00011
14,00000
15,00101
16,00001
17,00001
18,00100
19,00111
20,00010
21,11111
22,11001
23,11111
24,01101
25,11001
26,00000
27,00011
28,00100
29,00101
30,11111
31,01111
32,11111
33,11111
34,01111
35,11111
36,11011
37,01000
38,11001
39,11111
40,01010
41,00000
42,11111
43,11111
44,00101
45,11111
46,11111
47,00111
48,01001
49,00110
50,01111
51,00100
52,10001
53,00001
54,11111
55,01001
56,11111
57,11111
58,00100
59,00101
60,11101
61,00111
62,00110
63,11011
64,11111
65,11001
66,01000
67,11011
68,00100
69,00110
70,01010
71,00111
72,00011
73,00000
74,11111
75,00001
76,00010
77,00011
78,11101
79,11111
80,01111
81,00101
82,11111
83,00110
84,10011
85,11011
86,11111
87,11111
88,11111
89,11111
90,11111
91,11001
92,00001
93,11111
94,11111
95,11111
96,11111
97,01001
98,01010
99,11111
100,00000
101,00101
102,11111
103,00001
104,11111
105,11111
106,11011
107,10101
108,11111
109,11011
110,11111
111,00111
112,00010
113,01011
114,01101
115,11001
116,11111
117,00100
118,01001
119,01111
120,00110
121,00110
122,01010
123,00011
124,11111
125,11111
126,11111
127,11111
128,01111
129,01001
130,11111
131,00001
132,11111
133,01011
134,00000
135,00010
136,11111
137,11101
138,11111
139,00000
140,11111
141,11001
142,11111
143,00101
144,00100
145,00001
146,11111
147,11111
148,00010
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,01111
159,11001
160,11111
161,11111
162,11111
163,11111
164,11111
165,00010
166,00110
167,00100
168,11111
169,11111
170,00000
171,01010
172,11111
173,11111
174,01001
175,00101
176,01001
177,11001
178,10011
179,11111
180,11111
181,00110
182,11001
183,11001
184,11111
185,11111
186,11111
187,10111
188,00011
189,11111
190,11111
191,11111
192,11111
193,11111
194,01010
195,00100
196,11111
197,11111
198,11111
199,11111
200,11010
201,11111
202,11111
203,11111
204,11111
205,01001
206,01101
207,11001
208,10111
209,11111
210,11111
211,00111
212,11001
213,11111
214,11111
215,10011
216,11111
217,00110
218,11111
219,11011
220,11111
221,01001
222,11101
223,11111
224,00100
225,11111
226,00101
227,00110
228,00111
229,11111
230,11011
231,00000
232,11001
233,00011
234,11111
235,10001
236,11001
237,11001
238,11111
239,01110
240,10001
241,11111
242,11011
243,11111
244,00001
245,11111
246,00000
247,11111
248,11111
249,00110
250,00101
251,00010
252,11011
253,00100
254,11111
255,11010
256,11111
257,11111
258,11111
259,11001
260,01101
261,00011
262,01111
263,01011
264,00111
265,00110
266,11111
267,11111
268,11001
269,11001
270,11111
271,00101
272,11001
273,11111
274,10001
275,11111
276,11011
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,01111
284,11111
285,11101
286,10010
287,11111
288,11111
289,11111
290,11111
291,00110
292,10101
293,01001
294,00111
295,11111
296,00100
297,00110
298,01101
299,00100
300,11111
301,11111
302,11111
303,11001
304,10101
305,11111
306,11111
307,10111
308,00001
309,00000
310,00101
311,11011
312,00100
313,11001
314,00011
315,11111
316,10001
317,01011
318,11111
319,11111
320,00101
321,10111
322,11111
323,11111
324,11111
325,11111
326,01011
327,00110
328,11111
329,11011
330,10111
331,11011
332,11011
333,00001
334,00100
335,11111
336,11001
337,00001
338,00001
339,11001
340,11111
341,11111
342,00110
343,00010
344,11111
345,00100
346,11111
347,10001
348,11011
349,10111
350,11111
351,11111
352,00101
353,00100
354,11111
355,10101
356,11111
357,11011
358,11111
359,11111
360,11011
361,11111
362,11001
363,11111
364,00111
365,11111
366,11011
367,00111
368,11111
369,11111
370,11111
371,10101
372,00001
373,11001
374,11111
375,11111
376,11111
377,00001
378,11011
379,11011
380,00011
381,10011
382,11011
383,11111
384,11111
385,11111
386,11011
387,00101
388,10001
389,11111
390,01011
391,10101
392,00101
393,00111
394,11111
395,00000
396,11111
397,00000
398,11011
399,00110
400,11111
401,11001
402,11111
403,11111
404,01001
405,11111
406,00100
407,01011
408,00100
409,11111
410,11111
411,11011
412,00011
413,11111
414,01010
415,00100
416,01011
417,00101
418,00011
419,11011
420,01001
421,00110
422,11111
423,00000
424,00101
425,00101
426,00000
427,00001
428,11111
429,11111
430,00001
431,11111
432,11111
433,11111
434,11111
435,00100
436,00110
437,00011
438,11011
439,11111
440,11111
441,00010
442,00100
443,11111
444,11011
445,11111
446,00010
447,11111
448,11011
449,11001
450,00111
451,00001
452,01011
453,11111
454,00110
455,01010
456,11111
457,11001
458,11111
459,11111
460,11011
461,11011
462,00111
463,00001
464,11111
465,11011
466,11111
467,00011
468,11111
469,11011
470,11111
471,11011
472,11111
473,11111
474,11111
475,00100
476,11111
477,11011
478,11111
479,11011
480,11111
481,11111
482,00001
483,11001
484,11011
485,11011
486,01001
487,11111
488,00111
489,11111
490,00001
491,00110
492,11011
493,00000
494,11111
495,00100
496,11111
497,00100
498,00000
499,00110
500,00001
501,11011
502,00011
503,00110
504,00011
505,00000
506,00000
507,01010
508,00011
509,00110
510,00010
511,00101
512,00101
513,11111
514,00011
515,00101
516,00111
517,00000
518,11001
519,00110
520,11001
521,00010
522,00000
523,00110
524,00000
525,00110
526,00000
527,11001
528,11001
529,00000
530,00100
531,00110
532,00100
533,11111
534,00110
535,11001
536,11001
