person,profile
1,01110
2,11110
3,11100
4,11111
5,01011
6,01010
7,00000
8,00011
9,01010
10,00011
11,11100
12,11111
13,01000
14,00010
15,01011
16,01000
17,01010
18,01010
19,01000
20,10000
21,11110
22,11111
23,11111
24,01110
25,11101
26,00010
27,01000
28,00011
29,01000
30,11111
31,01111
32,11111
33,11111
34,01110
35,11111
36,11101
37,01110
38,11100
39,11111
40,01011
41,10001
42,11111
43,11111
44,01000
45,11110
46,11110
47,01011
48,01000
49,10001
50,01110
51,00011
52,11010
53,01010
54,11111
55,01110
56,11111
57,11111
58,10010
59,01011
60,11110
61,01001
62,10000
63,11100
64,11111
65,11100
66,01110
67,11100
68,00000
69,00001
70,01100
71,01010
72,01010
73,00000
74,11111
75,01001
76,10000
77,01001
78,11110
79,11111
80,01111
81,01010
82,11110
83,10010
84,11011
85,11100
86,11110
87,11111
88,11111
89,11111
90,11111
91,11100
92,01010
93,11111
94,11111
95,11111
96,11110
97,01011
98,01010
99,11111
100,10010
101,01001
102,11111
103,01001
104,11111
105,11111
106,11100
107,11001
108,11111
109,11100
110,11111
111,01001
112,00001
113,01101
114,01110
115,11111
116,11111
117,10011
118,01110
119,01110
120,00010
121,00001
122,01010
123,01001
124,11111
125,11111
126,11111
127,11111
128,01111
129,01110
130,11111
131,01011
132,11111
133,01101
134,10000
135,10000
136,11111
137,11110
138,11110
139,10001
140,11111
141,11100
142,11111
143,01011
144,01000
145,01011
146,11111
147,11111
148,10010
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11110
157,11111
158,01110
159,11100
160,11110
161,11111
162,11110
163,11111
164,11111
165,10010
166,00011
167,00010
168,11111
169,11111
170,00000
171,00111
172,11111
173,11111
174,01100
175,01000
176,01110
177,11110
178,11001
179,11111
180,11111
181,10010
182,11110
183,11110
184,11111
185,11111
186,11110
187,11000
188,01010
189,11111
190,11111
191,11111
192,11111
193,11111
194,00110
195,10001
196,11111
197,11111
198,11111
199,11110
200,11000
201,11111
202,11111
203,11111
204,11111
205,01110
206,01111
207,11110
208,11000
209,11111
210,11111
211,01010
212,11100
213,11111
214,11111
215,11010
216,11111
217,00000
218,11111
219,11101
220,11110
221,01110
222,11110
223,11111
224,00010
225,11111
226,01011
227,10000
228,01001
229,11110
230,11100
231,00011
232,11110
233,01000
234,11110
235,11010
236,11010
237,11100
238,11111
239,01110
240,11001
241,11111
242,11100
243,11110
244,01011
245,11111
246,10000
247,11110
248,11111
249,10011
250,01000
251,10011
252,11100
253,00001
254,11110
255,01011
256,11111
257,11111
258,11111
259,11110
260,01111
261,01010
262,01111
263,01001
264,01011
265,10101
266,11111
267,11111
268,11011
269,11100
270,11110
271,01000
272,11110
273,11111
274,11001
275,11111
276,11100
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,01110
284,11111
285,11110
286,11000
287,11111
288,11111
289,11110
290,11110
291,00001
292,11011
293,01101
294,01010
295,11111
296,10000
297,00010
298,01110
299,00001
300,11111
301,11111
302,11111
303,11110
304,11010
305,11111
306,11111
307,11011
308,01011
309,00011
310,01011
311,11100
312,10001
313,11110
314,01010
315,11110
316,11000
317,01011
318,11100
319,11110
320,01011
321,11010
322,11110
323,11111
324,11110
325,11111
326,01011
327,10001
328,11110
329,11100
330,11001
331,01001
332,11100
333,01001
334,00000
335,11110
336,11100
337,01010
338,01011
339,11110
340,11111
341,11111
342,10010
343,00001
344,11111
345,00011
346,11110
347,11001
348,11100
349,11010
350,11110
351,11111
352,01011
353,10000
354,11111
355,11011
356,11110
357,11100
358,11111
359,11110
360,11100
361,11111
362,11101
363,11110
364,01000
365,11110
366,11100
367,01001
368,11111
369,11111
370,11111
371,11010
372,01010
373,11010
374,11111
375,11111
376,11111
377,01010
378,11100
379,11100
380,01000
381,11010
382,11001
383,11110
384,11111
385,11110
386,11101
387,01011
388,11010
389,11111
390,01010
391,11001
392,01001
393,01011
394,11111
395,00001
396,11111
397,00001
398,11011
399,00000
400,11110
401,11100
402,11111
403,11110
404,01100
405,11111
406,00010
407,01100
408,00001
409,11110
410,11111
411,11001
412,01000
413,11111
414,01001
415,00010
416,01001
417,01010
418,01011
419,11010
420,01011
421,00001
422,11110
423,10001
424,01000
425,01000
426,00001
427,01001
428,11111
429,11111
430,01000
431,11111
432,11110
433,11110
434,11111
435,10010
436,00011
437,01001
438,11100
439,11111
440,11111
441,10011
442,00010
443,11110
444,11100
445,11110
446,00010
447,11111
448,11100
449,11000
450,01000
451,01011
452,01000
453,11110
454,10010
455,10101
456,11111
457,11100
458,11110
459,11111
460,11100
461,11100
462,01011
463,01000
464,11110
465,11100
466,11111
467,01011
468,11111
469,11100
470,11111
471,11100
472,11111
473,11111
474,11111
475,00011
476,11111
477,11100
478,11111
479,11010
480,11111
481,11110
482,01011
483,11100
484,11000
485,11010
486,01110
487,11111
488,01000
489,11111
490,01000
491,00000
492,11101
493,10011
494,11111
495,10000
496,11111
497,10001
498,00010
499,00000
500,01001
501,11100
502,01011
503,00011
504,01010
505,10010
506,10010
507,01011
508,01010
509,00011
510,00001
511,01011
512,01010
513,11111
514,01000
515,01010
516,01010
517,01001
518,11000
519,00011
520,11111
521,10001
522,10011
523,00010
524,10001
525,10001
526,10001
527,11100
528,11100
529,00000
530,10011
531,10011
532,00001
533,11111
534,00000
535,11110
536,11100
