person,profile
1,01110
2,11111
3,11100
4,10111
5,00000
6,11011
7,10000
8,10010
9,11001
10,01011
11,11101
12,10101
13,11001
14,00000
15,01000
16,11001
17,00000
18,11001
19,01011
20,10000
21,11111
22,10110
23,11111
24,00100
25,11101
26,00011
27,11011
28,00010
29,11000
30,11111
31,01111
32,11111
33,11111
34,01110
35,11111
36,11101
37,00101
38,11101
39,11111
40,11010
41,10000
42,11111
43,11111
44,10010
45,11111
46,11111
47,01011
48,00101
49,10011
50,01110
51,00000
52,11100
53,10010
54,11111
55,00100
56,11111
57,11111
58,10011
59,11010
60,11111
61,01001
62,10000
63,11101
64,11111
65,11101
66,00110
67,11101
68,00010
69,10000
70,01100
71,01011
72,11011
73,00000
74,11111
75,11000
76,10001
77,11001
78,10100
79,11111
80,01111
81,01000
82,11111
83,10010
84,11100
85,11101
86,11111
87,10101
88,11111
89,11111
90,11111
91,11100
92,11001
93,11111
94,11111
95,11111
96,11111
97,00110
98,01001
99,11111
100,10001
101,01001
102,11111
103,11001
104,11111
105,11111
106,11101
107,11100
108,11111
109,11101
110,10101
111,00011
112,00011
113,01101
114,00101
115,11111
116,11111
117,00010
118,00110
119,01110
120,10001
121,10000
122,01000
123,11000
124,11111
125,11111
126,11111
127,11111
128,01111
129,00110
130,11111
131,11001
132,10111
133,01101
134,10011
135,10011
136,11111
137,10110
138,11111
139,10010
140,11111
141,11101
142,11111
143,00010
144,00010
145,01010
146,11111
147,11111
148,10010
149,10100
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,00111
159,11100
160,11111
161,11111
162,11111
163,11111
164,11111
165,00001
166,10001
167,10010
168,11111
169,11111
170,10000
171,11000
172,10101
173,11111
174,01100
175,01010
176,00100
177,10100
178,11101
179,10101
180,11111
181,10001
182,10101
183,11100
184,11111
185,11111
186,11111
187,00010
188,01000
189,11111
190,11111
191,11111
192,11111
193,11111
194,00111
195,01011
196,11111
197,11111
198,11111
199,11111
200,00000
201,11111
202,11111
203,11111
204,11111
205,00111
206,01111
207,10101
208,11101
209,11111
210,11111
211,11011
212,11101
213,11111
214,11111
215,10000
216,11111
217,10000
218,11111
219,11101
220,10100
221,01110
222,11111
223,11111
224,00001
225,11111
226,00110
227,00010
228,01001
229,11111
230,11101
231,10011
232,10101
233,01011
234,11111
235,00010
236,11101
237,11100
238,11111
239,00101
240,11100
241,11111
242,11100
243,10110
244,01100
245,11111
246,00011
247,11111
248,11111
249,10010
250,11001
251,10011
252,11101
253,10011
254,11111
255,11000
256,11111
257,11111
258,11111
259,10110
260,01111
261,01010
262,01111
263,11000
264,10011
265,01011
266,11111
267,11111
268,11100
269,11100
270,11111
271,01000
272,10110
273,11111
274,00001
275,11111
276,11101
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,01110
284,11111
285,11111
286,00011
287,11111
288,11111
289,10100
290,11111
291,00010
292,11101
293,01101
294,11011
295,11111
296,10000
297,10001
298,01110
299,10010
300,11111
301,11111
302,11111
303,11100
304,11101
305,11111
306,11111
307,11101
308,01100
309,00011
310,01100
311,11101
312,00001
313,10111
314,01010
315,11111
316,11100
317,01100
318,11111
319,11111
320,11000
321,11101
322,11111
323,11111
324,10111
325,11111
326,11000
327,10001
328,11111
329,11101
330,11101
331,11101
332,11100
333,01100
334,10000
335,10101
336,11100
337,01011
338,01000
339,10100
340,11111
341,11111
342,00011
343,00011
344,11111
345,10001
346,11111
347,11101
348,11101
349,11100
350,11111
351,11111
352,01100
353,00011
354,11111
355,11100
356,11111
357,11101
358,11111
359,11111
360,11101
361,11111
362,11101
363,11111
364,11001
365,11111
366,11101
367,01011
368,11111
369,11111
370,11111
371,11100
372,11000
373,11100
374,11111
375,11111
376,11111
377,01000
378,11101
379,11101
380,01011
381,11100
382,11101
383,11111
384,11111
385,11111
386,11101
387,01011
388,11101
389,11111
390,01101
391,11101
392,11000
393,01001
394,11111
395,10010
396,11111
397,10010
398,11101
399,00000
400,11111
401,11100
402,10101
403,11111
404,01100
405,10111
406,00000
407,01100
408,10010
409,11111
410,11111
411,11101
412,01100
413,11111
414,11001
415,10000
416,01100
417,01001
418,01100
419,11101
420,01101
421,00011
422,11111
423,10000
424,01010
425,01000
426,10001
427,11001
428,10110
429,11111
430,01100
431,11111
432,11111
433,11111
434,11111
435,10001
436,10001
437,01100
438,11100
439,11111
440,11111
441,00010
442,00001
443,11111
444,11101
445,11111
446,00011
447,10110
448,11100
449,10100
450,11001
451,01011
452,01100
453,11111
454,00011
455,11011
456,11111
457,11101
458,11111
459,11111
460,11101
461,11101
462,01001
463,01011
464,11111
465,11101
466,11111
467,01010
468,11111
469,11101
470,11111
471,11101
472,11111
473,11111
474,11111
475,10000
476,11111
477,11101
478,11111
479,11101
480,11111
481,11111
482,01100
483,11100
484,11101
485,11101
486,00111
487,10100
488,01011
489,11111
490,11000
491,00000
492,11101
493,00010
494,11111
495,10010
496,10111
497,10001
498,10001
499,10001
500,01010
501,11101
502,01011
503,10010
504,11010
505,00011
506,10010
507,11011
508,11001
509,00000
510,00001
511,01001
512,01001
513,11111
514,01100
515,01100
516,11000
517,10001
518,11100
519,10011
520,11101
521,10000
522,00000
523,11011
524,10000
525,00000
526,00001
527,11100
528,11100
529,00010
530,10011
531,00011
532,00010
533,11111
534,00010
535,11111
536,11101
