person,profile
1,00110
2,11110
3,11100
4,11111
5,10000
6,10100
7,00000
8,00000
9,00000
10,00000
11,11101
12,11111
13,10000
14,00000
15,00000
16,10100
17,10000
18,00000
19,10100
20,00000
21,11111
22,11111
23,11111
24,10110
25,11101
26,00000
27,10101
28,00000
29,10100
30,11111
31,10111
32,11111
33,11111
34,10110
35,11111
36,11101
37,00110
38,11101
39,11111
40,00101
41,00000
42,11111
43,11111
44,00000
45,11110
46,11110
47,10100
48,10100
49,00000
50,10110
51,00000
52,11100
53,10000
54,11111
55,10110
56,11111
57,11111
58,00000
59,10101
60,11110
61,10000
62,00000
63,11111
64,11111
65,11101
66,00110
67,11101
68,00000
69,00000
70,00000
71,10101
72,10101
73,00000
74,11111
75,10100
76,00000
77,10101
78,11110
79,11111
80,10111
81,00000
82,11110
83,00000
84,11100
85,11001
86,11110
87,11111
88,11111
89,11111
90,11111
91,11100
92,00000
93,11111
94,11111
95,11111
96,11110
97,10101
98,00000
99,11111
100,10000
101,10101
102,11111
103,10101
104,11111
105,11111
106,11101
107,11001
108,11111
109,11101
110,11111
111,10000
112,00000
113,10101
114,10110
115,11111
116,11111
117,00000
118,10110
119,10110
120,00000
121,00000
122,10100
123,10100
124,11111
125,11111
126,11111
127,11111
128,10111
129,10110
130,11111
131,10100
132,11111
133,10000
134,00000
135,00000
136,11111
137,11110
138,11111
139,00000
140,11111
141,11101
142,11111
143,10000
144,10000
145,10100
146,11111
147,11111
148,00000
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,10110
159,11100
160,11111
161,11111
162,11110
163,11111
164,11111
165,00000
166,00000
167,00000
168,11111
169,11111
170,00000
171,00000
172,11111
173,11111
174,10110
175,10101
176,10110
177,11110
178,11001
179,11111
180,11111
181,00000
182,11111
183,11110
184,11111
185,11111
186,11111
187,11001
188,10100
189,11111
190,11111
191,11111
192,11111
193,11111
194,10100
195,00000
196,11111
197,11111
198,11111
199,11110
200,01000
201,11111
202,11111
203,11111
204,11111
205,10110
206,10111
207,11110
208,11001
209,11111
210,11111
211,00100
212,11101
213,11111
214,11111
215,11001
216,11111
217,00000
218,11111
219,11101
220,11110
221,10110
222,11110
223,11111
224,00000
225,11111
226,10100
227,00000
228,00000
229,11111
230,11101
231,00000
232,11110
233,10100
234,11110
235,11001
236,11001
237,11100
238,11111
239,00110
240,11001
241,11111
242,11110
243,11110
244,10100
245,11111
246,00000
247,11111
248,11111
249,10000
250,10000
251,00000
252,11101
253,00000
254,11111
255,01100
256,11111
257,11111
258,11111
259,11110
260,10111
261,00000
262,10111
263,10100
264,00000
265,00000
266,11111
267,11111
268,11001
269,11110
270,11111
271,10101
272,11110
273,11111
274,11001
275,11111
276,11101
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,10110
284,11111
285,11110
286,01000
287,11111
288,11111
289,11111
290,11110
291,00000
292,11101
293,10101
294,10100
295,11111
296,10000
297,00001
298,10110
299,10000
300,11111
301,11111
302,11111
303,11110
304,11001
305,11111
306,11111
307,11101
308,10100
309,00000
310,10100
311,11101
312,00000
313,11110
314,10101
315,11110
316,11100
317,10100
318,11111
319,11111
320,10101
321,11101
322,11111
323,11111
324,11110
325,11111
326,10100
327,00000
328,11111
329,11101
330,11101
331,10101
332,11100
333,10100
334,00000
335,11111
336,11100
337,10101
338,10100
339,11110
340,11111
341,11111
342,00000
343,00000
344,11111
345,00000
346,11111
347,11001
348,11101
349,11100
350,11111
351,11111
352,10100
353,00000
354,11111
355,11100
356,11111
357,11101
358,11111
359,11111
360,11101
361,11111
362,11111
363,11111
364,10101
365,11110
366,11101
367,10100
368,11111
369,11111
370,11111
371,11100
372,10101
373,11100
374,11111
375,11111
376,11111
377,10101
378,11101
379,11101
380,10100
381,11100
382,11101
383,11111
384,11111
385,11111
386,11101
387,10101
388,11101
389,11111
390,10101
391,11101
392,10100
393,10101
394,11111
395,00000
396,11111
397,00000
398,11101
399,00000
400,11110
401,11100
402,11111
403,11111
404,10100
405,11111
406,00000
407,10100
408,00000
409,11111
410,11111
411,11101
412,10100
413,11111
414,00100
415,00000
416,10100
417,10101
418,10100
419,11101
420,10101
421,00000
422,11110
423,00000
424,10101
425,10101
426,00000
427,10101
428,11111
429,11111
430,10100
431,11111
432,11110
433,11110
434,11111
435,00000
436,00000
437,10100
438,11100
439,11111
440,11111
441,00000
442,00000
443,11110
444,11101
445,11111
446,00000
447,11111
448,11100
449,11001
450,10100
451,10100
452,10100
453,11110
454,00000
455,00101
456,11111
457,11101
458,11111
459,11111
460,11101
461,11101
462,10101
463,10101
464,11111
465,11101
466,11111
467,10100
468,11111
469,11101
470,11111
471,11101
472,11111
473,11111
474,11111
475,00000
476,11111
477,11101
478,11111
479,11101
480,11111
481,11111
482,10100
483,11100
484,11101
485,11101
486,10110
487,11111
488,10101
489,11111
490,10101
491,00000
492,11101
493,00000
494,11111
495,00000
496,11111
497,00000
498,00000
499,00000
500,10100
501,11101
502,10100
503,00000
504,10101
505,00000
506,00000
507,00100
508,10100
509,00000
510,00000
511,10101
512,10101
513,11111
514,10100
515,10100
516,10101
517,10000
518,11100
519,00000
520,11111
521,00000
522,00000
523,00000
524,00000
525,00000
526,00000
527,11100
528,11100
529,00000
530,00000
531,00000
532,00000
533,11111
534,00000
535,11110
536,11101
