person,profile
1,10111
2,11111
3,11100
4,11111
5,10001
6,10000
7,00010
8,01100
9,10010
10,10000
11,11101
12,11111
13,10010
14,01001
15,10010
16,10010
17,10011
18,10010
19,10010
20,01100
21,11111
22,11111
23,11111
24,10110
25,11001
26,00011
27,10010
28,00000
29,10010
30,11111
31,11111
32,11111
33,11111
34,10111
35,11111
36,11100
37,10111
38,11100
39,11111
40,10000
41,01000
42,11111
43,11111
44,10010
45,11111
46,11111
47,10000
48,10000
49,00000
50,10111
51,00110
52,11010
53,10010
54,11111
55,10001
56,11111
57,11111
58,01000
59,10000
60,11110
61,10010
62,01001
63,11101
64,11111
65,11101
66,10111
67,11100
68,01100
69,00011
70,10101
71,10000
72,10010
73,00000
74,11110
75,10000
76,01100
77,10010
78,11110
79,11111
80,10111
81,10011
82,11111
83,01011
84,11010
85,11101
86,11111
87,11111
88,11111
89,11111
90,11111
91,11101
92,10010
93,11111
94,11111
95,11111
96,11111
97,10010
98,10000
99,11111
100,00101
101,10010
102,11110
103,10010
104,11111
105,11111
106,11010
107,11011
108,11111
109,11101
110,11111
111,10010
112,00000
113,10100
114,10110
115,11100
116,11111
117,00001
118,10011
119,10111
120,01001
121,01000
122,10000
123,10000
124,11111
125,11110
126,11111
127,11111
128,10111
129,10001
130,11111
131,10010
132,11111
133,10010
134,01100
135,00110
136,11111
137,11110
138,11111
139,00011
140,11111
141,11101
142,11111
143,10010
144,10000
145,10010
146,11111
147,11111
148,01010
149,11111
150,11111
151,11111
152,11111
153,11110
154,11110
155,11111
156,11111
157,11111
158,10111
159,11101
160,11111
161,11111
162,11111
163,11111
164,11111
165,01110
166,01000
167,00101
168,11111
169,11111
170,00010
171,10010
172,11111
173,11111
174,10101
175,10000
176,10011
177,11111
178,11000
179,11111
180,11111
181,00111
182,11111
183,11011
184,11110
185,11111
186,11111
187,11010
188,10010
189,11111
190,11111
191,11111
192,11111
193,11110
194,10010
195,10010
196,11111
197,11111
198,11111
199,11111
200,11000
201,11111
202,11111
203,11110
204,11111
205,10001
206,10110
207,11111
208,11011
209,11111
210,11111
211,10001
212,11101
213,11111
214,11111
215,11000
216,11111
217,00110
218,11111
219,11100
220,11111
221,10111
222,11110
223,11111
224,00110
225,11111
226,10011
227,01000
228,10000
229,11111
230,11101
231,00110
232,11111
233,10000
234,11111
235,11010
236,11001
237,11100
238,11111
239,10111
240,11010
241,11111
242,11100
243,11111
244,10000
245,11111
246,01101
247,11111
248,11111
249,01010
250,10010
251,01010
252,11101
253,01010
254,11111
255,10010
256,11111
257,11111
258,11111
259,11111
260,10110
261,10000
262,10111
263,10000
264,10000
265,10010
266,11111
267,11111
268,11001
269,11101
270,11111
271,10000
272,11111
273,11111
274,11001
275,11111
276,11100
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,10111
284,11111
285,11110
286,11011
287,11111
288,11111
289,11111
290,11111
291,00111
292,11000
293,10100
294,10000
295,11111
296,00011
297,01000
298,10110
299,00010
300,11111
301,11111
302,11111
303,11111
304,11010
305,11111
306,11110
307,11000
308,10010
309,00001
310,10010
311,11101
312,01011
313,11111
314,10010
315,11111
316,11000
317,10010
318,11111
319,11111
320,10000
321,11010
322,11111
323,11111
324,11111
325,11111
326,10010
327,01000
328,11111
329,11100
330,11010
331,10010
332,11101
333,10000
334,01001
335,11111
336,11010
337,10010
338,10000
339,11001
340,11111
341,11111
342,01111
343,01101
344,11111
345,01111
346,11111
347,11010
348,11100
349,11011
350,11111
351,11110
352,10000
353,01011
354,11111
355,11000
356,11111
357,11101
358,11111
359,11111
360,11101
361,11111
362,11100
363,11111
364,10010
365,11111
366,11101
367,10010
368,11111
369,11111
370,11111
371,11010
372,10010
373,11000
374,11111
375,11110
376,11111
377,10000
378,11000
379,11101
380,10010
381,11000
382,11000
383,11111
384,11111
385,11111
386,11100
387,10010
388,11000
389,11111
390,10000
391,11000
392,10010
393,10000
394,11111
395,00111
396,11111
397,01001
398,11010
399,00010
400,11111
401,11100
402,11111
403,11111
404,10101
405,11111
406,01010
407,10010
408,01111
409,11111
410,11110
411,11000
412,10000
413,11110
414,10000
415,01101
416,10010
417,10000
418,10001
419,11010
420,10001
421,00000
422,11111
423,01010
424,10010
425,10000
426,00011
427,10010
428,11111
429,11111
430,10011
431,11111
432,11111
433,11111
434,11111
435,01100
436,00010
437,10010
438,11101
439,11111
440,11111
441,00010
442,01001
443,11111
444,11101
445,11111
446,00001
447,11111
448,11101
449,11011
450,10010
451,10010
452,10010
453,11111
454,00100
455,10000
456,11111
457,11101
458,11111
459,11111
460,11101
461,11101
462,10010
463,10001
464,11111
465,11100
466,11111
467,10000
468,11111
469,11100
470,11111
471,11101
472,11111
473,11110
474,11110
475,01110
476,11111
477,11101
478,11111
479,11010
480,11110
481,11111
482,10001
483,11001
484,11000
485,11010
486,10011
487,11111
488,10000
489,11111
490,10000
491,00111
492,11100
493,01111
494,11111
495,00101
496,11111
497,01110
498,01100
499,01101
500,10010
501,11101
502,10000
503,01111
504,10010
505,01100
506,01010
507,10000
508,10010
509,01001
510,01100
511,10000
512,10000
513,11111
514,10000
515,10010
516,10000
517,10000
518,11011
519,00011
520,11111
521,00011
522,01011
523,00010
524,01111
525,01000
526,00011
527,11101
528,11101
529,00001
530,00110
531,01001
532,00011
533,11111
534,00001
535,11111
536,11101
