person,profile
1,01110
2,11111
3,11100
4,11011
5,10000
6,10101
7,10000
8,10001
9,00111
10,10111
11,11101
12,11000
13,10111
14,00000
15,10100
16,10111
17,00000
18,00100
19,00100
20,00001
21,11111
22,11011
23,11111
24,01000
25,11101
26,00010
27,00100
28,00010
29,00101
30,11111
31,01111
32,11111
33,11111
34,01110
35,11111
36,11101
37,01010
38,11101
39,11111
40,00110
41,10001
42,11111
43,11111
44,00010
45,11111
46,11111
47,10100
48,01001
49,00001
50,01110
51,00010
52,11100
53,00011
54,11111
55,01010
56,11111
57,11111
58,00011
59,10101
60,11111
61,00111
62,10001
63,11101
64,11111
65,11101
66,01000
67,11101
68,00011
69,00010
70,01100
71,10111
72,10101
73,10011
74,11111
75,00101
76,10000
77,10101
78,11010
79,11111
80,01111
81,10110
82,11111
83,10000
84,11100
85,11101
86,11111
87,11010
88,11111
89,11111
90,11111
91,11100
92,10101
93,11111
94,11111
95,11111
96,11111
97,01011
98,00111
99,11111
100,00001
101,10110
102,11111
103,00110
104,11111
105,11111
106,11101
107,11100
108,11111
109,11101
110,11000
111,10011
112,00001
113,01101
114,01010
115,11111
116,11111
117,10010
118,01010
119,01110
120,00011
121,00000
122,10110
123,10100
124,11111
125,11111
126,11111
127,11111
128,01111
129,01001
130,11111
131,00110
132,11000
133,01101
134,00000
135,00010
136,11111
137,11010
138,11111
139,10000
140,11111
141,11101
142,11111
143,00010
144,00011
145,00100
146,11111
147,11111
148,00010
149,11010
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11111
157,11111
158,01010
159,11100
160,11111
161,11111
162,11111
163,11111
164,11111
165,00010
166,00011
167,00001
168,11111
169,11111
170,10001
171,10111
172,11001
173,11111
174,01100
175,10100
176,01000
177,11011
178,11101
179,11000
180,11111
181,10001
182,11001
183,11100
184,11111
185,11111
186,11111
187,10011
188,10110
189,11111
190,11111
191,11111
192,11111
193,11111
194,01011
195,00111
196,11111
197,11111
198,11111
199,11111
200,10001
201,11111
202,11111
203,11111
204,11111
205,01001
206,01111
207,11011
208,11101
209,11111
210,11111
211,10111
212,11101
213,11111
214,11111
215,00000
216,11111
217,10001
218,11111
219,11101
220,11011
221,01110
222,11111
223,11111
224,00001
225,11111
226,01010
227,10010
228,00100
229,11111
230,11101
231,10010
232,11010
233,00101
234,11111
235,00001
236,11101
237,11100
238,11111
239,01010
240,11100
241,11111
242,11100
243,11010
244,01100
245,11111
246,00010
247,11111
248,11111
249,10001
250,10101
251,00000
252,11101
253,10000
254,11111
255,00110
256,11111
257,11111
258,11111
259,11001
260,01111
261,10110
262,01111
263,00101
264,00011
265,10100
266,11111
267,11111
268,11100
269,11100
270,11111
271,10111
272,11011
273,11111
274,00010
275,11111
276,11101
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,01110
284,11111
285,11111
286,10001
287,11111
288,11111
289,11011
290,11111
291,10011
292,11101
293,01101
294,10101
295,11111
296,10010
297,10010
298,01110
299,10001
300,11111
301,11111
302,11111
303,11100
304,11101
305,11111
306,11111
307,11101
308,01100
309,10010
310,01100
311,11101
312,00010
313,11010
314,00101
315,11111
316,11100
317,01100
318,11111
319,11111
320,00111
321,11101
322,11111
323,11111
324,11000
325,11111
326,00110
327,00000
328,11111
329,11101
330,11101
331,11101
332,11100
333,01100
334,00010
335,11011
336,11100
337,00110
338,00101
339,11011
340,11111
341,11111
342,10010
343,10011
344,11111
345,00000
346,11111
347,11101
348,11101
349,11100
350,11111
351,11111
352,01100
353,10001
354,11111
355,11100
356,11111
357,11101
358,11111
359,11111
360,11101
361,11111
362,11101
363,11111
364,00101
365,11111
366,11101
367,10100
368,11111
369,11111
370,11111
371,11100
372,00110
373,11100
374,11111
375,11111
376,11111
377,00101
378,11101
379,11101
380,00111
381,11100
382,11101
383,11111
384,11111
385,11111
386,11101
387,10100
388,11101
389,11111
390,01101
391,11101
392,10100
393,10111
394,11111
395,10011
396,11111
397,00001
398,11101
399,10000
400,11111
401,11100
402,11001
403,11111
404,01100
405,11000
406,00010
407,01100
408,00010
409,11111
410,11111
411,11101
412,01100
413,11111
414,00101
415,10010
416,01100
417,10111
418,01100
419,11101
420,01101
421,00001
422,11111
423,00010
424,00100
425,10111
426,00011
427,10100
428,11000
429,11111
430,01100
431,11111
432,11111
433,11111
434,11111
435,10001
436,10010
437,01100
438,11100
439,11111
440,11111
441,00000
442,10011
443,11111
444,11101
445,11111
446,10010
447,11011
448,11100
449,11011
450,00101
451,00111
452,01100
453,11111
454,00010
455,10110
456,11111
457,11101
458,11111
459,11111
460,11101
461,11101
462,00101
463,00111
464,11111
465,11101
466,11111
467,10111
468,11111
469,11101
470,11111
471,11101
472,11111
473,11111
474,11111
475,00001
476,11111
477,11101
478,11111
479,11101
480,11111
481,11111
482,01100
483,11100
484,11101
485,11101
486,01000
487,11011
488,00111
489,11111
490,10101
491,10000
492,11101
493,00011
494,11111
495,00011
496,11001
497,10000
498,10001
499,10001
500,10100
501,11101
502,00101
503,00010
504,00111
505,10011
506,10010
507,00111
508,00101
509,10001
510,00001
511,10101
512,00101
513,11111
514,01100
515,01100
516,10100
517,00010
518,11100
519,10000
520,11101
521,00010
522,00001
523,00101
524,00011
525,00010
526,10011
527,11100
528,11100
529,00011
530,00010
531,10000
532,00000
533,11111
534,00010
535,11111
536,11101
