person,profile
1,01111
2,11111
3,11000
4,11011
5,00010
6,01100
7,10001
8,10000
9,01100
10,10101
11,11101
12,11111
13,01010
14,10000
15,01100
16,01000
17,10000
18,01100
19,01100
20,10000
21,11111
22,11001
23,11111
24,01110
25,11001
26,00000
27,01100
28,00000
29,01100
30,11111
31,01111
32,11111
33,11111
34,01111
35,11111
36,11110
37,01000
38,11000
39,11111
40,01100
41,00001
42,11111
43,11111
44,00011
45,11111
46,11111
47,01100
48,01010
49,00100
50,01111
51,10010
52,11100
53,01100
54,11111
55,01011
56,11111
57,11111
58,00010
59,01100
60,11110
61,01100
62,00000
63,11101
64,11111
65,11101
66,01011
67,11101
68,00000
69,00011
70,01000
71,01100
72,01100
73,00001
74,11110
75,01100
76,10010
77,01100
78,11110
79,11111
80,01111
81,10010
82,11111
83,00011
84,11100
85,11100
86,11111
87,11111
88,11111
89,11111
90,11111
91,11101
92,01100
93,11111
94,11111
95,11111
96,11111
97,01010
98,01100
99,11111
100,10010
101,01100
102,11111
103,01100
104,11111
105,11111
106,11100
107,11010
108,11111
109,11101
110,11011
111,10001
112,10000
113,11101
114,01110
115,11111
116,11111
117,10001
118,01001
119,01111
120,00001
121,10001
122,01100
123,01100
124,11111
125,11110
126,11111
127,11111
128,01111
129,01001
130,11111
131,01010
132,11111
133,01010
134,00001
135,10001
136,11111
137,11000
138,11111
139,00110
140,11111
141,11101
142,11111
143,10000
144,00011
145,01100
146,11111
147,11111
148,10001
149,11111
150,11111
151,11111
152,11111
153,11111
154,11110
155,11111
156,11111
157,11111
158,01001
159,11101
160,11111
161,11111
162,11111
163,11111
164,11111
165,00001
166,10111
167,10010
168,11111
169,11111
170,10001
171,01010
172,11111
173,11111
174,01000
175,01100
176,01001
177,11011
178,11100
179,11111
180,11111
181,00010
182,11001
183,11000
184,11111
185,11111
186,11111
187,11100
188,01100
189,11111
190,11111
191,11111
192,11111
193,11110
194,01010
195,00100
196,11111
197,11111
198,11111
199,11111
200,11000
201,11111
202,11111
203,11111
204,11111
205,01001
206,01110
207,11011
208,11010
209,11111
210,11111
211,01100
212,11101
213,11111
214,11111
215,11100
216,11111
217,00010
218,11111
219,11101
220,11001
221,01011
222,11111
223,11111
224,10010
225,11111
226,01011
227,10001
228,01000
229,11111
230,11000
231,10011
232,11001
233,01100
234,11111
235,11100
236,11010
237,11010
238,11111
239,01011
240,11100
241,11111
242,11000
243,11011
244,01100
245,11111
246,00010
247,11111
248,11111
249,00010
250,01100
251,00001
252,11101
253,00001
254,11111
255,01100
256,11111
257,11111
258,11111
259,11011
260,01110
261,01100
262,01111
263,01100
264,00001
265,00111
266,11111
267,11111
268,11010
269,11101
270,11111
271,01100
272,11011
273,11111
274,11010
275,11111
276,11000
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,01111
284,11111
285,11110
286,10011
287,11111
288,11111
289,11001
290,11111
291,00001
292,11100
293,01000
294,01100
295,11111
296,00000
297,10000
298,01110
299,10000
300,11111
301,11111
302,11111
303,11001
304,11000
305,11111
306,11110
307,11100
308,01100
309,00101
310,01100
311,11101
312,10101
313,11111
314,01100
315,11111
316,11100
317,01100
318,11111
319,11111
320,01100
321,11100
322,11111
323,11111
324,11111
325,11111
326,01100
327,10000
328,11111
329,11000
330,11101
331,01100
332,11000
333,01100
334,10011
335,11111
336,11010
337,01100
338,01100
339,11011
340,11111
341,11111
342,10001
343,00101
344,11111
345,00110
346,11111
347,11000
348,11000
349,11101
350,11111
351,11111
352,01100
353,10101
354,11111
355,11100
356,11111
357,11101
358,11111
359,11111
360,11101
361,11111
362,11101
363,11111
364,01100
365,11111
366,11000
367,01100
368,11111
369,11111
370,11111
371,11100
372,01100
373,11100
374,11111
375,11111
376,11111
377,01100
378,11100
379,11101
380,01100
381,11100
382,11101
383,11111
384,11111
385,11111
386,11101
387,01100
388,11101
389,11111
390,01100
391,11101
392,01100
393,01100
394,11111
395,00111
396,11111
397,00100
398,11101
399,00011
400,11111
401,11000
402,11111
403,11111
404,01100
405,11111
406,00001
407,01100
408,00001
409,11111
410,11111
411,11100
412,01100
413,11111
414,01100
415,00101
416,01100
417,01100
418,01100
419,11101
420,01100
421,10100
422,11111
423,00000
424,01100
425,01100
426,10001
427,01100
428,11111
429,11111
430,01100
431,11111
432,11111
433,11111
434,11111
435,00011
436,00011
437,01100
438,11101
439,11111
440,11111
441,10111
442,10010
443,11111
444,11101
445,11111
446,00010
447,11111
448,11101
449,11001
450,01100
451,01100
452,01000
453,11111
454,00001
455,01100
456,11111
457,11101
458,11111
459,11111
460,11101
461,11101
462,01100
463,01100
464,11111
465,11101
466,11111
467,01100
468,11111
469,11000
470,11111
471,11101
472,11111
473,11110
474,11110
475,00000
476,11111
477,11101
478,11111
479,11100
480,11110
481,11111
482,01100
483,11101
484,11101
485,11101
486,01011
487,11111
488,01100
489,11111
490,01100
491,10001
492,11101
493,10001
494,11111
495,10010
496,11001
497,10011
498,00011
499,00000
500,01100
501,11101
502,01100
503,00001
504,01100
505,00011
506,00011
507,01100
508,01100
509,00011
510,10000
511,01100
512,01100
513,11111
514,01100
515,01100
516,01100
517,00001
518,11001
519,00010
520,11111
521,10010
522,00011
523,00010
524,00010
525,10010
526,10001
527,11101
528,11101
529,10011
530,00010
531,10011
532,10001
533,11111
534,00000
535,11111
536,11101
