person,profile
1,10111
2,11111
3,11000
4,11001
5,01010
6,10100
7,00000
8,01010
9,10100
10,01110
11,11101
12,11111
13,10000
14,00010
15,10100
16,10010
17,01000
18,10100
19,10100
20,01001
21,11111
22,11011
23,11111
24,10110
25,11001
26,00000
27,10100
28,00011
29,10100
30,11111
31,10111
32,11111
33,11111
34,10111
35,11111
36,11110
37,10010
38,11000
39,11111
40,10100
41,01000
42,11111
43,11111
44,00010
45,11111
46,11111
47,10100
48,10000
49,01101
50,10111
51,00000
52,11100
53,10100
54,11111
55,10001
56,11111
57,11111
58,01010
59,10100
60,11110
61,10100
62,00010
63,11101
64,11111
65,11101
66,10001
67,11101
68,00001
69,01011
70,10000
71,10100
72,10100
73,00001
74,11110
75,10100
76,00011
77,10100
78,11110
79,11111
80,10111
81,00000
82,11111
83,00010
84,11100
85,11100
86,11111
87,11111
88,11111
89,11111
90,11111
91,11101
92,10100
93,11111
94,11111
95,11111
96,11111
97,10010
98,10100
99,11111
100,01010
101,10100
102,11111
103,10100
104,11111
105,11111
106,11100
107,11010
108,11111
109,11101
110,11011
111,01010
112,01010
113,11101
114,10110
115,11111
116,11111
117,01010
118,10011
119,10111
120,00001
121,01001
122,10100
123,10100
124,11111
125,11110
126,11111
127,11111
128,10111
129,10011
130,11111
131,10000
132,11111
133,10000
134,01011
135,00001
136,11111
137,11000
138,11111
139,01110
140,11111
141,11101
142,11111
143,00010
144,01000
145,10100
146,11111
147,11111
148,00001
149,11111
150,11111
151,11111
152,11111
153,11111
154,11110
155,11111
156,11111
157,11111
158,10011
159,11101
160,11111
161,11111
162,11111
163,11111
164,11111
165,01000
166,00110
167,01010
168,11111
169,11111
170,00011
171,10000
172,11111
173,11111
174,10000
175,10100
176,10011
177,11001
178,11100
179,11111
180,11111
181,01001
182,11011
183,11010
184,11111
185,11111
186,11111
187,11100
188,10100
189,11111
190,11111
191,11111
192,11111
193,11110
194,10010
195,00110
196,11111
197,11111
198,11111
199,11111
200,11010
201,11111
202,11111
203,11111
204,11111
205,10001
206,10110
207,11011
208,11000
209,11111
210,11111
211,10100
212,11101
213,11111
214,11111
215,11100
216,11111
217,00011
218,11111
219,11101
220,11001
221,10001
222,11111
223,11111
224,00001
225,11111
226,10001
227,00001
228,10000
229,11111
230,11010
231,01001
232,11011
233,10100
234,11111
235,11100
236,11000
237,11000
238,11111
239,10001
240,11100
241,11111
242,11000
243,11011
244,10100
245,11111
246,00000
247,11111
248,11111
249,00010
250,10100
251,00000
252,11101
253,00001
254,11111
255,10100
256,11111
257,11111
258,11111
259,11001
260,10110
261,10100
262,10111
263,10100
264,00001
265,01100
266,11111
267,11111
268,11000
269,11101
270,11111
271,10100
272,11011
273,11111
274,11010
275,11111
276,11000
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,10111
284,11111
285,11110
286,00000
287,11111
288,11111
289,11011
290,11111
291,01001
292,11100
293,10000
294,10100
295,11111
296,00001
297,00001
298,10110
299,00001
300,11111
301,11111
302,11111
303,11011
304,11010
305,11111
306,11110
307,11100
308,10100
309,00100
310,10100
311,11101
312,00101
313,11111
314,10100
315,11111
316,11100
317,10100
318,11111
319,11111
320,10100
321,11100
322,11111
323,11111
324,11111
325,11111
326,10100
327,00001
328,11111
329,11010
330,11101
331,10100
332,11010
333,10100
334,01011
335,11111
336,11010
337,10100
338,10100
339,11001
340,11111
341,11111
342,01010
343,00110
344,11111
345,00110
346,11111
347,11010
348,11010
349,11101
350,11111
351,11111
352,10100
353,00100
354,11111
355,11100
356,11111
357,11101
358,11111
359,11111
360,11101
361,11111
362,11101
363,11111
364,10100
365,11111
366,11000
367,10100
368,11111
369,11111
370,11111
371,11100
372,10100
373,11100
374,11111
375,11111
376,11111
377,10100
378,11100
379,11101
380,10100
381,11100
382,11101
383,11111
384,11111
385,11111
386,11101
387,10100
388,11101
389,11111
390,10100
391,11101
392,10100
393,10100
394,11111
395,01101
396,11111
397,01111
398,11101
399,01000
400,11111
401,11010
402,11111
403,11111
404,10100
405,11111
406,00011
407,10100
408,00001
409,11111
410,11111
411,11100
412,10100
413,11111
414,10100
415,00111
416,10100
417,10100
418,10100
419,11101
420,10100
421,01111
422,11111
423,00010
424,10100
425,10100
426,01000
427,10100
428,11111
429,11111
430,10100
431,11111
432,11111
433,11111
434,11111
435,01000
436,01001
437,10100
438,11101
439,11111
440,11111
441,00111
442,01010
443,11111
444,11101
445,11111
446,01001
447,11111
448,11101
449,11001
450,10100
451,10100
452,10010
453,11111
454,01000
455,10100
456,11111
457,11101
458,11111
459,11111
460,11101
461,11101
462,10100
463,10100
464,11111
465,11101
466,11111
467,10100
468,11111
469,11010
470,11111
471,11101
472,11111
473,11110
474,11110
475,01001
476,11111
477,11101
478,11111
479,11100
480,11110
481,11111
482,10100
483,11101
484,11101
485,11101
486,10011
487,11111
488,10100
489,11111
490,10100
491,00011
492,11101
493,01001
494,11111
495,00011
496,11011
497,01011
498,00000
499,00010
500,10100
501,11101
502,10100
503,00001
504,10100
505,01010
506,01001
507,10100
508,10100
509,00000
510,00010
511,10100
512,10100
513,11111
514,10100
515,10100
516,10100
517,01001
518,11011
519,01001
520,11111
521,01001
522,01000
523,00011
524,00001
525,00011
526,00010
527,11101
528,11101
529,00010
530,00011
531,00011
532,00001
533,11111
534,01011
535,11111
536,11101
