person,profile
1,01110
2,11110
3,11100
4,11111
5,01011
6,01010
7,10011
8,10000
9,01001
10,00110
11,11100
12,11111
13,01011
14,00000
15,01011
16,01011
17,00000
18,01000
19,01011
20,00010
21,11110
22,11111
23,11111
24,01110
25,11000
26,10001
27,01001
28,10010
29,01000
30,11111
31,11110
32,11111
33,11111
34,01110
35,11111
36,11101
37,01110
38,11100
39,11111
40,01001
41,10000
42,11111
43,11111
44,01001
45,11110
46,11110
47,01010
48,01001
49,00010
50,01110
51,00010
52,11001
53,01001
54,11111
55,01110
56,11111
57,11111
58,10110
59,01001
60,11110
61,01001
62,00101
63,11100
64,11111
65,11100
66,01110
67,11100
68,10000
69,10000
70,01100
71,01001
72,01011
73,10010
74,11111
75,01010
76,00000
77,01011
78,11110
79,11111
80,01111
81,01010
82,11110
83,00000
84,11000
85,11100
86,11110
87,11111
88,11111
89,11111
90,11111
91,11100
92,01010
93,11111
94,11111
95,11111
96,11110
97,01010
98,01001
99,11111
100,10010
101,01011
102,11111
103,01010
104,11111
105,11111
106,11100
107,11011
108,11111
109,11100
110,11111
111,01011
112,10011
113,01101
114,01110
115,11111
116,11111
117,10011
118,01110
119,01110
120,10110
121,10100
122,01010
123,01010
124,11111
125,11111
126,11111
127,11111
128,01111
129,01110
130,11111
131,01000
132,11111
133,01010
134,00110
135,00010
136,11111
137,11110
138,11110
139,00011
140,11111
141,11100
142,11111
143,01010
144,01011
145,01010
146,11111
147,11111
148,00000
149,11111
150,11111
151,11111
152,11111
153,11111
154,11111
155,11111
156,11110
157,11111
158,01110
159,11100
160,11110
161,11111
162,11110
163,11111
164,11111
165,10011
166,10111
167,10010
168,11111
169,11111
170,00010
171,01000
172,11111
173,11111
174,01100
175,01011
176,01110
177,11110
178,11011
179,11111
180,11111
181,00110
182,11110
183,11110
184,11111
185,11111
186,11110
187,11000
188,01000
189,11111
190,11111
191,11111
192,11111
193,11111
194,01010
195,01000
196,11111
197,11111
198,11111
199,11110
200,11010
201,11111
202,11111
203,11111
204,11111
205,01110
206,01111
207,11110
208,11011
209,11111
210,11111
211,01010
212,11100
213,11111
214,11111
215,11011
216,11111
217,00100
218,11111
219,11101
220,11110
221,01110
222,11110
223,11111
224,10101
225,11111
226,01001
227,10010
228,01000
229,11110
230,11100
231,00001
232,11110
233,01001
234,11110
235,11011
236,11000
237,11100
238,11111
239,01110
240,11010
241,11111
242,11100
243,11110
244,01010
245,11111
246,10111
247,11110
248,11111
249,10011
250,01010
251,10000
252,11100
253,00110
254,11110
255,01010
256,11111
257,11111
258,11111
259,11110
260,01111
261,01010
262,01111
263,01010
264,01000
265,01000
266,11111
267,11111
268,11010
269,11100
270,11110
271,01011
272,11110
273,11111
274,11011
275,11111
276,11100
277,11111
278,11111
279,11111
280,11111
281,11111
282,11111
283,01110
284,11111
285,11110
286,00110
287,11111
288,11111
289,11110
290,11110
291,00111
292,11001
293,01101
294,01000
295,11111
296,10101
297,10001
298,01110
299,10000
300,11111
301,11111
302,11111
303,11110
304,11011
305,11111
306,11111
307,11010
308,01011
309,00101
310,01001
311,11100
312,10111
313,11110
314,01010
315,11110
316,11010
317,01010
318,11100
319,11110
320,01010
321,11010
322,11110
323,11111
324,11110
325,11111
326,01001
327,00011
328,11110
329,11100
330,11010
331,01011
332,11100
333,01011
334,10000
335,11110
336,11011
337,01010
338,01010
339,11110
340,11111
341,11111
342,10010
343,10101
344,11111
345,10110
346,11110
347,11010
348,11100
349,11010
350,11110
351,11111
352,01001
353,00010
354,11111
355,11010
356,11110
357,11100
358,11111
359,11110
360,11100
361,11111
362,11101
363,11110
364,01010
365,11110
366,11100
367,01001
368,11111
369,11111
370,11111
371,11010
372,01010
373,11011
374,11111
375,11111
376,11111
377,01011
378,11100
379,11100
380,01000
381,11001
382,11001
383,11110
384,11111
385,11110
386,11101
387,01000
388,11001
389,11111
390,01011
391,11010
392,01001
393,01001
394,11111
395,10100
396,11111
397,00011
398,11010
399,10100
400,11110
401,11100
402,11111
403,11110
404,01100
405,11111
406,10100
407,01100
408,10011
409,11110
410,11111
411,11011
412,01001
413,11111
414,01000
415,00110
416,01010
417,01000
418,01001
419,11001
420,01011
421,00001
422,11110
423,10101
424,01001
425,01011
426,00111
427,01010
428,11111
429,11111
430,01001
431,11111
432,11110
433,11110
434,11111
435,10000
436,00110
437,01001
438,11100
439,11111
440,11111
441,10001
442,10100
443,11110
444,11100
445,11110
446,10000
447,11111
448,11100
449,11011
450,01001
451,01000
452,01011
453,11110
454,00001
455,01000
456,11111
457,11100
458,11110
459,11111
460,11100
461,11100
462,01010
463,01010
464,11110
465,11100
466,11111
467,01010
468,11111
469,11100
470,11111
471,11100
472,11111
473,11111
474,11111
475,10011
476,11111
477,11100
478,11111
479,11010
480,11111
481,11110
482,01011
483,11011
484,11010
485,11010
486,01110
487,11111
488,01000
489,11111
490,01011
491,10100
492,11101
493,10010
494,11111
495,10110
496,11111
497,10001
498,10010
499,10111
500,01000
501,11100
502,01000
503,10111
504,01010
505,10010
506,10111
507,01001
508,01001
509,10000
510,00001
511,01011
512,01010
513,11111
514,01000
515,01001
516,01001
517,10001
518,11010
519,10100
520,11111
521,10011
522,10111
523,10110
524,10011
525,10111
526,10010
527,11100
528,11100
529,10110
530,00001
531,00111
532,10000
533,11111
534,00011
535,11110
536,11100
