item_id,T1_skills,T2_skills,T3_skills,T4_skills,T5_skills,full_agree,supermajority,avg_jaccard,final_skills
FS01,S03 S04,S03 S04,S03 S04,S03 S04,S03 S04,1,1,1.000,S03 S04
FS02,S03 S04,S03 S04,S03 S04,S03 S04,S03 S04,1,1,1.000,S03 S04
FS03,S03 S04,S03 S04,S03 S04,S03 S04,S03 S04,1,1,1.000,S03 S04
FS04,S01 S04,S01 S04,S01 S04,S01 S04,S01 S04,1,1,1.000,S01 S04
FS05,S01 S04,S01 S04,S01 S04,S01 S04,S01 S04,1,1,1.000,S01 S04
FS06,S04,S04,S04,S04,S04,1,1,1.000,S04
FS07,S01 S02 S04,S01 S02 S04,S01 S02 S04,S01 S02 S04,S01 S02 S04,1,1,1.000,S01 S02 S04
FS08,S04,S04,S04,S04,S04,1,1,1.000,S04
FS09,S01 S02 S04,S01 S02 S04,S01 S02 S04,S01 S02 S04,S01 S02 S04,1,1,1.000,S01 S02 S04
FS10,S01 S04,S01 S04,S01 S04,S01 S04,S01 S04,1,1,1.000,S01 S04
FS11,S01 S04,S01 S04,S01 S04,S01 S04,S01 S04,1,1,1.000,S01 S04
FS12,S04,S04,S04,S04,S04,1,1,1.000,S04
FS13,S01 S03 S04,S01 S03 S04,S01 S03 S04,S01 S03 S04,S01 S03 S04,1,1,1.000,S01 S03 S04
FS14,S04,S04,S04,S04,S04,1,1,1.000,S04
FS15,S02 S04,S02 S04,S02 S04,S02 S04,S02 S04,1,1,1.000,S02 S04
FS16,S01 S04,S01 S04,S01 S04,S01 S04,S01 S04,1,1,1.000,S01 S04
FS17,S01 S04,S01 S04,S01 S04,S01 S04,S01 S04,1,1,1.000,S01 S04
FS18,S01 S04,S01 S04,S01 S04,S01 S04,S01 S04,1,1,1.000,S01 S04
FS19,S01 S02 S04,S01 S02 S04,S01 S02 S04,S01 S02 S04,S01 S02 S04,1,1,1.000,S01 S02 S04
FS20,S01 S04,S01 S04,S01 S04,S01 S04,S01 S04,1,1,1.000,S01 S04
