item_id,T1_skills,T2_skills,T3_skills,T4_skills,T5_skills,full_agree,supermajority,avg_jaccard,final_skills
FS01,S03 S04,S03 S04,S03 S04,S03 S04,S03 S04,1,1,1.000,S03 S04
FS02,S03 S04,S03 S04,S03 S04,S03 S04,S03 S04,1,1,1.000,S03 S04
FS03,S03 S04,S03 S04,S03 S04,S03 S04,S03 S04,1,1,1.000,S03 S04
FS04,S01 S04 S06,S01 S04 S06,S01 S04 S06,S01 S04 S06,S01 S04 S06,1,1,1.000,S01 S04 S06
FS05,S01 S04 S06,S01 S04 S06,S01 S04 S06,S01 S04 S06,S01 S04 S06,1,1,1.000,S01 S04 S06
FS06,S04,S04,S04,S04,S04,1,1,1.000,S04
FS07,S02 S04 S05 S06,S02 S04 S05 S06,S02 S04 S05 S06,S02 S04 S05 S06,S02 S04 S05 S06,1,1,1.000,S02 S04 S05 S06
FS08,S04 S06,S04 S06,S04 S06,S04 S06,S04 S06,1,1,1.000,S04 S06
FS09,S02 S04 S06,S02 S04 S06,S02 S04 S06,S02 S04 S06,S02 S04 S06,1,1,1.000,S02 S04 S06
FS10,S04 S05 S06,S04 S05 S06,S04 S05 S06,S04 S05 S06,S04 S05 S06,1,1,1.000,S04 S05 S06
FS11,S01 S04 S06,S01 S04 S06,S01 S04 S06,S01 S04 S06,S01 S04 S06,1,1,1.000,S01 S04 S06
FS12,S04 S06,S04 S06,S04 S06,S04 S06,S04 S06,1,1,1.000,S04 S06
FS13,S03 S04 S05 S06,S03 S04 S05 S06,S03 S04 S05 S06,S03 S04 S05 S06,S03 S04 S05 S06,1,1,1.000,S03 S04 S05 S06
FS14,S04 S06,S04 S06,S04 S06,S04 S06,S04 S06,1,1,1.000,S04 S06
FS15,S02 S04 S05 S06,S02 S04 S05 S06,S02 S04 S05 S06,S02 S04 S05 S06,S02 S04 S05 S06,1,1,1.000,S02 S04 S05 S06
FS16,S04 S06,S04 S06,S04 S06,S04 S06,S04 S06,1,1,1.000,S04 S06
FS17,S04 S05,S04 S05,S04 S05 S06,S04 S05,S04 S05,0,1,0.867,S04 S05
FS18,S04 S05 S06,S04 S05 S06,S04 S05 S06,S04 S05 S06,S04 S05 S06,1,1,1.000,S04 S05 S06
FS19,S01 S02 S04 S05 S06,S01 S02 S04 S05 S06,S01 S02 S04 S05 S06,S01 S02 S04 S05 S06,S01 S02 S04 S05 S06,1,1,1.000,S01 S02 S04 S05 S06
FS20,S01 S04 S05 S06,S01 S04 S05 S06,S01 S04 S05 S06,S01 S04 S05 S06,S01 S04 S05 S06,1,1,1.000,S01 S04 S05 S06
